Squad;# Pl;90s;GA;PKA;FK;CK;OG;PSxG;PSxG/SoT;PSxG+/-;/90;Cmp;AttLaunched;Cmp%;AttPass;Thr;PassLaunch%;AvgLenPass;AttGks;GksLaunch%;AvgLenGks;Att;Stp;Stp%;#OPA;#OPA/90;AvgDist
nl Ajax;1;6.0;6;2;0;1;0;10.6;0.38;+4.6;+0.76;38;109;34.9;174;26;47.1;40.0;49;55.1;44.9;24;4;16.7;4;0.67;15.7
it Atalanta;2;8.0;16;1;0;1;0;14.5;0.39;-1.5;-0.19;38;100;38.0;152;30;40.8;38.5;45;84.4;61.6;37;4;10.8;10;1.25;16.0
es Atlético Madrid;1;8.3;7;0;1;0;1;5.9;0.23;-0.1;-0.01;64;157;40.8;135;22;67.4;48.5;73;90.4;61.9;63;5;7.9;2;0.24;13.8
es Barcelona;2;7.0;5;0;0;0;0;9.0;0.32;+4.0;+0.57;28;66;42.4;188;39;29.3;31.6;52;21.2;29.0;36;1;2.8;4;0.57;13.4
de Bayern Munich;1;7.0;5;1;0;0;0;5.3;0.30;+0.3;+0.05;54;82;65.9;256;34;29.3;30.9;41;17.1;29.1;25;2;8.0;7;1.00;16.7
pt Benfica;1;6.0;11;1;0;1;1;8.9;0.33;-1.1;-0.18;21;55;38.2;126;38;24.6;31.5;57;42.1;38.5;45;2;4.4;5;0.83;15.5
eng Chelsea;2;7.0;12;0;0;1;2;9.4;0.39;-0.6;-0.09;45;93;48.4;154;31;41.6;37.1;59;49.2;43.7;41;3;7.3;5;0.71;14.9
be Club Brugge;1;6.0;12;0;0;1;0;9.5;0.40;-2.5;-0.41;49;103;47.6;136;19;50.0;39.1;59;59.3;46.0;37;3;8.1;3;0.50;16.1
hr Dinamo Zagreb;1;6.0;13;2;0;1;0;13.7;0.43;+0.7;+0.12;51;141;36.2;121;20;68.6;51.6;61;95.1;68.8;34;4;11.8;4;0.67;13.7
de Dortmund;1;8.0;11;0;0;1;0;12.9;0.36;+1.9;+0.24;29;99;29.3;202;43;40.6;36.8;40;42.5;46.2;30;4;13.3;4;0.50;13.5
tr Galatasaray;1;6.0;14;2;0;0;0;17.2;0.37;+3.2;+0.53;66;178;37.1;213;37;62.4;46.0;55;81.8;59.5;36;4;11.1;5;0.83;13.8
be Genk;2;6.0;20;2;0;0;0;15.7;0.42;-4.3;-0.71;61;140;43.6;196;26;52.6;40.9;57;64.9;48.1;43;3;7.0;9;1.50;16.2
it Inter;1;6.0;9;1;0;1;0;8.2;0.29;-0.8;-0.13;28;58;48.3;176;35;21.0;27.7;46;45.7;37.8;21;2;9.5;2;0.33;12.2
it Juventus;2;7.0;5;0;0;1;0;6.1;0.30;+1.1;+0.16;30;47;63.8;153;42;20.3;29.1;61;26.2;29.6;53;4;7.5;2;0.29;11.6
de Leverkusen;1;6.0;9;0;0;0;0;9.4;0.34;+0.4;+0.07;48;121;39.7;235;25;45.5;39.9;31;45.2;41.6;25;2;8.0;8;1.33;19.1
