;;;;;;;Playing Time;Playing Time;Playing Time;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Penalty Kicks;Penalty Kicks;Penalty Kicks;Penalty Kicks;
Rk;Player;Nation;Pos;Squad;Age;Born;MP;Starts;Min;GA;GA90;SoTA;Saves;Save%;W;D;L;CS;CS%;PKatt;PKA;PKsv;PKm;Matches
1;Adrián\Adrian;es ESP;GK;eng Liverpool;32;1987;2;2;180;5;2.50;9;5;.556;1;0;1;0;0.0;1;1;0;0;Matches
2;Alisson\Alisson;br BRA;GK;eng Liverpool;26;1992;5;5;450;4;0.80;16;12;.750;3;1;1;1;20.0;0;0;0;0;Matches
3;Alphonse Areola\Alphonse-Areola;fr FRA;GK;es Real Madrid;26;1993;2;1;135;1;0.67;3;2;.667;1;0;0;0;0.0;0;0;0;0;Matches
4;Kepa Arrizabalaga\Kepa-Arrizabalaga;es ESP;GK;eng Chelsea;24;1994;6;6;540;9;1.50;18;11;.500;3;2;1;1;16.7;1;0;1;0;Matches
5;Milan Borjan\Milan-Borjan;ca CAN;GK;rs Red Star;31;1987;6;6;540;20;3.33;51;32;.647;1;0;5;0;0.0;2;2;0;0;Matches
6;Claudio Bravo\Claudio-Bravo;cl CHI;GK;eng Manchester City;36;1983;2;1;125;2;1.44;3;1;.333;1;0;0;0;0.0;0;0;0;0;Matches
7;Gianluigi Buffon\Gianluigi-Buffon;it ITA;GK;it Juventus;41;1978;1;1;90;0;0.00;1;1;1.000;1;0;0;1;100.0;0;0;0;0;Matches
8;Roman Bürki\Roman-Burki;ch SUI;GK;de Dortmund;28;1990;7;7;630;9;1.29;32;23;.719;4;1;2;2;28.6;1;0;1;0;Matches
9;Willy Caballero\Willy-Caballero;ar ARG;GK;eng Chelsea;37;1981;1;1;90;3;3.00;6;3;.500;0;0;1;0;0.0;0;0;0;0;Matches
10;Leonardo César Jardim\Leonardo-Cesar-Jardim;br BRA;GK;fr Lille;24;1995;1;0;18;0;0.00;1;1;1.000;0;0;0;0;;0;0;0;0;Matches
11;Jasper Cillessen\Jasper-Cillessen;nl NED;GK;es Valencia;30;1989;5;5;450;7;1.40;27;19;.741;2;2;1;1;20.0;1;0;0;1;Matches
