Squad;# Pl;CrdY;CrdR;2CrdY;Fls;Fld;Off;Crs;TklW;Int;PKwon;PKcon;OG;Succ;Att;Succ%;#Pl;Megs;Tkl;Cont;Tkl%;Past
nl Ajax;19;20;2;2;93;61;11;104;89;83;0;3;0;67;115;58.3;70;7;137;235;58.3;98
it Atalanta;22;19;0;0;123;95;13;127;105;94;4;1;0;87;140;62.1;93;4;176;305;57.7;129
es Atlético Madrid;20;14;0;0;100;102;23;140;111;100;1;0;1;99;153;64.7;106;4;172;283;60.8;111
es Barcelona;23;21;1;1;81;86;10;66;84;85;0;1;0;116;171;67.8;127;6;127;194;65.5;67
de Bayern Munich;19;6;0;0;72;60;13;187;92;79;0;1;0;104;162;64.2;109;1;128;221;57.9;93
pt Benfica;23;8;0;0;61;70;9;115;70;65;0;1;1;62;115;53.9;65;4;117;209;56.0;92
eng Chelsea;22;12;1;0;95;71;9;155;79;69;1;1;2;112;179;62.6;122;4;148;216;68.5;68
be Club Brugge;22;17;3;3;94;59;23;97;81;65;1;0;0;78;130;60.0;85;4;130;223;58.3;93
hr Dinamo Zagreb;21;16;1;1;89;58;11;68;81;70;1;2;0;79;133;59.4;87;10;118;207;57.0;89
de Dortmund;24;14;2;1;93;78;13;93;99;97;1;1;0;107;172;62.2;114;6;156;259;60.2;103
tr Galatasaray;20;21;0;0;94;73;10;87;71;63;0;2;0;78;111;70.3;80;4;105;179;58.7;74
be Genk;20;10;0;0;47;75;15;125;70;66;0;2;0;90;142;63.4;101;5;120;200;60.0;80
it Inter;20;17;0;0;78;86;22;71;74;93;1;1;0;66;96;68.8;70;3;121;204;59.3;83
it Juventus;22;8;0;0;73;100;12;153;70;74;0;0;0;92;140;65.7;100;4;108;185;58.4;77
de Leverkusen;20;7;1;0;92;64;10;137;95;59;0;0;0;80;133;60.2;89;1;132;217;60.8;85
fr Lille;21;14;0;0;84;56;16;98;80;87;0;0;1;71;121;58.7;76;2;121;200;60.5;79
eng Liverpool;20;9;0;0;90;64;11;214;106;76;0;1;0;139;209;66.5;151;9;164;248;66.1;84
ru Loko Moscow;20;12;0;0;83;77;9;54;72;104;0;2;2;59;103;57.3;64;1;112;212;52.8;100
fr Lyon;23;10;0;0;79;79;14;156;69;74;1;2;0;142;214;66.4;159;4;121;200;60.5;79
eng Manchester City;23;13;2;1;79;66;15;136;92;89;2;1;0;116;167;69.5;127;4;121;202;59.9;81
it Napoli;23;13;0;0;57;88;11;124;75;85;2;2;0;75;128;58.6;80;10;130;230;56.5;100
gr Olympiacos;17;14;1;1;75;72;8;91;65;57;1;2;0;89;133;66.9;93;10;105;182;57.7;77
fr Paris S-G;24;21;0;0;94;118;21;97;108;84;1;1;0;108;170;63.5;113;5;168;293;57.3;125
de RB Leipzig;24;14;0;0;107;73;24;184;108;73;4;0;0;100;164;61.0;106;4;199;314;63.4;115
at RB Salzburg;21;8;0;0;92;34;16;76;79;64;2;0;0;59;107;55.1;63;5;125;246;50.8;121
es Real Madrid;24;12;1;0;66;83;6;140;88;77;1;1;0;107;177;60.5;115;1;123;237;51.9;114
rs Red Star;19;14;0;0;62;70;8;69;71;76;1;1;0;56;103;54.4;62;1;119;245;48.6;126
ua Shakhtar;18;11;2;1;52;97;9;50;69;68;1;2;0;83;140;59.3;92;8;104;187;55.6;83
cz Slavia Prague;20;16;0;0;93;62;10;93;67;70;1;0;1;50;109;45.9;56;3;97;201;48.3;104
eng Tottenham;28;14;0;0;96;97;11;115;79;64;2;2;0;138;232;59.5;150;12;128;237;54.0;109
es Valencia;23;19;2;1;75;144;14;134;94;97;2;3;0;60;117;51.3;65;5;132;232;56.9;100
ru Zenit;19;17;1;1;63;53;10;100;76;92;0;1;1;51;92;55.4;54;5;120;225;53.3;105
