"id";"name";"nation";"position";"team";"age";"born";"90s";"Ast";"xA";"A-xA";"KP";"Cmp";"Att";"CmpPER";"shortCmp";"shortAtt";"shortCmpPER";"mediumCmp";"mediumAtt";"mediumCmpPER";"longCmp";"longAtt";"longCmpPER";"Left";"Right";"FK";"TB";"CK";"TI";"1/3";"PPA";"CrsPA";"Matches"
1;Tammy Abraham\Tammy-Abraham;eng ENG;FW;eng Chelsea;21;1997;5.4;1;0.5;+0.5;6;65;96;67.7;6;10;60.0;51;71;71.8;8;15;53.3;4;70;0;0;0;0;3;1;0;Matches
2;Arijan Ademi\Arijan-Ademi;mk MKD;MFDF;hr Dinamo Zagreb;28;1991;5.8;1;1.1;-0.1;4;145;165;87.9;4;6;66.7;124;138;89.9;17;21;81.0;18;129;5;0;0;0;5;1;0;Matches
3;Adrián\Adrian;es ESP;GK;eng Liverpool;32;1987;2.0;0;0.0;0.0;0;47;60;78.3;0;0;;18;19;94.7;29;41;70.7;7;41;5;0;0;0;0;0;0;Matches
4;Sergio Agüero\Sergio-Aguero;ar ARG;FW;eng Manchester City;31;1988;2.2;0;0.0;0.0;1;32;50;64.0;0;6;0.0;31;42;73.8;1;2;50.0;6;39;0;1;0;0;2;1;0;Matches
5;Manuel Akanji\Manuel-Akanji;ch SUI;DF;de Dortmund;24;1995;5.8;0;0.0;0.0;0;342;388;88.1;4;5;80.0;267;289;92.4;71;94;75.5;67;301;12;0;0;2;17;1;0;Matches
6;David Alaba\David-Alaba;at AUT;DF;de Bayern Munich;27;1992;3.5;0;1.1;-1.1;4;264;296;89.2;2;6;33.3;194;214;90.7;68;76;89.5;240;39;4;1;0;5;25;1;1;Matches
7;Lucas Alario\Lucas-Alario;ar ARG;FW;de Leverkusen;26;1992;2.4;0;0.1;-0.1;2;40;47;85.1;2;3;66.7;34;39;87.2;4;5;80.0;5;38;0;0;0;0;4;0;0;Matches
8;Jordi Alba\Jordi-Alba;es ESP;DF;es Barcelona;30;1989;1.9;0;0.6;-0.6;3;100;116;86.2;1;2;50.0;87;96;90.6;12;18;66.7;81;17;4;1;0;10;2;2;1;Matches
9;Paco Alcácer\Paco-Alcacer;es ESP;FW;de Dortmund;25;1993;1.3;1;0.5;+0.5;4;17;24;70.8;0;2;0.0;15;19;78.9;2;3;66.7;2;19;0;0;0;1;3;1;0;Matches
10;Thiago Alcántara\Thiago-Alcantara;es ESP;MF;de Bayern Munich;28;1991;5.5;2;1.3;+0.7;11;463;506;91.5;4;5;80.0;328;348;94.3;131;153;85.6;16;465;10;4;2;1;62;8;0;Matches
11;Toby Alderweireld\Toby-Alderweireld;be BEL;DF;eng Tottenham;30;1989;5.0;0;0.1;-0.1;1;241;280;86.1;1;1;100.0;145;154;94.2;95;125;76.0;53;214;5;1;0;0;14;0;0;Matches
12;Carles Aleñá\Carles-Alena;es ESP;MF;es Barcelona;21;1998;1.0;0;0.2;-0.2;4;84;99;84.8;4;5;80.0;67;80;83.8;13;14;92.9;88;8;3;1;3;0;7;1;0;Matches
13;Trent Alexander-Arnold\Trent-Alexander-Arnold;eng ENG;DF;eng Liverpool;20;1998;5.1;1;1.0;0.0;8;434;585;74.2;4;23;17.4;323;359;90.0;107;203;52.7;61;435;10;1;24;75;38;6;1;Matches
14;Alisson\Alisson;br BRA;GK;eng Liverpool;26;1992;5.0;0;0.0;0.0;0;158;174;90.8;0;0;;83;83;100.0;75;91;82.4;17;125;6;1;0;0;1;0;0;Matches
15;Allan\Allan;br BRA;MF;it Napoli;28;1991;4.9;0;0.0;0.0;0;234;274;85.4;4;8;50.0;169;182;92.9;61;84;72.6;26;237;9;2;0;0;28;4;0;Matches
16;Dele Alli\Dele-Alli;eng ENG;MFFW;eng Tottenham;23;1996;4.8;1;1.2;-0.2;7;154;184;83.7;6;8;75.0;135;150;90.0;13;26;50.0;14;163;4;3;1;1;6;8;0;Matches
17;André Almeida\Andre-Almeida;pt POR;DF;pt Benfica;28;1990;1.0;0;0.0;0.0;1;34;45;75.6;1;2;50.0;31;34;91.2;2;9;22.2;2;32;0;0;0;8;1;0;0;Matches
18;Marcos Alonso\Marcos-Alonso;es ESP;DF;eng Chelsea;28;1990;4.4;0;0.3;-0.3;3;227;284;79.9;2;13;15.4;189;211;89.6;36;60;60.0;208;21;5;0;0;40;9;4;3;Matches
19;Éder Álvarez Balanta\Eder-Alvarez-Balanta;co COL;MF;be Club Brugge;26;1993;3.2;0;0.3;-0.3;4;129;151;85.4;4;7;57.1;92;99;92.9;33;45;73.3;118;23;1;2;0;0;23;2;0;Matches
20;Edson Álvarez\Edson-Alvarez;mx MEX;MF;nl Ajax;21;1997;4.2;0;0.3;-0.3;2;216;238;90.8;6;8;75.0;170;184;92.4;40;46;87.0;14;208;5;1;0;0;20;2;0;Matches
21;Nadiem Amiri\Nadiem-Amiri;de GER;FWMF;de Leverkusen;22;1996;2.6;0;0.5;-0.5;5;116;147;78.9;2;10;20.0;98;110;89.1;16;27;59.3;13;127;2;0;8;4;12;1;0;Matches
22;Ethan Ampadu\Ethan-Ampadu;wal WAL;DF;de RB Leipzig;18;2000;2.0;0;0.0;0.0;0;176;190;92.6;0;0;;120;124;96.8;56;66;84.8;30;157;3;0;0;0;7;0;0;Matches
23;Joachim Andersen\Joachim-Andersen;dk DEN;DF;fr Lyon;23;1996;4.0;0;0.0;0.0;1;204;225;90.7;2;3;66.7;116;123;94.3;86;99;86.9;32;172;7;0;0;2;17;1;0;Matches
24;Florin Andone\Florin-Andone;ro ROU;FW;tr Galatasaray;26;1993;1.8;0;0.0;0.0;0;22;35;62.9;0;7;0.0;20;25;80.0;2;3;66.7;2;26;0;0;0;0;0;1;0;Matches
25;Benjamin André\Benjamin-Andre;fr FRA;MF;fr Lille;28;1990;4.5;2;1.0;+1.0;8;155;188;82.4;8;10;80.0;117;139;84.2;30;39;76.9;19;138;6;1;0;1;16;0;0;Matches
26;Miguel Ángel Guerrero\Miguel-Angel-Guerrero;es ESP;FW;gr Olympiacos;29;1990;3.5;0;0.5;-0.5;5;52;71;73.2;0;4;0.0;47;58;81.0;5;9;55.6;5;51;0;0;0;0;0;0;0;Matches
27;Angeliño\Angelino;es ESP;DF;de RB Leipzig;22;1997;1.0;0;0.0;0.0;1;41;53;77.4;1;3;33.3;32;37;86.5;8;13;61.5;39;8;1;0;0;4;2;2;0;Matches
28;Angeliño\Angelino;es ESP;DF;eng Manchester City;22;1997;1.0;0;0.2;-0.2;2;71;80;88.8;0;1;0.0;54;58;93.1;17;21;81.0;67;4;1;0;0;8;2;2;0;Matches
29;Marcos Antônio\Marcos-Antonio;br BRA;MF;ua Shakhtar;19;2000;0.3;0;0.0;0.0;0;25;30;83.3;0;1;0.0;18;19;94.7;7;10;70.0;1;27;2;0;0;0;4;0;0;Matches
30;Houssem Aouar\Houssem-Aouar;fr FRA;FWMF;fr Lyon;21;1998;4.9;3;0.8;+2.2;7;187;225;83.1;0;9;0.0;157;171;91.8;30;45;66.7;29;186;3;0;3;4;25;1;0;Matches
31;Youssef El-Arabi\Youssef-El-Arabi;ma MAR;FW;gr Olympiacos;32;1987;3.1;0;0.0;0.0;1;40;60;66.7;2;5;40.0;30;40;75.0;8;15;53.3;13;38;1;0;0;0;3;0;0;Matches
32;Charles Aránguiz\Charles-Aranguiz;cl CHI;MF;de Leverkusen;30;1989;4.6;1;0.3;+0.7;5;330;380;86.8;3;8;37.5;260;291;89.3;67;81;82.7;53;309;7;1;3;1;43;7;0;Matches
33;Luiz Araújo\Luiz-Araujo;br BRA;FWMF;fr Lille;23;1996;3.1;0;0.0;0.0;1;62;89;69.7;4;6;66.7;48;67;71.6;10;16;62.5;62;15;0;0;0;1;3;3;1;Matches
34;Alphonse Areola\Alphonse-Areola;fr FRA;GK;es Real Madrid;26;1993;1.5;0;0.0;0.0;0;46;58;79.3;0;0;;25;25;100.0;21;33;63.6;0;50;7;0;0;0;0;0;0;Matches
35;Santiago Arias\Santiago-Arias;co COL;DF;es Atlético Madrid;27;1992;2.0;0;0.2;-0.2;3;115;144;79.9;5;9;55.6;98;114;86.0;12;21;57.1;8;107;1;0;0;21;7;3;0;Matches
36;Kepa Arrizabalaga\Kepa-Arrizabalaga;es ESP;GK;eng Chelsea;24;1994;6.0;0;0.0;0.0;0;137;175;78.3;0;0;;60;61;98.4;77;114;67.5;26;117;7;0;0;0;0;0;0;Matches
37;Kwadwo Asamoah\Kwadwo-Asamoah;gh GHA;DF;it Inter;30;1988;2.9;0;0.1;-0.1;1;78;100;78.0;2;5;40.0;61;72;84.7;15;23;65.2;69;13;3;0;0;12;1;2;1;Matches
38;Majeed Ashimeru\Majeed-Ashimeru;gh GHA;MFFW;at RB Salzburg;21;1997;0.7;0;0.0;0.0;1;34;40;85.0;2;5;40.0;30;32;93.8;2;3;66.7;5;33;0;0;0;0;0;0;0;Matches
39;Iyayi Atiemwen\Iyayi-Atiemwen;ng NGA;FW;hr Dinamo Zagreb;23;1996;0.1;0;0.0;0.0;0;2;3;66.7;1;1;100.0;1;2;50.0;0;0;;0;1;0;0;0;1;0;0;0;Matches
