"id";"name";"nation";"position";"Squad";"age";"born";"90s";"Gls";"PK";"PKatt";"Sh";"SoT";"FK";"SoT%";"Sh/90";"SoT/90";"G/Sh";"G/SoT";"xG";"npxG";"npxG/Sh";"G-xG";"np:G-xG";"Matches"
1;Tammy Abraham\Tammy-Abraham;eng ENG;FW;eng Chelsea;21;1997;5.4;2;0;0;20;8;0;40.0;3.70;1.48;0.10;0.25;3.9;3.9;0.20;-1.9;-1.9;Matches
2;Arijan Ademi\Arijan-Ademi;mk MKD;MFDF;hr Dinamo Zagreb;28;1991;5.8;1;0;0;2;1;0;50.0;0.35;0.17;0.50;1.00;0.6;0.6;0.32;+0.4;+0.4;Matches
3;Adrián\Adrian;es ESP;GK;eng Liverpool;32;1987;2.0;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
4;Sergio Agüero\Sergio-Aguero;ar ARG;FW;eng Manchester City;31;1988;2.2;2;1;1;9;5;0;55.6;4.13;2.30;0.11;0.20;2.7;1.9;0.21;-0.7;-0.9;Matches
5;Manuel Akanji\Manuel-Akanji;ch SUI;DF;de Dortmund;24;1995;5.8;0;0;0;3;0;0;0.0;0.52;0.00;0.00;;0.1;0.1;0.03;-0.1;-0.1;Matches
6;David Alaba\David-Alaba;at AUT;DF;de Bayern Munich;27;1992;3.5;0;0;0;1;0;1;0.0;0.29;0.00;0.00;;0.0;0.0;0.04;0.0;0.0;Matches
7;Lucas Alario\Lucas-Alario;ar ARG;FW;de Leverkusen;26;1992;2.4;0;0;0;7;2;0;28.6;2.94;0.84;0.00;0.00;0.5;0.5;0.07;-0.5;-0.5;Matches
8;Jordi Alba\Jordi-Alba;es ESP;DF;es Barcelona;30;1989;1.9;0;0;0;1;0;0;0.0;0.51;0.00;0.00;;0.0;0.0;0.03;0.0;0.0;Matches
9;Paco Alcácer\Paco-Alcacer;es ESP;FW;de Dortmund;25;1993;1.3;0;0;0;4;0;1;0.0;3.19;0.00;0.00;;0.6;0.6;0.15;-0.6;-0.6;Matches
10;Thiago Alcántara\Thiago-Alcantara;es ESP;MF;de Bayern Munich;28;1991;5.5;0;0;0;4;1;0;25.0;0.73;0.18;0.00;0.00;1.5;1.5;0.38;-1.5;-1.5;Matches
11;Toby Alderweireld\Toby-Alderweireld;be BEL;DF;eng Tottenham;30;1989;5.0;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
12;Carles Aleñá\Carles-Alena;es ESP;MF;es Barcelona;21;1998;1.0;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
13;Trent Alexander-Arnold\Trent-Alexander-Arnold;eng ENG;DF;eng Liverpool;20;1998;5.1;0;0;0;4;0;1;0.0;0.78;0.00;0.00;;0.2;0.2;0.04;-0.2;-0.2;Matches
14;Alisson\Alisson;br BRA;GK;eng Liverpool;26;1992;5.0;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
15;Allan\Allan;br BRA;MF;it Napoli;28;1991;4.9;0;0;0;2;0;0;0.0;0.40;0.00;0.00;;0.1;0.1;0.04;-0.1;-0.1;Matches
16;Dele Alli\Dele-Alli;eng ENG;MFFW;eng Tottenham;23;1996;4.8;1;0;0;6;3;0;50.0;1.25;0.62;0.17;0.33;1.0;1.0;0.16;0.0;0.0;Matches
17;André Almeida\Andre-Almeida;pt POR;DF;pt Benfica;28;1990;1.0;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
18;Marcos Alonso\Marcos-Alonso;es ESP;DF;eng Chelsea;28;1990;4.4;0;0;0;12;5;3;41.7;2.72;1.13;0.00;0.00;0.7;0.7;0.06;-0.7;-0.7;Matches
19;Éder Álvarez Balanta\Eder-Alvarez-Balanta;co COL;MF;be Club Brugge;26;1993;3.2;0;0;0;2;0;0;0.0;0.63;0.00;0.00;;0.1;0.1;0.04;-0.1;-0.1;Matches
20;Edson Álvarez\Edson-Alvarez;mx MEX;MF;nl Ajax;21;1997;4.2;1;0;0;6;2;0;33.3;1.43;0.48;0.17;0.50;0.5;0.5;0.08;+0.5;+0.5;Matches
21;Nadiem Amiri\Nadiem-Amiri;de GER;FWMF;de Leverkusen;22;1996;2.6;0;0;0;7;2;1;28.6;2.66;0.76;0.00;0.00;0.4;0.4;0.06;-0.4;-0.4;Matches
22;Ethan Ampadu\Ethan-Ampadu;wal WAL;DF;de RB Leipzig;18;2000;2.0;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
23;Joachim Andersen\Joachim-Andersen;dk DEN;DF;fr Lyon;23;1996;4.0;1;0;0;1;1;0;100.0;0.25;0.25;1.00;1.00;0.2;0.2;0.15;+0.8;+0.8;Matches
