Squad;# Pl;MP;Starts;Min;Gls;Ast;PK;PKatt;CrdY;CrdR;GlsPerM;AstPerM;G+A;G-PK;G+A-PK;xG;npxG;xA;xGPerM;xAPerM;xG+xA;npxGPerM;npxG+xA
nl Ajax;19;6;66;540;10;10;0;0;20;2;1.67;1.67;3.33;1.67;3.33;6.7;6.7;5.7;1.11;0.95;2.06;1.11;2.06
it Atalanta;21;6;77;630;12;7;2;3;18;0;2.00;1.17;3.17;1.67;2.83;13.8;11.5;8.8;2.30;1.46;3.76;1.92;3.38
es Atlético Madrid;20;6;77;630;9;6;1;2;12;0;1.50;1.00;2.50;1.33;2.33;11.5;10.0;7.8;1.92;1.30;3.22;1.67;2.97
es Barcelona;23;6;77;630;9;8;0;0;21;1;1.50;1.33;2.83;1.50;2.83;10.9;10.9;9.3;1.81;1.55;3.36;1.81;3.36
de Bayern Munich;19;6;77;630;27;22;1;1;6;0;4.50;3.67;8.17;4.33;8.00;22.0;21.3;14.6;3.67;2.44;6.11;3.55;5.98
pt Benfica;23;6;66;540;9;5;1;1;8;0;1.50;0.83;2.33;1.33;2.17;7.5;6.8;5.5;1.25;0.91;2.16;1.13;2.04
eng Chelsea;22;6;77;630;11;7;2;3;12;1;1.83;1.17;3.00;1.50;2.67;14.6;12.4;9.9;2.43;1.65;4.09;2.06;3.71
be Club Brugge;22;6;66;540;4;3;0;1;17;3;0.67;0.50;1.17;0.67;1.17;7.6;6.8;4.6;1.26;0.76;2.03;1.14;1.90
hr Dinamo Zagreb;21;6;66;540;10;9;1;1;16;1;1.67;1.50;3.17;1.50;3.00;6.4;5.7;5.0;1.07;0.84;1.91;0.94;1.79
de Dortmund;24;6;77;630;10;9;0;1;12;1;1.67;1.50;3.17;1.67;3.17;11.1;10.4;8.2;1.85;1.36;3.21;1.73;3.09
tr Galatasaray;20;6;66;540;1;1;0;0;21;0;0.17;0.17;0.33;0.17;0.33;3.2;3.2;2.2;0.53;0.37;0.90;0.53;0.90
be Genk;20;6;66;540;5;4;0;0;10;0;0.83;0.67;1.50;0.83;1.50;6.4;6.4;4.6;1.07;0.76;1.83;1.07;1.83
it Inter;20;6;66;540;10;9;0;1;17;0;1.67;1.50;3.17;1.67;3.17;9.2;8.4;7.4;1.53;1.23;2.76;1.40;2.64
it Juventus;22;6;77;630;12;9;0;0;8;0;2.00;1.50;3.50;2.00;3.50;10.0;10.0;6.9;1.67;1.14;2.81;1.67;2.81
de Leverkusen;20;6;66;540;2;2;0;0;7;1;0.33;0.33;0.67;0.33;0.67;5.1;5.1;4.4;0.85;0.74;1.59;0.85;1.59
fr Lille;21;6;66;540;4;4;0;0;14;0;0.67;0.67;1.33;0.67;1.33;7.6;7.6;6.0;1.26;1.00;2.26;1.26;2.26
eng Liverpool;19;6;77;630;13;10;0;0;8;0;2.17;1.67;3.83;2.17;3.83;11.4;11.4;8.6;1.90;1.43;3.33;1.90;3.33
ru Loko Moscow;20;6;66;540;4;2;0;0;12;0;0.67;0.33;1.00;0.67;1.00;5.6;5.6;3.2;0.93;0.54;1.47;0.93;1.47
fr Lyon;23;6;77;630;10;8;1;1;10;0;1.67;1.33;3.00;1.50;2.83;7.1;6.4;4.8;1.19;0.80;1.99;1.06;1.86
eng Manchester City;23;6;77;630;18;16;2;3;13;2;3.00;2.67;5.67;2.67;5.33;18.0;15.8;12.9;3.00;2.15;5.14;2.63;4.77
it Napoli;23;6;77;630;12;6;3;3;13;0;2.00;1.00;3.00;1.50;2.50;10.8;8.5;5.9;1.79;0.98;2.77;1.42;2.40
gr Olympiacos;17;6;66;540;8;5;2;2;14;1;1.33;0.83;2.17;1.00;1.83;7.8;6.3;4.9;1.30;0.82;2.12;1.05;1.86
fr Paris S-G;24;6;77;630;18;13;1;1;16;0;3.00;2.17;5.17;2.83;5.00;16.2;15.4;12.7;2.69;2.11;4.80;2.57;4.68
de RB Leipzig;23;6;77;630;11;6;4;4;12;0;1.83;1.00;2.83;1.17;2.17;14.5;11.5;7.9;2.41;1.31;3.72;1.91;3.22
at RB Salzburg;21;6;66;540;16;13;2;2;8;0;2.67;2.17;4.83;2.33;4.50;12.6;11.1;9.6;2.10;1.60;3.69;1.84;3.44
es Real Madrid;24;6;77;630;15;13;1;1;12;1;2.50;2.17;4.67;2.33;4.50;15.0;14.2;12.1;2.49;2.02;4.51;2.37;4.38
rs Red Star;19;6;66;540;3;2;0;1;14;0;0.50;0.33;0.83;0.50;0.83;4.1;3.3;2.0;0.68;0.33;1.01;0.55;0.88
ua Shakhtar;18;6;66;540;8;6;1;1;11;2;1.33;1.00;2.33;1.17;2.17;6.8;6.0;5.6;1.13;0.93;2.05;1.00;1.93
cz Slavia Prague;20;6;66;540;4;3;1;1;16;0;0.67;0.50;1.17;0.50;1.00;7.8;7.0;4.6;1.29;0.77;2.06;1.17;1.94
eng Tottenham;26;6;77;630;18;15;2;2;10;0;3.00;2.50;5.50;2.67;5.17;13.7;12.2;10.2;2.28;1.71;3.99;2.03;3.73
es Valencia;22;6;77;630;9;7;1;3;15;2;1.50;1.17;2.67;1.33;2.50;10.4;8.1;6.6;1.73;1.10;2.83;1.35;2.45
ru Zenit;19;6;66;540;6;5;0;0;17;1;1.00;0.83;1.83;1.00;1.83;6.1;6.1;5.1;1.02;0.84;1.86;1.02;1.86
