Squad;# Pl;MP;Starts;Min;GA;GA90;SoTA;Saves;Save%;W;D;L;CS;CS%;PKatt;PKA;PKsv;PKm
nl Ajax;1;6;6;540;6;1.00;28;24;.857;3;1;2;3;50.0;3;2;0;1
it Atalanta;1;6;6;630;13;1.86;31;19;.613;3;1;3;2;33.3;2;1;0;1
es Atlético Madrid;1;6;6;630;5;0.71;15;11;.667;4;1;2;4;66.7;0;0;0;0
es Barcelona;2;6;6;630;5;0.71;29;23;.828;4;3;0;2;33.3;1;0;1;0
de Bayern Munich;1;6;6;630;5;0.71;18;14;.778;7;0;0;4;66.7;1;1;0;0
pt Benfica;1;6;6;540;11;1.83;27;18;.630;2;1;3;1;16.7;1;1;0;0
eng Chelsea;2;6;6;630;12;1.71;24;14;.500;3;2;2;1;16.7;1;0;1;0
be Club Brugge;1;6;6;540;12;2.00;24;12;.500;0;3;3;1;16.7;0;0;0;0
hr Dinamo Zagreb;1;6;6;540;13;2.17;32;21;.656;1;2;3;1;16.7;2;2;0;0
de Dortmund;1;6;6;630;9;1.29;32;23;.719;4;1;2;2;33.3;1;0;1;0
tr Galatasaray;1;6;6;540;14;2.33;46;34;.739;0;2;4;1;16.7;2;2;0;0
be Genk;2;6;6;540;20;3.33;38;19;.526;0;1;5;1;16.7;2;2;0;0
it Inter;1;6;6;540;9;1.50;29;21;.724;2;1;3;1;16.7;1;1;0;0
it Juventus;2;6;6;630;5;0.71;21;16;.762;5;1;1;3;50.0;0;0;0;0
de Leverkusen;1;6;6;540;9;1.50;28;19;.679;2;0;4;1;16.7;0;0;0;0
fr Lille;2;6;6;540;14;2.33;32;20;.594;0;1;5;0;0.0;1;1;0;0
eng Liverpool;2;6;6;630;9;1.29;25;17;.680;4;1;2;1;16.7;1;1;0;0
ru Loko Moscow;2;6;6;540;11;1.83;39;31;.744;1;0;5;0;0.0;2;1;1;0
fr Lyon;1;6;6;630;8;1.14;18;12;.667;3;2;2;2;33.3;2;2;0;0
eng Manchester City;3;6;6;622;5;0.72;16;12;.750;5;2;0;2;33.3;1;1;0;0
it Napoli;2;6;6;630;5;0.71;18;15;.833;3;4;0;3;50.0;2;2;0;0
gr Olympiacos;1;6;6;540;14;2.33;34;21;.618;1;1;4;1;16.7;2;1;0;1
fr Paris S-G;2;6;6;630;4;0.57;20;16;.800;5;1;1;5;83.3;1;0;1;0
de RB Leipzig;2;6;6;630;8;1.14;32;23;.750;4;2;1;2;33.3;0;0;0;0
at RB Salzburg;2;6;6;540;13;2.17;29;16;.552;2;1;3;0;0.0;0;0;0;0
es Real Madrid;2;6;6;630;10;1.43;27;18;.667;3;2;2;2;33.3;1;1;0;0
rs Red Star;1;6;6;540;20;3.33;51;32;.647;1;0;5;0;0.0;2;2;0;0
ua Shakhtar;1;6;6;540;13;2.17;32;20;.625;1;3;2;0;0.0;2;1;1;0
cz Slavia Prague;1;6;6;540;10;1.67;35;26;.714;0;2;4;1;16.7;0;0;0;0
eng Tottenham;2;6;6;630;15;2.14;41;25;.683;3;1;3;2;33.3;2;2;0;0
es Valencia;2;6;6;630;11;1.57;34;22;.676;3;2;2;2;33.3;1;0;0;1
ru Zenit;2;6;6;540;9;1.50;38;31;.816;2;1;3;1;16.7;2;2;0;0
