"id";"name";"nation";"position";"Squad";"age";"born";"MP";"Min";"Mn/MP";"Min%";"90s";"Starts";"Mn/Start";"Subs";"Mn/Sub";"unSub";"PPM";"onG";"onGA";"+/-";"+/-90";"On-Off";"onxG";"onxGA";"xG+/-";"xG+/-90";"On-Off-ex";"Matches"
1;Tammy Abraham\Tammy-Abraham;eng ENG;FW;eng Chelsea;21;1997;7;487;70;77.3;5.4;6;76;1;29;0;1.57;9;8;+1;+0.18;-0.44;11.7;4.4;+7.3;+1.36;+2.36;Matches
2;Antonio Adán\Antonio-Adan;es ESP;GK;es Atletico Madrid;32;1987;0;;;;;0;;0;;7;;;;;;;;;;;;Matches
3;Arijan Ademi\Arijan-Ademi;mk MKD;MFDF;hr Dinamo Zagreb;28;1991;6;518;86;95.9;5.8;6;86;0;;0;1.58;10;12;-2;-0.35;+3.74;6.3;13.5;-7.1;-1.24;+0.39;Matches
4;Adrián\Adrian;es ESP;GK;eng Liverpool;32;1987;2;180;90;28.6;2.0;2;90;0;;5;1.50;4;5;-1;-0.50;-1.70;3.4;3.7;-0.3;-0.15;-1.05;Matches
5;Sergio Agüero\Sergio-Aguero;ar ARG;FW;eng Manchester City;31;1988;3;196;65;31.1;2.2;2;90;1;17;2;2.33;6;1;+5;+2.30;+0.84;6.7;1.8;+4.9;+2.23;+0.58;Matches
6;Manuel Akanji\Manuel-Akanji;ch SUI;DF;de Dortmund;24;1995;6;524;87;83.2;5.8;6;87;0;;1;1.67;8;7;+1;+0.17;+1.02;9.7;8.2;+1.5;+0.25;+1.27;Matches
7;Yunus Akgün\Yunus-Akgun;tr TUR;FW;tr Galatasaray;19;2000;0;;;;;0;;0;;1;;;;;;;;;;;;Matches
8;Sergio Akieme\Sergio-Akieme;es ESP;DF;es Barcelona;21;1997;0;;;;;0;;0;;1;;;;;;;;;;;;Matches
9;David Alaba\David-Alaba;at AUT;DF;de Bayern Munich;27;1992;4;315;79;50.0;3.5;4;79;0;;0;3.00;10;3;+7;+2.00;-1.43;9.2;2.7;+6.5;+1.87;-1.11;Matches
10;Lucas Alario\Lucas-Alario;ar ARG;FW;de Leverkusen;26;1992;5;214;43;39.6;2.4;2;75;3;21;1;0.60;0;3;-3;-1.26;-0.99;2.3;2.2;+0.1;+0.04;+0.60;Matches
11;Jordi Alba\Jordi-Alba;es ESP;DF;es Barcelona;30;1989;3;175;58;27.8;1.9;3;58;0;;0;1.67;2;1;+1;+0.51;-0.28;3.6;2.5;+1.1;+0.54;+0.32;Matches
12;Paco Alcácer\Paco-Alcacer;es ESP;FW;de Dortmund;25;1993;2;113;57;17.9;1.3;1;87;1;26;1;2.00;1;0;+1;+0.80;+0.97;3.3;0.7;+2.6;+2.05;+2.45;Matches
13;Thiago Alcántara\Thiago-Alcantara;es ESP;MF;de Bayern Munich;28;1991;6;495;83;78.6;5.5;5;90;1;45;1;3.00;23;4;+19;+3.45;+3.45;18.8;3.7;+15.0;+2.73;+1.46;Matches
14;Toby Alderweireld\Toby-Alderweireld;be BEL;DF;eng Tottenham;30;1989;5;450;90;71.4;5.0;5;90;0;;1;0.80;9;15;-6;-1.20;-6.20;8.0;9.6;-1.7;-0.33;-2.45;Matches
15;Carles Aleñá\Carles-Alena;es ESP;MF;es Barcelona;21;1998;1;90;90;14.3;1.0;1;90;0;;1;3.00;2;1;+1;+1.00;+0.33;1.2;1.3;-0.1;-0.12;-0.50;Matches
16;Trent Alexander-Arnold\Trent-Alexander-Arnold;eng ENG;DF;eng Liverpool;20;1998;6;462;77;73.3;5.1;5;90;1;12;0;1.67;8;7;+1;+0.19;-1.95;8.8;6.0;+2.7;+0.53;-0.25;Matches
17;Alisson\Alisson;br BRA;GK;eng Liverpool;26;1992;5;450;90;71.4;5.0;5;90;0;;0;2.00;9;4;+5;+1.00;+1.00;8.0;3.5;+4.5;+0.90;+1.05;Matches
18;Bobby Allain\Bobby-Allain;fr FRA;GK;gr Olympiacos;27;1991;0;;;;;0;;0;;6;;;;;;;;;;;;Matches
19;Allan\Allan;br BRA;MF;it Napoli;28;1991;6;445;74;70.6;4.9;5;87;1;10;0;2.00;8;3;+5;+1.01;+0.04;6.5;5.8;+0.7;+0.14;-0.68;Matches
20;Dele Alli\Dele-Alli;eng ENG;MFFW;eng Tottenham;23;1996;6;432;72;68.6;4.8;6;72;0;;0;1.67;16;9;+7;+1.46;+2.82;10.9;6.8;+4.0;+0.84;+1.51;Matches
21;André Almeida\Andre-Almeida;pt POR;DF;pt Benfica;28;1990;1;90;90;16.7;1.0;1;90;0;;2;1.00;2;2;0;0.00;+0.20;0.8;3.4;-2.6;-2.61;-2.83;Matches
22;Marcos Alonso\Marcos-Alonso;es ESP;DF;eng Chelsea;28;1990;5;397;79;63.0;4.4;5;79;0;;0;1.40;4;8;-4;-0.91;-3.22;6.5;5.5;+1.0;+0.23;-1.61;Matches
23;Éder Álvarez Balanta\Eder-Alvarez-Balanta;co COL;MF;be Club Brugge;26;1993;5;284;57;52.6;3.2;3;90;2;7;0;0.40;2;6;-4;-1.27;+0.14;4.1;3.8;+0.3;+0.10;+0.84;Matches
24;Edson Álvarez\Edson-Alvarez;mx MEX;MF;nl Ajax;21;1997;6;377;63;69.8;4.2;4;79;2;32;0;1.86;7;3;+4;+0.95;-0.15;4.8;8.0;-3.2;-0.77;+0.27;Matches
25;Nadiem Amiri\Nadiem-Amiri;de GER;FWMF;de Leverkusen;22;1996;4;237;59;43.9;2.6;2;87;2;32;0;0.75;2;3;-1;-0.38;+0.51;2.3;2.6;-0.4;-0.14;+0.33;Matches
26;Ethan Ampadu\Ethan-Ampadu;wal WAL;DF;de RB Leipzig;18;2000;3;181;60;28.7;2.0;2;73;1;35;1;1.67;1;2;-1;-0.50;-1.10;4.7;1.8;+2.9;+1.45;+0.62;Matches
27;Joachim Andersen\Joachim-Andersen;dk DEN;DF;fr Lyon;23;1996;5;362;72;57.5;4.0;4;88;1;9;2;2.00;7;4;+3;+0.75;+1.42;3.8;7.1;-3.3;-0.82;-1.17;Matches
28;Florin Andone\Florin-Andone;ro ROU;FW;tr Galatasaray;26;1993;3;161;54;29.8;1.8;2;68;1;26;1;0.00;0;5;-5;-2.80;-0.90;1.1;5.3;-4.2;-2.32;-0.33;Matches
29;Benjamin André\Benjamin-Andre;fr FRA;MF;fr Lille;28;1990;5;406;81;75.2;4.5;5;81;0;;0;0.20;3;8;-5;-1.11;+2.25;6.6;5.9;+0.7;+0.15;+1.64;Matches
30;Miguel Ángel Guerrero\Miguel-Angel-Guerrero;es ESP;FW;gr Olympiacos;29;1990;6;314;52;58.1;3.5;3;90;3;15;0;1.55;4;7;-3;-0.86;+0.33;4.5;5.5;-1.1;-0.30;+0.61;Matches
31;Angeliño\Angelino;es ESP;DF;de RB Leipzig;22;1997;1;90;90;14.3;1.0;1;90;0;;0;3.00;1;0;+1;+1.00;+0.83;2.0;0.9;+1.0;+1.03;+0.02;Matches
32;Angeliño\Angelino;es ESP;DF;eng Manchester City;22;1997;1;90;90;14.3;1.0;1;90;0;;3;1.00;1;1;0;0.00;-2.00;1.2;0.6;+0.6;+0.57;-1.47;Matches
33;Marcos Antônio\Marcos-Antonio;br BRA;MF;ua Shakhtar;19;2000;3;25;8;4.6;0.3;0;;3;8;3;0.67;2;1;+1;+3.60;+4.65;1.0;0.5;+0.6;+2.04;+3.23;Matches
34;Houssem Aouar\Houssem-Aouar;fr FRA;FWMF;fr Lyon;21;1998;5;445;89;70.6;4.9;5;89;0;;1;2.00;9;5;+4;+0.81;+2.27;4.7;7.4;-2.7;-0.55;-0.80;Matches
35;Youssef El-Arabi\Youssef-El-Arabi;ma MAR;FW;gr Olympiacos;32;1987;6;277;46;51.3;3.1;3;88;3;4;0;1.44;5;9;-4;-1.30;-0.62;4.9;6.6;-1.7;-0.55;+0.03;Matches
36;Guilherme Arana\Guilherme-Arana;br BRA;DF;it Atalanta;22;1997;0;;;;;0;;0;;3;;;;;;;;;;;;Matches
37;Charles Aránguiz\Charles-Aranguiz;cl CHI;MF;de Leverkusen;30;1989;5;415;83;76.9;4.6;5;83;0;;0;1.20;5;6;-1;-0.22;+1.94;4.4;5.3;-0.9;-0.20;+0.53;Matches
38;Luiz Araújo\Luiz-Araujo;br BRA;FWMF;fr Lille;23;1996;6;277;46;51.3;3.1;3;74;3;18;0;0.17;2;7;-5;-1.62;+0.09;2.8;4.2;-1.3;-0.44;-0.37;Matches
39;Ronald Araújo\Ronald-Araujo;uy URU;DF;es Barcelona;20;1999;0;;;;;0;;0;;2;;;;;;;;;;;;Matches
