Squad;# Pl;MP;Min;Mn/MP;Min%;Starts;Mn/Start;Subs;Mn/Sub;unSub;PPM;onG;onGA;+/-;+/-90;onxG;onxGA;xG+/-;xG+/-90
nl Ajax;19;6;540;90;100;66;85;17;15;25;1.67;12;6;+6;+1.00;6.7;11.8;-5.1;-0.85
it Atalanta;22;6;720;120;100;88;85;23;21;33;1.63;8;12;-4;-0.50;16.0;14.4;+1.6;+0.20
es Atlético Madrid;20;6;750;125;100;88;87;25;25;31;2.00;8;5;+3;+0.36;12.4;6.8;+5.6;+0.68
es Barcelona;23;6;630;105;100;77;84;20;24;29;2.14;9;4;+5;+0.71;10.9;8.7;+2.2;+0.31
de Bayern Munich;19;6;630;105;100;77;85;21;19;27;3.00;24;5;+19;+2.71;22.0;5.1;+17.0;+2.42
pt Benfica;23;6;540;90;100;66;84;18;22;24;1.17;10;11;-1;-0.17;7.5;9.0;-1.5;-0.25
eng Chelsea;22;6;630;105;100;77;84;21;22;28;1.57;11;9;+2;+0.29;14.6;8.8;+5.8;+0.82
be Club Brugge;22;6;540;90;100;66;85;17;18;25;0.50;4;12;-8;-1.33;7.6;9.4;-1.8;-0.30
hr Dinamo Zagreb;21;6;540;90;100;66;86;18;14;24;0.83;10;13;-3;-0.50;6.4;14.0;-7.5;-1.26
de Dortmund;24;6;720;120;100;88;87;22;12;34;1.63;8;8;0;0.00;11.5;11.9;-0.5;-0.06
tr Galatasaray;20;6;540;90;100;66;84;18;21;24;0.33;1;14;-13;-2.17;3.2;15.8;-12.6;-2.09
be Genk;20;6;540;90;100;66;86;17;15;25;0.17;5;20;-15;-2.50;6.4;15.1;-8.7;-1.45
it Inter;20;6;540;90;100;66;85;18;18;24;1.17;10;9;+1;+0.17;9.2;8.1;+1.1;+0.18
it Juventus;22;6;630;105;100;77;86;21;16;28;2.29;12;4;+8;+1.14;10.0;8.1;+1.9;+0.27
de Leverkusen;20;6;540;90;100;66;85;17;18;25;1.00;5;9;-4;-0.67;5.1;7.1;-1.9;-0.32
fr Lille;21;6;540;90;100;66;86;18;16;24;0.17;4;14;-10;-1.67;7.6;9.1;-1.5;-0.26
eng Liverpool;20;6;750;125;100;88;88;24;20;32;1.63;13;8;+5;+0.60;14.2;8.1;+6.1;+0.73
ru Loko Moscow;20;6;540;90;100;66;87;11;15;31;0.50;4;11;-7;-1.17;5.6;12.8;-7.2;-1.20
fr Lyon;23;6;630;105;100;77;86;20;16;29;1.57;9;8;+1;+0.14;7.1;9.4;-2.2;-0.32
eng Manchester City;23;6;630;105;100;77;85;19;19;30;2.43;16;4;+12;+1.71;18.0;5.1;+12.8;+1.83
it Napoli;23;6;630;105;100;77;85;21;20;28;1.86;11;4;+7;+1.00;10.8;8.4;+2.4;+0.34
gr Olympiacos;17;6;540;90;100;66;86;18;14;24;0.67;8;14;-6;-1.00;7.8;11.2;-3.4;-0.56
fr Paris S-G;24;6;720;120;100;88;86;22;18;34;2.38;17;2;+15;+1.87;17.3;8.2;+9.0;+1.13
de RB Leipzig;24;6;720;120;100;88;83;24;25;32;2.13;10;8;+2;+0.25;15.3;7.7;+7.6;+0.95
at RB Salzburg;21;6;540;90;100;66;85;18;20;24;1.17;16;13;+3;+0.50;12.6;11.0;+1.6;+0.26
es Real Madrid;24;6;630;105;100;77;85;21;19;28;1.57;14;8;+6;+0.86;15.0;9.9;+5.0;+0.72
rs Red Star;19;6;540;90;100;66;84;18;24;24;0.50;3;20;-17;-2.83;4.1;18.3;-14.2;-2.37
ua Shakhtar;18;6;540;90;100;66;86;17;15;25;1.00;8;13;-5;-0.83;6.8;13.0;-6.3;-1.04
cz Slavia Prague;20;6;540;90;100;66;85;18;19;24;0.33;4;10;-6;-1.00;7.8;11.4;-3.6;-0.61
eng Tottenham;28;6;720;120;100;88;85;22;19;34;1.25;18;14;+4;+0.50;14.0;11.9;+2.0;+0.25
es Valencia;23;6;720;120;100;88;85;22;21;34;1.38;9;7;+2;+0.25;12.6;14.0;-1.4;-0.17
ru Zenit;19;6;540;90;100;66;85;18;18;24;1.17;7;9;-2;-0.33;6.1;8.4;-2.3;-0.38
