id;name;Nation;Position;Squad;Age;Born;90s;GA;PKA;FK;CK;OG;PSxG;PSxG/SoT;PSxG+/-;/90;Cmp;Att;Cmp%;Att;Thr;Launch%;AvgLen;Att;Launch%;AvgLen;Att;Stp;Stp%;#OPA;#OPA/90;AvgDist;Matches
1;Igor Akinfeev\Igor-Akinfeev;ru RUS;GK;ru CSKA Moscow;33;1986;5.0;9;1;0;0;0;8.5;0.40;-0.5;-0.10;35;81;43.2;109;16;53.2;47.2;29;79.3;61.9;28;0;0.0;2;0.40;17.7;Matches
2;Giedrius Arlauskis\Giedrius-Arlauskis;lt LTU;GK;ro CFR Cluj;31;1987;8.0;5;0;0;2;0;7.6;0.23;+2.6;+0.32;79;209;37.8;164;25;79.3;55.8;92;85.9;59.0;58;3;5.2;6;0.75;14.6;Matches
3;David von Ballmoos\David-von-Ballmoos;ch SUI;GK;ch Young Boys;24;1994;6.0;7;1;0;1;0;8.0;0.29;+1.0;+0.17;33;97;34.0;159;35;42.8;37.7;40;72.5;56.3;31;3;9.7;2;0.33;14.3;Matches
4;Noam Baumann\Noam-Baumann;ch SUI;GK;ch Lugano;23;1996;5.0;4;1;0;0;0;4.0;0.44;0.0;0.00;16;53;30.2;98;19;23.5;30.9;44;68.2;49.0;32;0;0.0;2;0.40;12.6;Matches
5;Asmir Begović\Asmir-Begovic;ba BIH;GK;az Qarabağ Ağdam;32;1987;5.0;10;0;1;2;1;6.7;0.34;-2.3;-0.45;35;91;38.5;84;12;65.5;46.9;46;78.3;59.9;25;1;4.0;2;0.40;14.8;Matches
6;Vid Belec\Vid-Belec;si SVN;GK;cy APOEL;29;1990;7.0;11;0;0;2;0;10.7;0.33;-0.3;-0.04;46;131;35.1;114;12;65.8;50.4;66;84.8;60.3;42;0;0.0;2;0.29;13.2;Matches
7;Marco Bizot\Marco-Bizot;nl NED;GK;nl AZ Alkmaar;28;1991;8.0;11;3;0;0;0;8.9;0.34;-2.1;-0.27;32;107;29.9;208;39;38.5;36.5;71;38.0;35.1;35;5;14.3;6;0.75;15.3;Matches
8;Arnaud Bodart\Arnaud-Bodart;be BEL;GK;be Standard Liège;21;1998;3.0;4;0;1;0;0;5.1;0.27;+1.1;+0.36;25;57;43.9;67;12;58.2;44.9;29;62.1;51.9;24;0;0.0;5;1.67;17.3;Matches
9;Pépé Bonet\Pepe-Bonet;fr FRA;GK;fr Rennes;16;2003;0.9;1;0;1;0;0;1.2;0.40;+0.2;+0.23;7;13;53.8;11;1;36.4;36.3;11;81.8;52.8;10;1;10.0;0;0.00;14.0;Matches
10;Yassine Bounou\Yassine-Bounou;ma MAR;GK;es Sevilla;28;1991;6.0;3;0;0;1;0;4.5;0.27;+1.5;+0.25;20;37;54.1;92;25;32.6;32.7;26;26.9;30.6;17;2;11.8;3;0.50;14.8;Matches
11;Denys Boyko\Denys-Boyko;ua UKR;GK;ua Dynamo Kyiv;31;1988;1.0;0;0;0;0;0;0.3;0.15;+0.3;+0.29;10;19;52.6;24;6;62.5;45.7;5;80.0;62.6;4;0;0.0;0;0.00;14.0;Matches
12;Heorhiy Bushchan\Heorhiy-Bushchan;ua UKR;GK;ua Dynamo Kyiv;25;1994;5.0;7;0;0;1;0;5.9;0.36;-1.1;-0.21;34;73;46.6;106;20;47.2;42.1;33;69.7;49.4;33;3;9.1;2;0.40;16.4;Matches
13;Uğurcan Çakır\Ugurcan-Cakir;tr TUR;GK;tr Trabzonspor;23;1996;3.0;5;0;0;1;0;3.6;0.40;-1.4;-0.46;23;53;43.4;66;13;47.0;45.2;31;71.0;60.1;13;1;7.7;3;1.00;15.8;Matches
14;Eduardo Carvalho\Eduardo-Carvalho;pt POR;GK;pt Braga;36;1982;3.0;6;0;0;0;1;3.2;0.41;-1.8;-0.58;17;30;56.7;63;12;41.3;35.5;15;26.7;25.9;19;2;10.5;0;0.00;13.8;Matches
15;Koen Casteels\Koen-Casteels;be BEL;GK;de Wolfsburg;27;1992;3.0;1;1;0;0;0;2.0;0.49;+1.0;+0.32;26;51;51.0;99;7;37.4;37.2;23;60.9;48.9;19;0;0.0;1;0.33;14.3;Matches
16;Leandro Chichizola\Leandro-Chichizola;ar ARG;GK;es Getafe;29;1990;5.0;4;0;0;0;0;3.7;0.34;-0.3;-0.06;45;116;38.8;127;13;68.5;53.8;32;90.6;75.4;13;2;15.4;8;1.60;16.5;Matches
17;David Da Costa\David-Da-Costa;ch SUI;GK;ch Lugano;33;1986;1.0;1;0;0;0;0;1.2;0.24;+0.2;+0.18;4;26;15.4;11;1;63.6;44.5;21;90.5;62.6;16;1;6.3;0;0.00;6.5;Matches
18;Johan Dahlin\Johan-Dahlin;se SWE;GK;se Malmö;32;1986;8.0;11;0;0;1;2;8.8;0.28;-0.2;-0.02;57;166;34.3;195;37;63.1;47.5;63;68.3;54.4;52;1;1.9;1;0.13;12.7;Matches
19;Dénes Dibusz\Denes-Dibusz;hu HUN;GK;hu Ferencváros;28;1990;6.0;7;0;1;2;0;8.7;0.34;+1.7;+0.29;38;93;40.9;149;21;36.2;35.0;60;65.0;48.9;42;2;4.8;1;0.17;13.3;Matches
20;Renan dos Santos\Renan-dos-Santos;br BRA;GK;bg Ludogorets;30;1989;1.0;1;0;0;0;0;2.2;0.43;+1.2;+1.16;5;9;55.6;27;9;18.5;30.1;13;30.8;39.0;7;0;0.0;0;0.00;13.4;Matches
21;Douglas\Douglas;br BRA;GK;pt Vitória;36;1983;2.0;2;1;0;0;0;1.9;0.39;-0.1;-0.04;17;40;42.5;56;10;42.9;38.8;24;66.7;49.7;8;1;12.5;1;0.50;16.3;Matches
22;Nenad Erić\Nenad-Eric;kz KAZ;GK;kz Astana FK;37;1982;5.3;13;0;0;1;0;11.8;0.32;-1.2;-0.23;34;82;41.5;102;22;47.1;39.1;57;59.6;47.4;18;1;5.6;2;0.38;14.1;Matches
23;Fraser Forster\Fraser-Forster;eng ENG;GK;sco Celtic;31;1988;7.0;8;1;0;1;0;9.0;0.34;+1.0;+0.14;41;136;30.1;147;27;59.2;45.6;53;92.5;69.4;40;2;5.0;6;0.86;15.6;Matches
24;David de Gea\David-de-Gea;es ESP;GK;eng Manchester Utd;28;1990;1.0;0;0;0;0;0;0.6;0.15;+0.6;+0.61;4;14;28.6;20;3;45.0;40.3;12;41.7;37.8;7;1;14.3;0;0.00;14.0;Matches
25;Craig Gordon\Craig-Gordon;sco SCO;GK;sco Celtic;36;1982;1.0;2;0;0;1;0;2.9;0.42;+0.9;+0.92;8;12;66.7;16;6;25.0;27.6;13;61.5;45.8;10;0;0.0;1;1.00;16.8;Matches
26;Lee Grant\Lee-Grant;eng ENG;GK;eng Manchester Utd;36;1983;1.0;2;0;0;0;1;0.6;0.15;-0.4;-0.38;4;11;36.4;14;7;35.7;28.1;12;50.0;39.7;7;0;0.0;0;0.00;15.0;Matches
27;Dominik Greif\Dominik-Greif;sk SVK;GK;sk Slovan Bratislava;22;1997;6.0;13;3;0;1;2;11.5;0.37;+0.5;+0.09;33;122;27.0;115;28;60.0;46.6;69;76.8;56.4;49;1;2.0;4;0.67;13.7;Matches
28;Mert Günok\Mert-Gunok;tr TUR;GK;tr Başakşehir;30;1989;8.3;13;1;0;1;1;14.3;0.33;+2.3;+0.27;73;162;45.1;213;36;57.7;45.0;76;51.3;46.8;48;5;10.4;2;0.24;10.7;Matches
29;André Hansen\Andre-Hansen;no NOR;GK;no Rosenborg;29;1989;5.0;10;0;0;3;1;6.3;0.25;-2.7;-0.54;57;125;45.6;153;21;54.9;43.9;53;77.4;56.2;12;0;0.0;5;1.00;15.5;Matches
30;Lukáš Hrádecký\Lukas-Hradecky;fi FIN;GK;de Leverkusen;29;1989;2.0;2;0;0;0;0;1.6;0.32;-0.4;-0.18;23;51;45.1;82;11;56.1;40.8;9;55.6;43.0;11;1;9.1;1;0.50;14.0;Matches
31;Plamen Iliev\Plamen-Iliev;bg BUL;GK;bg Ludogorets;27;1991;7.0;13;2;0;2;0;12.7;0.32;-0.3;-0.04;56;165;33.9;180;34;60.0;46.7;69;82.6;59.6;44;1;2.3;2;0.29;10.7;Matches
32;Karl-Johan Johnsson\Karl-Johan-Johnsson;se SWE;GK;dk FC Copenhagen;29;1990;8.0;6;1;0;0;1;9.0;0.35;+4.0;+0.50;69;214;32.2;222;20;70.3;50.7;72;80.6;61.5;64;6;9.4;4;0.50;13.1;Matches
33;Jonathan Joubert\Jonathan-Joubert;lu LUX;GK;lu F91 Dudelange;39;1979;6.0;18;3;1;0;0;18.0;0.40;0.0;0.00;36;108;33.3;116;17;56.0;41.1;53;81.1;54.1;27;1;3.7;2;0.33;11.1;Matches
34;Thomas Kaminski\Thomas-Kaminski;be BEL;GK;be Gent;26;1992;8.0;9;0;0;1;1;6.3;0.26;-1.7;-0.21;73;165;44.2;187;33;60.4;43.9;67;77.6;56.7;75;4;5.3;4;0.50;14.2;Matches
35;Erce Kardeşler\Erce-Kardesler;tr TUR;GK;tr Trabzonspor;25;1994;3.0;6;0;0;2;1;5.5;0.42;+0.5;+0.18;13;45;28.9;87;17;37.9;34.7;24;50.0;44.4;12;1;8.3;0;0.00;14.4;Matches
36;Loris Karius\Loris-Karius;de GER;GK;tr Beşiktaş;26;1993;5.0;11;0;0;2;0;8.4;0.34;-2.6;-0.53;25;80;31.3;131;26;42.7;37.3;44;54.5;47.6;43;4;9.3;5;1.00;16.5;Matches
37;Filip Kljajić\Filip-Kljajic;rs SRB;GK;rs Partizan;28;1990;0.2;1;0;0;0;0;0.3;0.17;-0.7;-3.01;2;3;66.7;6;1;33.3;32.0;1;100.0;71.0;2;0;0.0;0;0.00;;Matches
38;Alexander Kofler\Alexander-Kofler;at AUT;GK;at Wolfsberger AC;32;1986;6.0;8;2;0;1;0;11.3;0.36;+3.3;+0.54;39;138;28.3;174;27;62.6;47.8;49;59.2;47.4;35;0;0.0;3;0.50;14.4;Matches
39;Stanislav Kritsyuk\Stanislav-Kritsyuk;ru RUS;GK;ru Krasnodar;28;1990;3.0;4;0;0;1;0;2.5;0.22;-1.5;-0.51;18;50;36.0;80;21;43.8;37.7;29;51.7;46.8;23;3;13.0;0;0.00;13.4;Matches
40;Bernd Leno\Bernd-Leno;de GER;GK;eng Arsenal;27;1992;2.3;2;0;0;2;0;1.9;0.27;-0.1;-0.04;7;14;50.0;46;11;19.6;27.5;17;29.4;32.4;12;1;8.3;1;0.43;15.0;Matches
41;Diego López\Diego-Lopez;es ESP;GK;es Espanyol;37;1981;5.0;3;1;0;0;1;3.7;0.28;+1.7;+0.34;28;80;35.0;100;10;53.0;44.1;30;90.0;60.2;23;0;0.0;2;0.40;12.5;Matches
42;Pau López\Pau-Lopez;es ESP;GK;it Roma;24;1994;6.3;5;1;0;0;1;5.1;0.28;+1.1;+0.18;59;110;53.6;212;30;39.6;34.8;59;44.1;37.0;45;2;4.4;8;1.27;15.8;Matches
43;Agustín Marchesín\Agustin-Marchesin;ar ARG;GK;pt Porto;31;1988;8.0;14;2;0;1;0;11.8;0.42;-2.2;-0.27;96;169;56.8;237;34;53.6;41.0;59;71.2;51.6;45;6;13.3;6;0.75;16.7;Matches
44;Nick Marsman\Nick-Marsman;nl NED;GK;nl Feyenoord;28;1990;2.0;5;0;0;0;1;2.7;0.38;-1.3;-0.64;2;16;12.5;41;11;24.4;30.7;14;42.9;44.0;14;0;0.0;0;0.00;11.5;Matches
45;Emiliano Martínez\Emiliano-Martinez;ar ARG;GK;eng Arsenal;26;1992;6.0;7;0;0;1;0;6.6;0.25;-0.4;-0.07;26;70;37.1;115;30;39.1;38.8;61;41.0;39.2;37;4;10.8;1;0.17;12.5;Matches
46;Matheus\Matheus;br BRA;GK;pt Braga;27;1992;4.0;5;0;1;1;0;6.0;0.34;+1.0;+0.26;17;49;34.7;129;25;27.9;34.3;30;43.3;41.8;31;5;16.1;4;1.00;14.3;Matches
47;Luís Maximiano\Luis-Maximiano;pt POR;GK;pt Sporting CP;20;1999;3.9;7;3;1;2;0;7.7;0.48;+0.7;+0.18;33;83;39.8;91;15;62.6;43.8;35;74.3;50.2;30;1;3.3;1;0.25;13.0;Matches
