;;;;;;;Playing Time;Playing Time;Playing Time;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Penalty Kicks;Penalty Kicks;Penalty Kicks;Penalty Kicks;
Rk;Player;Nation;Pos;Squad;Age;Born;MP;Starts;Min;GA;GA90;SoTA;Saves;Save%;W;D;L;CS;CS%;PKatt;PKA;PKsv;PKm;Matches
1;Igor Akinfeev\Igor-Akinfeev;ru RUS;GK;ru CSKA Moscow;33;1986;5;5;450;9;1.80;22;13;.636;0;2;3;1;20.0;1;1;0;0;Matches
2;Giedrius Arlauskis\Giedrius-Arlauskis;lt LTU;GK;ro CFR Cluj;31;1987;8;8;720;5;0.62;33;28;.848;4;2;2;4;50.0;1;0;0;1;Matches
3;David von Ballmoos\David-von-Ballmoos;ch SUI;GK;ch Young Boys;24;1994;6;6;540;7;1.17;28;22;.786;2;2;2;1;16.7;1;1;0;0;Matches
4;Noam Baumann\Noam-Baumann;ch SUI;GK;ch Lugano;23;1996;5;5;450;4;0.80;9;5;.667;0;2;3;2;40.0;1;1;0;0;Matches
5;Asmir Begović\Asmir-Begovic;ba BIH;GK;az Qarabağ Ağdam;32;1987;5;5;450;10;2.00;20;11;.500;1;1;3;0;0.0;0;0;0;0;Matches
6;Vid Belec\Vid-Belec;si SVN;GK;cy APOEL;29;1990;7;7;630;11;1.57;32;21;.656;3;1;3;2;28.6;1;0;0;1;Matches
7;Marco Bizot\Marco-Bizot;nl NED;GK;nl AZ Alkmaar;28;1991;8;8;720;11;1.37;26;18;.692;2;4;2;3;37.5;3;3;0;0;Matches
8;Arnaud Bodart\Arnaud-Bodart;be BEL;GK;be Standard Liège;21;1998;3;3;270;4;1.33;19;15;.789;1;2;0;0;0.0;0;0;0;0;Matches
9;Pépé Bonet\Pepe-Bonet;fr FRA;GK;fr Rennes;16;2003;1;0;82;1;1.10;3;2;.667;0;0;0;0;;0;0;0;0;Matches
10;Yassine Bounou\Yassine-Bounou;ma MAR;GK;es Sevilla;28;1991;6;6;540;3;0.50;17;14;.824;4;1;1;4;66.7;0;0;0;0;Matches
11;Denys Boyko\Denys-Boyko;ua UKR;GK;ua Dynamo Kyiv;31;1988;1;1;90;0;0.00;2;2;1.000;1;0;0;1;100.0;0;0;0;0;Matches
12;Heorhiy Bushchan\Heorhiy-Bushchan;ua UKR;GK;ua Dynamo Kyiv;25;1994;5;5;450;7;1.40;17;10;.588;0;4;1;1;20.0;0;0;0;0;Matches
13;Uğurcan Çakır\Ugurcan-Cakir;tr TUR;GK;tr Trabzonspor;23;1996;3;3;270;5;1.67;9;4;.444;0;1;2;0;0.0;0;0;0;0;Matches
14;Eduardo Carvalho\Eduardo-Carvalho;pt POR;GK;pt Braga;36;1982;3;3;270;6;2.00;9;4;.333;1;2;0;0;0.0;1;0;1;0;Matches
15;Koen Casteels\Koen-Casteels;be BEL;GK;de Wolfsburg;27;1992;3;3;270;1;0.33;4;4;1.000;3;0;0;2;66.7;1;1;0;0;Matches
16;Leandro Chichizola\Leandro-Chichizola;ar ARG;GK;es Getafe;29;1990;5;5;450;4;0.80;11;7;.636;3;0;2;2;40.0;0;0;0;0;Matches
17;David Da Costa\David-Da-Costa;ch SUI;GK;ch Lugano;33;1986;1;1;90;1;1.00;5;4;.800;0;1;0;0;0.0;0;0;0;0;Matches
18;Johan Dahlin\Johan-Dahlin;se SWE;GK;se Malmö;32;1986;8;8;720;11;1.37;32;22;.656;3;2;3;2;25.0;0;0;0;0;Matches
19;Dénes Dibusz\Denes-Dibusz;hu HUN;GK;hu Ferencváros;28;1990;6;6;540;7;1.17;27;20;.741;1;4;1;2;33.3;0;0;0;0;Matches
20;Renan dos Santos\Renan-dos-Santos;br BRA;GK;bg Ludogorets;30;1989;1;1;90;1;1.00;5;4;.800;1;0;0;0;0.0;0;0;0;0;Matches
21;Douglas\Douglas;br BRA;GK;pt Vitória;36;1983;2;2;180;2;1.00;5;4;.800;0;2;0;0;0.0;1;1;0;0;Matches
22;Nenad Erić\Nenad-Eric;kz KAZ;GK;kz Astana FK;37;1982;6;6;476;13;2.46;38;24;.658;1;0;5;0;0.0;0;0;0;0;Matches
23;Fraser Forster\Fraser-Forster;eng ENG;GK;sco Celtic;31;1988;7;7;630;8;1.14;28;20;.750;4;2;1;1;14.3;2;1;0;1;Matches
24;David de Gea\David-de-Gea;es ESP;GK;eng Manchester Utd;28;1990;1;1;90;0;0.00;4;4;1.000;0;1;0;1;100.0;0;0;0;0;Matches
25;Craig Gordon\Craig-Gordon;sco SCO;GK;sco Celtic;36;1982;1;1;90;2;2.00;7;5;.714;0;0;1;0;0.0;0;0;0;0;Matches
26;Lee Grant\Lee-Grant;eng ENG;GK;eng Manchester Utd;36;1983;1;1;90;2;2.00;4;3;.500;0;0;1;0;0.0;0;0;0;0;Matches
27;Dominik Greif\Dominik-Greif;sk SVK;GK;sk Slovan Bratislava;22;1997;6;6;540;13;2.17;32;24;.688;1;1;4;0;0.0;4;3;1;0;Matches
28;Mert Günok\Mert-Gunok;tr TUR;GK;tr Başakşehir;30;1989;8;8;750;13;1.56;43;32;.721;4;1;3;2;25.0;1;1;0;0;Matches
29;André Hansen\Andre-Hansen;no NOR;GK;no Rosenborg;29;1989;5;5;450;10;2.00;25;16;.600;0;0;5;0;0.0;0;0;0;0;Matches
30;Lukáš Hrádecký\Lukas-Hradecky;fi FIN;GK;de Leverkusen;29;1989;2;2;180;2;1.00;7;5;.714;2;0;0;0;0.0;0;0;0;0;Matches
31;Plamen Iliev\Plamen-Iliev;bg BUL;GK;bg Ludogorets;27;1991;7;7;630;13;1.86;40;26;.725;1;2;4;1;14.3;2;2;0;0;Matches
32;Karl-Johan Johnsson\Karl-Johan-Johnsson;se SWE;GK;dk FC Copenhagen;29;1990;8;8;720;6;0.75;26;21;.808;3;4;1;2;25.0;2;1;1;0;Matches
33;Jonathan Joubert\Jonathan-Joubert;lu LUX;GK;lu F91 Dudelange;39;1979;6;6;540;18;3.00;46;31;.674;1;1;4;0;0.0;3;3;0;0;Matches
