Squad;# Pl;Ast;xA;A-xA;KP;Cmp;Att;CmpPER;shortCmp;shortAtt;shortCmpPER;mediumCmp;mediumAtt;mediumCmpPER;longCmp;longAtt;longCmpPER;Left;Right;FK;TB;CK;TI;1/3;PPA;CrsPA
nl Ajax;18;1;1.4;-0.4;8;841;1103;76.2;37;74;50.0;635;751;84.6;169;278;60.8;467;469;35;2;8;67;65;17;3
cy APOEL;23;5;3.4;+1.6;43;2279;2987;76.3;36;107;33.6;1648;1930;85.4;595;950;62.6;892;1670;136;2;33;170;149;21;6
eng Arsenal;25;12;13.1;-1.1;93;3920;4659;84.1;67;156;42.9;2969;3309;89.7;884;1194;74.0;1213;2984;95;9;52;177;276;80;18
kz Astana FK;20;3;2.6;+0.4;41;2010;2539;79.2;33;95;34.7;1430;1639;87.2;547;805;68.0;722;1527;63;6;14;119;125;24;7
nl AZ Alkmaar;19;11;9.4;+1.6;80;4127;4927;83.8;37;115;32.2;3006;3294;91.3;1084;1518;71.4;2061;2463;119;10;51;173;268;65;8
tr Başakşehir;21;6;7.2;-1.2;70;3392;4318;78.6;70;177;39.5;2460;2795;88.0;862;1346;64.0;1404;2392;117;13;33;215;236;57;15
ch Basel;23;14;7.5;+6.5;75;3335;4216;79.1;60;165;36.4;2441;2779;87.8;834;1272;65.6;1464;2249;121;13;35;234;176;56;12
pt Benfica;17;3;1.6;+1.4;18;870;1045;83.3;15;36;41.7;631;704;89.6;224;305;73.4;206;742;20;2;14;43;76;15;3
tr Beşiktaş;25;3;4.1;-1.1;51;3033;3669;82.7;39;107;36.4;2289;2561;89.4;705;1001;70.4;926;2397;89;4;30;125;213;44;15
pt Braga;25;16;7.9;+8.1;79;3610;4433;81.4;62;178;34.8;2489;2806;88.7;1059;1449;73.1;1258;2700;115;5;41;183;276;52;14
sco Celtic;27;10;6.5;+3.5;72;3195;4057;78.8;60;167;35.9;2416;2791;86.6;719;1099;65.4;1321;2188;102;8;40;207;236;56;4
ro CFR Cluj;20;3;4.6;-1.6;61;1686;2672;63.1;42;134;31.3;1168;1578;74.0;476;960;49.6;1100;967;110;3;37;204;147;36;14
be Club Brugge;18;1;1.6;-0.6;13;656;846;77.5;29;51;56.9;485;546;88.8;142;249;57.0;252;500;20;3;7;45;31;8;0
ru CSKA Moscow;21;3;6.8;-3.8;74;2308;2937;78.6;36;120;30.0;1673;1925;86.9;599;892;67.2;827;1749;75;8;39;145;175;76;9
ua Dynamo Kyiv;20;7;7.8;-0.8;80;3123;3782;82.6;38;110;34.5;2309;2624;88.0;776;1048;74.0;1542;1795;97;11;29;164;268;64;20
de Eint Frankfurt;21;11;10.5;+0.5;95;3269;4339;75.3;58;171;33.9;2367;2802;84.5;844;1366;61.8;1219;2451;97;12;55;231;256;70;27
es Espanyol;27;11;8.0;+3.0;75;3463;4284;80.8;38;110;34.5;2518;2847;88.4;907;1327;68.3;1099;2714;118;11;44;146;277;57;15
lu F91 Dudelange;19;7;3.7;+3.3;40;2082;2609;79.8;52;109;47.7;1599;1804;88.6;431;696;61.9;910;1409;66;1;23;136;126;25;5
dk FC Copenhagen;23;6;4.9;+1.1;45;3075;4061;75.7;66;146;45.2;2262;2639;85.7;747;1276;58.5;920;2544;165;8;31;212;188;44;9
ua FC Oleksandriya;20;2;3.1;-1.1;39;1678;2315;72.5;26;82;31.7;1133;1392;81.4;519;841;61.7;440;1526;83;3;27;147;116;31;11
hu Ferencváros;18;3;5.0;-2.0;55;2010;2561;78.5;14;73;19.2;1366;1578;86.6;630;910;69.2;647;1623;85;7;37;122;149;31;8
nl Feyenoord;20;4;4.5;-0.5;57;2534;3110;81.5;34;85;40.0;1816;2038;89.1;684;987;69.3;1008;1834;67;6;36;107;173;32;4
be Gent;22;9;6.9;+2.1;74;3136;3966;79.1;37;120;30.8;2193;2539;86.4;906;1307;69.3;655;2791;109;4;26;210;249;54;12
es Getafe;24;9;7.7;+1.3;69;1983;2875;69.0;48;142;33.8;1366;1703;80.2;569;1030;55.2;816;1483;120;5;39;230;196;45;18
it Inter;17;2;2.0;0.0;25;1023;1210;84.5;25;56;44.6;790;875;90.3;208;279;74.6;306;804;17;1;12;48;83;27;2
ru Krasnodar;21;4;6.2;-2.2;49;2263;2934;77.1;33;102;32.4;1629;1927;84.5;601;905;66.4;849;1674;77;12;28;142;167;33;7
at LASK;21;10;9.5;+0.5;111;2871;4015;71.5;65;174;37.4;2101;2591;81.1;705;1250;56.4;1039;2299;108;8;49;253;269;71;12
it Lazio;21;5;5.4;-0.4;55;2652;3295;80.5;54;106;50.9;1964;2272;86.4;634;917;69.1;908;1992;87;8;28;139;179;42;9
de Leverkusen;20;5;4.1;+0.9;26;1671;1978;84.5;37;72;51.4;1204;1331;90.5;430;575;74.8;684;1141;38;3;11;65;76;26;6
bg Ludogorets;22;8;5.4;+2.6;52;3081;3845;80.1;70;142;49.3;2135;2444;87.4;876;1259;69.6;827;2566;140;10;28;189;182;44;13
ch Lugano;24;2;3.4;-1.4;50;1896;2479;76.5;45;96;46.9;1330;1537;86.5;521;846;61.6;677;1493;95;12;19;136;134;30;6
de M'gladbach;19;4;7.5;-3.5;56;2837;3526;80.5;40;110;36.4;2116;2416;87.6;681;1000;68.1;894;2222;86;8;36;183;207;46;10
se Malmö;22;6;4.7;+1.3;58;2519;3360;75.0;46;141;32.6;1850;2208;83.8;623;1011;61.6;566;2282;137;2;29;185;169;45;13
eng Manchester Utd;35;16;9.8;+6.2;97;5049;5834;86.5;69;173;39.9;3865;4212;91.8;1115;1449;76.9;2140;3258;122;9;49;169;424;76;7
gr Olympiacos;17;3;2.3;+0.7;22;1361;1659;82.0;28;67;41.8;1012;1094;92.5;321;498;64.5;371;1142;36;0;14;58;81;13;4
rs Partizan;21;7;6.8;+0.2;55;2159;2732;79.0;33;94;35.1;1535;1758;87.3;591;880;67.2;752;1692;83;10;26;124;164;39;4
pt Porto;22;8;8.4;-0.4;68;3068;3889;78.9;57;149;38.3;2094;2412;86.8;917;1328;69.1;1020;2357;137;5;42;208;203;54;13
nl PSV Eindhoven;22;6;5.2;+0.8;49;2543;3260;78.0;71;155;45.8;1914;2239;85.5;558;866;64.4;1326;1500;78;10;30;154;165;43;2
az Qarabağ Ağdam;19;7;6.9;+0.1;52;2435;2954;82.4;51;112;45.5;1871;2088;89.6;513;754;68.0;1041;1604;109;4;27;127;153;31;7
sco Rangers;22;10;7.5;+2.5;80;3047;4004;76.1;65;179;36.3;2272;2640;86.1;710;1185;59.9;943;2526;105;10;47;224;224;50;14
at RB Salzburg;19;2;1.7;+0.3;25;793;1075;73.8;24;73;32.9;587;706;83.1;182;296;61.5;254;652;34;2;18;58;61;18;2
fr Rennes;25;2;3.8;-1.8;64;2180;2761;79.0;31;89;34.8;1595;1828;87.3;554;844;65.6;824;1586;97;3;37;154;150;27;6
it Roma;25;10;10.9;-0.9;94;3412;4188;81.5;37;141;26.2;2419;2748;88.0;956;1299;73.6;1130;2590;127;23;46;189;209;52;11
no Rosenborg;21;1;3.2;-2.2;35;1900;2668;71.2;31;120;25.8;1352;1693;79.9;517;855;60.5;749;1423;70;1;30;180;152;29;7
fr Saint-Étienne;27;3;3.0;0.0;47;2491;3099;80.4;48;119;40.3;1726;1972;87.5;717;1008;71.1;1032;1678;96;5;29;184;170;36;14
es Sevilla;28;11;14.9;-3.9;110;5420;6133;88.4;85;158;53.8;4127;4462;92.5;1208;1513;79.8;1822;3879;115;16;50;180;437;84;15
ua Shakhtar;17;3;2.2;+0.8;24;1497;1757;85.2;40;83;48.2;1144;1247;91.7;313;427;73.3;647;976;35;5;9;46;80;19;0
sk Slovan Bratislava;18;6;4.2;+1.8;35;1467;2004;73.2;25;75;33.3;1057;1259;84.0;385;670;57.5;774;974;64;5;24;111;100;28;9
pt Sporting CP;26;11;5.8;+5.2;79;3010;3727;80.8;43;106;40.6;2147;2413;89.0;820;1208;67.9;766;2547;130;3;39;156;188;26;8
be Standard Liège;21;3;4.3;-1.3;43;1895;2458;77.1;28;91;30.8;1333;1539;86.6;534;828;64.5;756;1407;77;7;24;108;153;35;8
tr Trabzonspor;27;2;3.1;-1.1;39;2517;3112;80.9;47;116;40.5;1889;2114;89.4;581;882;65.9;843;1929;106;0;30;124;144;24;6
pt Vitória;22;6;3.7;+2.3;62;1751;2388;73.3;33;110;30.0;1228;1465;83.8;490;813;60.3;634;1396;106;6;35;143;138;37;10
at Wolfsberger AC;19;4;4.1;-0.1;55;1631;2360;69.1;45;108;41.7;1241;1538;80.7;345;714;48.3;795;1159;74;3;25;166;143;34;7
de Wolfsburg;24;13;10.3;+2.7;93;3668;4676;78.4;48;156;30.8;2570;2984;86.1;1050;1536;68.4;1643;2453;112;5;49;218;247;55;12
eng Wolves;24;14;8.8;+5.2;89;3826;4699;81.4;52;156;33.3;2689;3041;88.4;1085;1502;72.2;1051;3051;90;5;42;227;302;42;12
ch Young Boys;19;3;3.8;-0.8;42;1909;2564;74.5;31;110;28.2;1311;1536;85.4;567;918;61.8;569;1633;92;6;28;160;152;31;6
