Squad;# Pl;Gls;PK;PKatt;Sh;SoT;FK;SoT%;Sh/90;SoT/90;G/Sh;G/SoT;xG;npxG;npxG/Sh;G-xG;np:G-xG
nl Ajax;18;1;0;0;10;2;0;20.0;5.00;1.00;0.10;0.50;1.5;1.5;0.15;-0.5;-0.5
cy APOEL;23;9;2;3;68;24;0;35.3;11.33;4.00;0.10;0.29;8.5;6.3;0.10;+0.5;+0.7
eng Arsenal;25;16;0;0;124;37;10;29.8;20.67;6.17;0.13;0.43;16.6;16.6;0.14;-0.6;-0.6
kz Astana FK;20;3;0;0;49;16;0;32.7;8.17;2.67;0.06;0.19;3.0;3.0;0.06;0.0;0.0
nl AZ Alkmaar;19;16;3;3;103;38;4;36.9;17.17;6.33;0.13;0.34;15.7;13.6;0.14;+0.3;-0.6
tr Başakşehir;21;13;4;4;89;33;3;37.1;14.83;5.50;0.10;0.27;11.7;8.6;0.10;+1.3;+0.4
ch Basel;23;18;1;1;107;40;2;37.4;17.83;6.67;0.16;0.43;12.8;12.0;0.12;+5.2;+5.0
pt Benfica;17;4;1;1;21;9;0;42.9;10.50;4.50;0.14;0.33;2.3;1.7;0.09;+1.7;+1.3
tr Beşiktaş;25;5;2;3;63;14;2;22.2;10.50;2.33;0.05;0.21;7.9;5.7;0.09;-2.9;-2.7
pt Braga;25;16;0;0;105;40;1;38.1;17.50;6.67;0.15;0.40;11.5;11.5;0.11;+4.5;+4.5
sco Celtic;27;12;2;2;98;32;1;32.7;16.33;5.33;0.10;0.31;10.0;8.5;0.09;+2.0;+1.5
ro CFR Cluj;20;7;2;2;86;26;6;30.2;14.33;4.33;0.06;0.19;8.7;7.1;0.09;-1.7;-2.1
be Club Brugge;18;1;0;0;17;3;0;17.6;8.50;1.50;0.06;0.33;1.9;1.9;0.11;-0.9;-0.9
ru CSKA Moscow;21;3;0;0;87;24;3;27.6;14.50;4.00;0.03;0.13;7.6;7.6;0.09;-4.6;-4.6
ua Dynamo Kyiv;20;7;0;1;107;24;4;22.4;17.83;4.00;0.07;0.29;10.0;9.2;0.09;-3.0;-2.2
de Eint Frankfurt;21;14;0;0;124;50;4;40.3;20.67;8.33;0.11;0.28;13.4;13.4;0.11;+0.6;+0.6
es Espanyol;27;15;2;2;103;38;3;36.9;17.17;6.33;0.13;0.34;12.3;10.8;0.11;+2.7;+2.2
lu F91 Dudelange;19;8;0;0;56;18;3;32.1;9.33;3.00;0.14;0.44;5.0;5.0;0.09;+3.0;+3.0
dk FC Copenhagen;23;8;0;1;57;16;0;28.1;9.50;2.67;0.14;0.50;7.5;6.8;0.13;+0.5;+1.2
ua FC Oleksandriya;20;5;0;0;61;17;4;27.9;10.17;2.83;0.08;0.29;4.6;4.6;0.08;+0.4;+0.4
hu Ferencváros;18;4;1;2;77;26;2;33.8;12.83;4.33;0.04;0.12;8.5;6.9;0.10;-4.5;-3.9
nl Feyenoord;20;7;1;1;72;24;1;33.3;12.00;4.00;0.08;0.25;7.3;6.5;0.09;-0.3;-0.5
be Gent;22;11;0;0;87;27;1;31.0;14.50;4.50;0.13;0.41;7.7;7.7;0.09;+3.3;+3.3
es Getafe;24;11;1;1;97;26;5;26.8;16.17;4.33;0.10;0.38;11.1;10.3;0.11;-0.1;-0.3
it Inter;17;4;1;1;30;13;0;43.3;15.00;6.50;0.10;0.23;3.3;2.6;0.10;+0.7;+0.4
ru Krasnodar;21;6;1;1;74;21;3;28.4;12.33;3.50;0.07;0.24;10.5;9.8;0.15;-4.5;-4.8
at LASK;21;14;2;2;161;41;3;25.5;26.83;6.83;0.07;0.29;14.6;13.2;0.08;-0.6;-1.2
it Lazio;21;6;0;0;69;22;3;31.9;11.50;3.67;0.09;0.27;6.5;6.5;0.09;-0.5;-0.5
de Leverkusen;20;8;2;2;37;17;3;45.9;18.50;8.50;0.16;0.35;5.8;4.3;0.14;+2.2;+1.7
bg Ludogorets;22;11;1;1;73;27;6;37.0;12.17;4.50;0.14;0.37;7.0;6.2;0.09;+4.0;+3.8
ch Lugano;24;2;0;0;67;19;1;28.4;11.17;3.17;0.03;0.11;4.2;4.2;0.06;-2.2;-2.2
de M'gladbach;19;5;1;1;86;25;3;29.1;14.33;4.17;0.05;0.16;10.4;9.6;0.12;-5.4;-5.6
se Malmö;22;8;2;2;70;20;3;28.6;11.67;3.33;0.09;0.30;7.7;6.3;0.09;+0.3;-0.3
