Squad;# Pl;MP;Starts;Min;Gls;Ast;PK;PKatt;CrdY;CrdR;GlsPerM;AstPerM;G+A;G-PK;G+A-PK;xG;npxG;xA;xGPerM;xAPerM;xG+xA;npxGPerM;npxG+xA
nl Ajax;18;2;22;180;1;1;0;0;8;0;0.50;0.50;1.00;0.50;1.00;1.5;1.5;1.4;0.76;0.69;1.45;0.76;1.45
cy APOEL;23;6;88;720;9;5;2;3;23;1;1.50;0.83;2.33;1.17;2.00;8.5;6.3;3.4;1.42;0.57;1.99;1.04;1.61
eng Arsenal;25;6;88;750;16;12;0;0;14;0;2.67;2.00;4.67;2.67;4.67;16.6;16.6;13.1;2.77;2.18;4.95;2.77;4.95
kz Astana FK;20;6;66;540;3;3;0;0;10;0;0.50;0.50;1.00;0.50;1.00;3.0;3.0;2.6;0.51;0.44;0.94;0.51;0.94
nl AZ Alkmaar;19;6;88;720;16;11;3;3;16;2;2.67;1.83;4.50;2.17;4.00;15.7;13.6;9.4;2.62;1.57;4.19;2.26;3.83
tr Başakşehir;21;6;88;750;12;6;3;3;19;0;2.00;1.00;3.00;1.50;2.50;10.2;7.9;6.6;1.70;1.10;2.80;1.32;2.42
ch Basel;22;6;88;720;15;12;1;1;20;1;2.50;2.00;4.50;2.33;4.33;11.3;10.5;6.5;1.88;1.08;2.95;1.75;2.83
pt Benfica;17;2;22;180;4;3;1;1;2;0;2.00;1.50;3.50;1.50;3.00;2.3;1.7;1.6;1.13;0.78;1.90;0.84;1.62
tr Beşiktaş;25;6;66;540;5;3;2;3;15;1;0.83;0.50;1.33;0.50;1.00;7.9;5.7;4.1;1.31;0.68;1.99;0.95;1.63
pt Braga;25;6;88;720;16;16;0;0;19;0;2.67;2.67;5.33;2.67;5.33;11.5;11.5;7.9;1.91;1.31;3.23;1.91;3.23
sco Celtic;27;6;88;720;12;10;2;2;20;1;2.00;1.67;3.67;1.67;3.33;10.0;8.5;6.5;1.67;1.09;2.76;1.42;2.51
ro CFR Cluj;20;6;88;720;7;3;2;2;16;3;1.17;0.50;1.67;0.83;1.33;8.7;7.1;4.6;1.44;0.77;2.21;1.19;1.96
be Club Brugge;18;2;22;180;1;1;0;0;3;1;0.50;0.50;1.00;0.50;1.00;1.9;1.9;1.6;0.93;0.81;1.74;0.93;1.74
ru CSKA Moscow;21;6;66;540;3;3;0;0;16;1;0.50;0.50;1.00;0.50;1.00;7.6;7.6;6.8;1.27;1.14;2.40;1.27;2.40
ua Dynamo Kyiv;20;6;66;540;7;7;0;1;15;1;1.17;1.17;2.33;1.17;2.33;10.0;9.2;7.8;1.66;1.30;2.96;1.53;2.83
de Eint Frankfurt;21;6;88;720;14;11;0;0;20;1;2.33;1.83;4.17;2.33;4.17;12.4;12.4;9.8;2.07;1.63;3.71;2.07;3.71
es Espanyol;27;6;88;720;15;11;2;2;18;1;2.50;1.83;4.33;2.17;4.00;12.3;10.8;8.0;2.05;1.33;3.38;1.80;3.14
lu F91 Dudelange;19;6;66;540;8;7;0;0;13;2;1.33;1.17;2.50;1.33;2.50;5.0;5.0;3.7;0.84;0.62;1.45;0.84;1.45
dk FC Copenhagen;23;6;88;720;8;6;0;1;16;0;1.33;1.00;2.33;1.33;2.33;7.1;6.4;4.7;1.19;0.78;1.96;1.06;1.84
ua FC Oleksandriya;20;6;66;540;5;2;0;0;8;0;0.83;0.33;1.17;0.83;1.17;4.6;4.6;3.1;0.76;0.52;1.28;0.76;1.28
hu Ferencváros;18;6;66;540;4;3;1;2;16;1;0.67;0.50;1.17;0.50;1.00;8.5;6.9;5.0;1.41;0.84;2.25;1.16;1.99
nl Feyenoord;20;6;66;540;7;4;1;1;18;0;1.17;0.67;1.83;1.00;1.67;7.3;6.5;4.5;1.21;0.76;1.97;1.09;1.84
be Gent;22;6;88;720;11;9;0;0;19;1;1.83;1.50;3.33;1.83;3.33;7.7;7.7;6.9;1.28;1.15;2.43;1.28;2.43
es Getafe;24;6;88;720;11;9;1;1;23;1;1.83;1.50;3.33;1.67;3.17;11.1;10.3;7.7;1.85;1.28;3.13;1.72;3.01
it Inter;17;2;22;180;4;2;1;1;2;0;2.00;1.00;3.00;1.50;2.50;3.3;2.6;2.0;1.67;1.02;2.69;1.32;2.34
ru Krasnodar;21;6;66;540;6;4;1;1;19;2;1.00;0.67;1.67;0.83;1.50;10.5;9.8;6.2;1.75;1.03;2.79;1.63;2.66
at LASK;19;6;88;720;14;10;2;2;16;1;2.33;1.67;4.00;2.00;3.67;14.1;12.7;9.2;2.35;1.53;3.88;2.12;3.65
it Lazio;21;6;66;540;6;5;0;0;11;0;1.00;0.83;1.83;1.00;1.83;6.5;6.5;5.4;1.08;0.90;1.98;1.08;1.98
