Squad;# Pl;MP;Min;Mn/MP;Min%;Starts;Mn/Start;Subs;Mn/Sub;unSub;PPM;onG;onGA;+/-;+/-90;onxG;onxGA;xG+/-;xG+/-90
nl Ajax;18;2;180;90;100;22;85;4;27;10;1.50;2;3;-1;-0.50;1.5;2.4;-0.9;-0.44
cy APOEL;23;6;720;120;100;88;84;24;22;32;1.25;10;8;+2;+0.25;8.5;11.7;-3.2;-0.39
eng Arsenal;25;6;750;125;100;88;87;25;24;31;1.75;14;7;+7;+0.84;16.6;7.2;+9.4;+1.13
kz Astana FK;20;6;540;90;100;66;83;15;30;27;0.50;4;19;-15;-2.50;3.0;18.9;-15.9;-2.64
nl AZ Alkmaar;19;6;720;120;100;88;84;20;22;36;1.25;15;8;+7;+0.87;15.7;10.1;+5.7;+0.71
tr Başakşehir;21;6;840;140;100;99;87;28;21;35;1.78;7;9;-2;-0.21;11.7;15.5;-3.8;-0.41
ch Basel;23;6;810;135;100;99;85;25;18;38;2.44;12;4;+8;+0.89;12.8;10.4;+2.4;+0.27
pt Benfica;17;2;180;90;100;22;87;6;13;8;0.50;4;5;-1;-0.50;2.3;2.2;+0.1;+0.03
tr Beşiktaş;25;6;540;90;100;66;84;19;20;23;0.50;6;15;-9;-1.50;7.9;10.8;-2.9;-0.49
pt Braga;25;6;720;120;100;88;85;24;19;32;1.75;15;9;+6;+0.75;11.5;10.5;+1.0;+0.13
sco Celtic;27;6;720;120;100;88;86;21;16;35;1.75;10;6;+4;+0.50;10.0;9.7;+0.4;+0.05
ro CFR Cluj;20;6;720;120;100;88;85;24;17;32;1.75;6;4;+2;+0.25;8.7;10.5;-1.8;-0.23
be Club Brugge;18;2;180;90;100;22;80;6;26;8;0.50;1;6;-5;-2.50;1.9;5.3;-3.4;-1.71
ru CSKA Moscow;21;6;540;90;100;66;84;18;22;24;0.83;3;9;-6;-1.00;7.6;8.5;-0.9;-0.15
ua Dynamo Kyiv;20;6;540;90;100;66;88;13;10;29;1.17;7;7;0;0.00;10.0;5.9;+4.1;+0.68
de Eint Frankfurt;21;6;810;135;100;99;86;24;17;39;1.44;8;10;-2;-0.22;13.4;13.4;0.0;0.00
es Espanyol;27;6;720;120;100;88;84;24;23;32;1.75;12;4;+8;+1.00;12.3;8.8;+3.5;+0.43
lu F91 Dudelange;19;6;540;90;100;66;84;18;20;24;0.67;8;18;-10;-1.67;5.0;18.3;-13.3;-2.21
dk FC Copenhagen;23;6;810;135;100;99;86;27;13;36;1.44;5;4;+1;+0.11;7.5;10.1;-2.6;-0.29
ua FC Oleksandriya;20;6;540;90;100;66;85;18;19;24;0.50;6;10;-4;-0.67;4.6;7.8;-3.2;-0.53
hu Ferencváros;18;6;540;90;100;66;87;18;11;24;1.17;5;7;-2;-0.33;8.5;9.2;-0.8;-0.13
nl Feyenoord;20;6;540;90;100;66;86;16;16;26;0.83;7;9;-2;-0.33;7.3;12.1;-4.8;-0.80
be Gent;22;6;720;120;100;88;87;21;10;35;1.63;11;7;+4;+0.50;7.7;9.0;-1.3;-0.17
es Getafe;24;6;720;120;100;88;85;24;18;32;1.88;8;4;+4;+0.50;11.1;6.9;+4.2;+0.53
it Inter;17;2;180;90;100;22;84;6;23;8;3.00;4;1;+3;+1.50;3.3;0.5;+2.8;+1.41
ru Krasnodar;21;6;540;90;100;66;84;18;24;23;1.50;7;11;-4;-0.67;10.5;8.8;+1.7;+0.28
at LASK;21;6;810;135;100;99;84;26;21;37;1.89;11;4;+7;+0.78;14.6;10.6;+4.0;+0.44
it Lazio;21;6;540;90;100;66;85;18;20;24;1.00;6;9;-3;-0.50;6.5;7.8;-1.4;-0.23
de Leverkusen;20;2;270;135;100;33;85;9;18;12;3.00;5;2;+3;+1.00;5.8;2.7;+3.1;+1.05
bg Ludogorets;22;6;720;120;100;88;83;23;19;33;1.00;10;10;0;0.00;7.0;12.3;-5.3;-0.67
ch Lugano;24;6;540;90;100;66;85;17;20;25;0.50;2;5;-3;-0.50;4.2;8.5;-4.3;-0.72
de M'gladbach;19;6;540;90;100;66;85;19;19;23;1.33;6;9;-3;-0.50;10.4;6.4;+3.9;+0.66
se Malmö;22;6;720;120;100;88;84;22;24;34;1.38;8;6;+2;+0.25;7.7;8.4;-0.7;-0.09
eng Manchester Utd;35;6;810;135;100;99;85;27;19;36;2.22;10;2;+8;+0.89;17.4;6.3;+11.1;+1.24
gr Olympiacos;17;2;300;150;100;33;92;9;23;12;1.33;2;2;0;0.00;2.5;4.3;-1.8;-0.54
rs Partizan;21;6;540;90;100;66;86;18;14;24;1.33;10;10;0;0.00;10.4;6.7;+3.7;+0.62
pt Porto;22;6;720;120;100;88;83;24;24;32;1.25;8;9;-1;-0.12;12.2;10.1;+2.1;+0.26
nl PSV Eindhoven;22;6;540;90;100;66;85;16;21;26;1.33;9;12;-3;-0.50;6.9;8.8;-1.8;-0.31
az Qarabağ Ağdam;19;6;540;90;100;66;84;16;22;26;0.83;8;11;-3;-0.50;9.3;6.6;+2.7;+0.44
sco Rangers;22;6;810;135;100;99;87;20;15;43;1.67;8;6;+2;+0.22;10.7;10.8;-0.2;-0.02
at RB Salzburg;19;2;180;90;100;22;83;6;25;8;0.50;3;6;-3;-1.50;3.0;3.6;-0.6;-0.29
fr Rennes;25;6;540;90;100;66;83;18;19;24;0.67;5;8;-3;-0.50;7.2;4.6;+2.5;+0.42
it Roma;25;6;720;120;100;88;85;24;18;32;1.63;12;6;+6;+0.75;13.7;8.0;+5.7;+0.71
no Rosenborg;21;6;540;90;100;66;86;17;17;25;0.17;3;11;-8;-1.33;5.0;7.9;-2.9;-0.48
fr Saint-Étienne;27;6;540;90;100;66;84;18;23;24;0.67;6;8;-2;-0.33;4.7;4.2;+0.5;+0.09
es Sevilla;28;6;720;120;100;88;83;25;24;31;2.13;14;3;+11;+1.37;18.5;4.7;+13.8;+1.72
ua Shakhtar;17;2;270;135;100;33;87;9;11;12;2.33;5;4;+1;+0.33;3.7;4.1;-0.5;-0.15
sk Slovan Bratislava;18;6;540;90;100;66;87;17;13;23;0.67;10;13;-3;-0.50;6.2;10.8;-4.6;-0.77
pt Sporting CP;26;6;750;125;100;88;87;25;21;31;1.88;11;7;+4;+0.48;9.7;10.2;-0.5;-0.06
be Standard Liège;21;6;540;90;100;66;86;17;16;25;1.33;8;10;-2;-0.33;6.3;10.8;-4.4;-0.73
tr Trabzonspor;27;6;540;90;100;66;84;18;21;24;0.17;3;11;-8;-1.33;4.4;9.6;-5.2;-0.86
pt Vitória;22;6;540;90;100;66;85;18;19;24;0.83;7;10;-3;-0.50;6.1;8.8;-2.7;-0.45
at Wolfsberger AC;19;6;540;90;100;66;88;15;5;27;0.83;7;8;-1;-0.17;5.7;11.4;-5.6;-0.94
de Wolfsburg;24;6;810;135;100;99;85;26;18;37;1.89;9;7;+2;+0.22;13.2;6.9;+6.4;+0.71
eng Wolves;24;6;810;135;100;99;85;27;20;36;1.89;11;5;+6;+0.67;14.1;7.7;+6.4;+0.71
ch Young Boys;19;6;540;90;100;66;84;17;22;25;1.33;8;7;+1;+0.17;8.3;8.1;+0.2;+0.04
