,,,,,,,,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Att,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
1,Adrián\Adrian,es ESP,GK,Liverpool,32,1987,8.7,9,0,1,1,0,7.2,0.29,-1.8,-0.21,54,133,40.6,231,47,44.6,38.5,64,46.9,40.1,63,4,6.3,5,0.57,12.5,Matches
2,Alisson\Alisson,br BRA,GK,Liverpool,26,1992,19.3,11,0,0,1,0,15.6,0.28,+4.6,+0.24,102,190,53.7,525,91,26.5,32.5,126,40.5,39.8,99,7,7.1,23,1.19,16.8,Matches
3,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,24,1994,24.0,32,2,0,6,2,25.8,0.38,-4.2,-0.18,98,245,40.0,635,101,28.2,32.1,146,45.2,40.0,117,7,6.0,18,0.75,16.6,Matches
4,Claudio Bravo\Claudio-Bravo,cl CHI,GK,Manchester City,36,1983,3.8,7,0,0,0,0,4.2,0.28,-2.8,-0.73,19,47,40.4,104,13,27.9,31.5,28,64.3,48.2,24,1,4.2,1,0.26,12.4,Matches
5,Willy Caballero\Willy-Caballero,ar ARG,GK,Chelsea,37,1981,4.0,7,0,0,3,1,5.5,0.36,-0.5,-0.13,23,59,39.0,103,10,45.6,35.7,22,54.5,42.5,16,0,0.0,2,0.50,12.8,Matches
6,Martin Dúbravka\Martin-Dubravka,sk SVK,GK,Newcastle Utd,30,1989,28.0,41,0,1,9,1,48.3,0.33,+8.3,+0.30,229,595,38.5,549,83,65.2,49.0,261,90.8,65.6,206,15,7.3,11,0.39,12.4,Matches
7,Ederson\Ederson,br BRA,GK,Manchester City,25,1993,23.1,22,2,1,4,1,21.0,0.33,0.0,0.00,82,150,54.7,540,111,22.0,30.1,91,34.1,34.0,80,7,8.8,21,0.91,18.2,Matches
8,Łukasz Fabiański\Lukasz-Fabianski,pl POL,GK,West Ham,34,1985,13.5,21,2,0,2,1,20.2,0.34,+0.2,+0.01,127,303,41.9,273,53,72.2,50.9,110,96.4,66.5,101,5,5.0,3,0.22,11.4,Matches
9,Ralf Fährmann\Ralf-Fahrmann,de GER,GK,Norwich City,30,1988,0.2,1,1,0,0,0,1.3,1.29,+0.3,+1.17,1,3,33.3,7,2,42.9,29.7,3,0.0,16.0,4,0,0.0,0,0.00,7.0,Matches
