Squad;# Pl;90s;GA;PKA;FK;CK;OG;PSxG;PSxG/SoT;PSxG+/-;/90;Cmp;AttLaunched;Cmp%;AttPass;Thr;PassLaunch%;AvgLenPass;AttGks;GksLaunch%;AvgLenGks;Att;Stp;Stp%;#OPA;#OPA/90;AvgDist
Arsenal;1;28.0;36;5;0;6;0;42.2;0.32;+6.2;+0.22;89;306;29.1;687;168;28.4;32.0;241;46.1;40.7;199;16;8.0;17;0.61;13.6
Aston Villa;4;28.0;56;4;1;8;1;51.7;0.36;-3.3;-0.12;190;519;36.6;616;134;54.2;43.9;259;71.4;54.9;193;13;6.7;15;0.54;12.9
Bournemouth;2;29.0;47;4;1;5;0;48.8;0.34;+1.8;+0.06;152;498;30.5;654;153;50.2;43.2;243;70.0;57.7;187;13;7.0;14;0.48;14.3
Brighton;1;29.0;40;2;0;6;3;41.7;0.33;+4.7;+0.16;192;369;52.0;918;188;31.5;32.6;199;40.2;36.4;139;11;7.9;14;0.48;14.4
Burnley;1;29.0;40;3;0;3;1;36.6;0.31;-2.4;-0.08;227;713;31.8;673;123;75.0;55.1;224;92.9;70.7;213;31;14.6;32;1.10;16.6
Chelsea;2;29.0;39;2;0;9;3;29.7;0.35;-6.3;-0.22;132;322;41.0;771;114;31.0;32.7;175;47.4;40.9;137;8;5.8;20;0.69;15.9
Crystal Palace;2;29.0;32;0;0;7;2;38.5;0.31;+8.5;+0.29;200;603;33.2;661;124;60.2;45.9;242;84.7;63.5;187;16;8.6;13;0.45;13.5
Everton;1;29.0;46;1;3;6;2;39.9;0.34;-4.1;-0.14;251;632;39.7;836;133;59.3;47.9;200;68.0;56.8;170;14;8.2;20;0.69;15.1
Leicester City;1;29.0;28;5;0;6;0;33.5;0.33;+5.5;+0.19;177;371;47.7;722;121;38.5;36.8;196;47.4;40.5;148;6;4.1;20;0.69;16.0
Liverpool;2;29.0;21;0;1;2;0;24.0;0.29;+3.0;+0.10;161;332;48.5;771;140;32.2;34.3;194;43.3;40.1;169;12;7.1;30;1.04;15.7
Manchester City;2;28.0;31;2;1;4;1;27.3;0.32;-2.7;-0.10;106;208;51.0;683;127;23.3;30.5;121;40.5;37.2;106;8;7.5;25;0.89;17.8
Manchester Utd;1;29.0;30;1;1;7;1;28.8;0.30;-0.2;-0.01;94;255;36.9;523;121;35.6;35.4;193;35.8;36.4;159;7;4.4;9;0.31;13.5
Newcastle Utd;1;29.0;41;0;1;9;1;48.7;0.33;+8.7;+0.30;234;607;38.6;564;84;65.1;49.0;269;89.2;64.8;212;15;7.1;11;0.38;12.4
Norwich City;3;29.0;52;4;1;10;2;52.7;0.37;+2.7;+0.09;192;568;33.8;913;148;47.1;40.7;243;56.8;46.0;212;14;6.6;12;0.41;14.1
Sheffield Utd;2;28.0;25;0;0;2;0;30.1;0.33;+5.1;+0.18;183;659;27.8;591;76;78.2;59.0;205;96.1;76.1;133;11;8.3;13;0.46;13.7
Southampton;2;29.0;52;3;1;5;0;51.1;0.38;-0.9;-0.03;171;559;30.6;561;75;68.8;50.8;201;86.1;62.0;194;15;7.7;15;0.52;14.7
Tottenham;2;29.0;40;4;1;3;2;45.0;0.33;+7.0;+0.24;150;428;35.0;632;114;44.5;38.3;221;66.5;52.2;183;17;9.3;15;0.52;13.2
Watford;1;29.0;44;6;2;5;3;44.3;0.38;+3.3;+0.11;246;775;31.7;707;90;78.5;54.6;232;94.8;68.9;209;21;10.0;30;1.03;15.3
West Ham;4;29.0;50;4;1;7;2;49.7;0.35;+1.7;+0.06;246;636;38.7;593;95;72.2;51.1;216;96.3;66.1;207;9;4.3;11;0.38;11.8
Wolves;1;29.0;34;0;0;6;1;30.4;0.31;-2.6;-0.09;207;437;47.4;433;94;58.7;44.2;223;82.1;54.6;201;7;3.5;7;0.24;12.2
