id;name;Nation;Position;Squad;Age;Born;90s;CrdY;CrdR;2CrdY;Fls;Fld;Off;Crs;TklW;Int;PKwon;PKcon;OG;Succ;Att;Succ%;#Pl;Megs;Tkl;Cont;Tkl%;Past;Matches
1;Patrick van Aanholt\Patrick-van-Aanholt;nl NED;DF;Crystal Palace;28;1990;20.0;0;0;0;2;4;2;63;26;31;0;0;1;11;22;50.0;11;2;38;62;61.3;24;Matches
2;Max Aarons\Max-Aarons;eng ENG;DF;Norwich City;19;2000;26.0;6;0;0;21;38;1;49;24;19;1;0;0;36;74;48.6;41;1;44;63;69.8;19;Matches
3;Tammy Abraham\Tammy-Abraham;eng ENG;FW;Chelsea;21;1997;21.6;2;0;0;16;21;20;10;8;4;1;0;1;19;33;57.6;20;0;12;22;54.5;10;Matches
4;Che Adams\Che-Adams;eng ENG;FW;Southampton;23;1996;7.9;0;0;0;13;6;7;8;1;2;1;0;0;10;17;58.8;10;1;2;6;33.3;4;Matches
5;Adrián\Adrian;es ESP;GK;Liverpool;32;1987;8.7;1;0;0;0;1;0;0;0;0;0;0;0;0;0;;0;0;0;1;0.0;1;Matches
6;Sergio Agüero\Sergio-Aguero;ar ARG;FW;Manchester City;31;1988;14.9;1;0;0;7;7;5;8;5;3;1;0;0;25;43;58.1;26;1;7;11;63.6;4;Matches
7;Albian Ajeti\Albian-Ajeti;ch SUI;MFFW;West Ham;22;1997;1.4;0;0;0;6;0;2;0;0;1;0;0;0;0;0;;0;0;1;1;100.0;0;Matches
8;Nathan Aké\Nathan-Ake;nl NED;DF;Bournemouth;24;1995;21.4;1;0;0;8;12;1;4;7;29;0;0;0;4;4;100.0;4;0;17;30;56.7;13;Matches
9;Marc Albrighton\Marc-Albrighton;eng ENG;MF;Leicester City;29;1989;4.3;1;0;0;5;7;1;33;5;4;0;1;0;7;15;46.7;9;1;7;21;33.3;14;Matches
10;Toby Alderweireld\Toby-Alderweireld;be BEL;DF;Tottenham;30;1989;25.9;4;0;0;14;4;1;8;20;22;0;0;1;0;2;0.0;0;0;35;54;64.8;19;Matches
11;Trent Alexander-Arnold\Trent-Alexander-Arnold;eng ENG;DF;Liverpool;20;1998;27.3;4;0;0;20;8;1;294;19;35;0;0;0;21;45;46.7;24;4;45;90;50.0;45;Matches
12;Alisson\Alisson;br BRA;GK;Liverpool;26;1992;19.3;0;1;0;1;1;0;0;0;1;0;0;0;0;0;;0;0;0;2;0.0;2;Matches
13;Dele Alli\Dele-Alli;eng ENG;MFFW;Tottenham;23;1996;18.6;2;0;0;10;29;6;7;26;12;0;0;0;31;61;50.8;35;7;36;57;63.2;21;Matches
14;Miguel Almirón\Miguel-Almiron;py PAR;FWMF;Newcastle Utd;25;1994;25.4;5;0;0;22;48;20;30;25;26;0;0;0;39;80;48.8;47;4;45;71;63.4;26;Matches
15;Marcos Alonso\Marcos-Alonso;es ESP;DF;Chelsea;28;1990;8.5;3;0;0;9;8;2;29;11;14;1;0;0;4;7;57.1;4;0;18;32;56.3;14;Matches
16;Steven Alzate\Steven-Alzate;co COL;MFDF;Brighton;20;1998;13.1;1;0;0;17;18;3;9;23;13;0;0;0;33;50;66.0;35;4;28;40;70.0;12;Matches
17;Ibrahim Amadou\Ibrahim-Amadou;fr FRA;DFMF;Norwich City;26;1993;8.4;1;0;0;8;2;0;1;7;17;0;1;0;2;3;66.7;2;0;21;29;72.4;8;Matches
18;Felipe Anderson\Felipe-Anderson;br BRA;MFFW;West Ham;26;1993;15.7;1;0;0;16;22;2;35;30;21;0;0;0;65;96;67.7;69;5;44;78;56.4;34;Matches
19;Florin Andone\Florin-Andone;ro ROU;MFFW;Brighton;26;1993;0.8;0;1;0;2;3;0;0;2;0;0;0;0;2;4;50.0;2;0;2;2;100.0;0;Matches
20;Angeliño\Angelino;es ESP;DF;Manchester City;22;1997;4.7;1;0;0;2;2;0;42;5;9;0;0;0;5;8;62.5;5;2;8;9;88.9;1;Matches
21;Michail Antonio\Michail-Antonio;eng ENG;FWMF;West Ham;29;1990;10.4;0;0;0;21;14;8;30;8;8;0;0;0;47;64;73.4;47;0;12;18;66.7;6;Matches
22;Stuart Armstrong\Stuart-Armstrong;sco SCO;MF;Southampton;27;1992;12.7;3;0;0;18;15;2;19;17;5;0;0;0;19;36;52.8;20;1;36;59;61.0;23;Matches
23;Kepa Arrizabalaga\Kepa-Arrizabalaga;es ESP;GK;Chelsea;24;1994;24.0;0;0;0;0;4;0;0;0;1;0;0;0;0;0;;0;0;0;1;0.0;1;Matches
24;Christian Atsu\Christian-Atsu;gh GHA;FWMF;Newcastle Utd;27;1992;8.1;2;0;0;11;10;4;16;9;2;0;0;0;19;40;47.5;21;1;12;23;52.2;11;Matches
