Squad;# Pl;Ast;xA;A-xA;KP;Cmp;Att;CmpPER;shortCmp;shortAtt;shortCmpPER;mediumCmp;mediumAtt;mediumCmpPER;longCmp;longAtt;longCmpPER;Left;Right;FK;TB;CK;TI;1/3;PPA;CrsPA
Arsenal;27;27;22.6;+4.4;230;12516;15087;83.0;173;524;33.0;9308;10336;90.1;3035;4227;71.8;4873;8809;367;26;175;589;873;211;31
Aston Villa;28;27;22.4;+4.6;267;8851;11700;75.6;157;466;33.7;6241;7301;85.5;2453;3933;62.4;4096;5981;396;16;142;585;677;182;47
Bournemouth;25;18;22.1;-4.1;206;9380;12442;75.4;185;560;33.0;6985;8219;85.0;2210;3663;60.3;3663;6916;352;35;138;589;684;179;31
Brighton;24;19;22.0;-3.0;271;12959;15980;81.1;168;542;31.0;9518;10785;88.3;3273;4653;70.3;3234;10792;299;24;129;710;894;212;39
Burnley;21;23;19.8;+3.2;197;7205;10503;68.6;168;497;33.8;5060;6177;81.9;1977;3829;51.6;3292;5257;323;18;138;673;582;134;54
Chelsea;26;35;34.5;+0.5;353;15460;18431;83.9;282;628;44.9;11488;12828;89.6;3690;4975;74.2;3279;13449;317;32;199;689;1075;289;49
Crystal Palace;24;17;19.5;-2.5;197;9061;11967;75.7;210;522;40.2;6727;7876;85.4;2124;3569;59.5;2819;7351;389;11;138;665;634;177;26
Everton;23;26;25.4;+0.6;255;9982;13080;76.3;133;509;26.1;7049;8276;85.2;2800;4295;65.2;3642;7492;360;32;175;677;811;208;43
Leicester City;21;41;32.9;+8.1;296;12993;15846;82.0;201;553;36.3;9819;11033;89.0;2973;4260;69.8;3578;10595;374;53;168;674;905;210;34
Liverpool;23;53;40.7;+12.3;334;15648;18898;82.8;214;587;36.5;11257;12565;89.6;4177;5746;72.7;4233;12820;333;69;190;664;1271;335;55
Manchester City;22;52;47.7;+4.3;401;17404;19977;87.1;211;585;36.1;13093;14316;91.5;4100;5076;80.8;7016;11471;256;76;231;529;1406;389;59
Manchester Utd;28;28;28.1;-0.1;311;12651;15496;81.6;205;594;34.5;9825;11096;88.5;2621;3806;68.9;4175;9745;368;34;153;659;979;221;23
Newcastle Utd;27;17;17.2;-0.2;218;7588;10438;72.7;146;434;33.6;5460;6503;84.0;1982;3501;56.6;3032;5748;354;19;115;561;586;125;35
Norwich City;26;17;23.6;-6.6;244;11373;14176;80.2;247;590;41.9;8753;9880;88.6;2373;3706;64.0;3992;8587;361;33;134;605;682;163;21
Sheffield Utd;22;18;25.6;-7.6;211;8968;12226;73.4;186;546;34.1;6554;7710;85.0;2228;3970;56.1;3902;6336;257;17;166;671;740;202;45
Southampton;23;20;24.3;-4.3;252;8971;12371;72.5;179;495;36.2;6779;8184;82.8;2013;3692;54.5;2209;7966;331;20;160;739;721;197;43
Tottenham;29;30;25.1;+4.9;262;12182;15193;80.2;189;526;35.9;9231;10424;88.6;2762;4243;65.1;4050;9455;355;40;144;613;891;209;24
Watford;25;18;21.8;-3.8;230;8786;11969;73.4;202;506;39.9;6473;7713;83.9;2111;3750;56.3;2968;7147;293;19;133;603;709;168;36
West Ham;28;26;23.6;+2.4;230;9497;12646;75.1;221;602;36.7;7055;8328;84.7;2221;3716;59.8;3655;7123;337;29;147;635;754;161;40
Wolves;20;27;26.7;+0.3;260;10396;13306;78.1;147;474;31.0;7259;8469;85.7;2990;4363;68.5;2877;8596;302;27;153;614;787;146;32
