Squad;# Pl;Gls;PK;PKatt;Sh;SoT;FK;SoT%;Sh/90;SoT/90;G/Sh;G/SoT;xG;npxG;npxG/Sh;G-xG;np:G-xG
Arsenal;27;40;2;2;310;104;13;33.5;11.07;3.71;0.12;0.37;36.3;34.8;0.11;+3.7;+3.2
Aston Villa;28;33;1;3;340;112;11;32.9;12.14;4.00;0.09;0.29;31.1;28.7;0.09;+1.9;+3.3
Bournemouth;25;28;1;1;295;95;17;32.2;10.17;3.28;0.09;0.28;32.5;31.8;0.11;-4.5;-4.8
Brighton;24;28;1;1;372;116;10;31.2;12.83;4.00;0.07;0.23;33.2;32.4;0.09;-5.2;-5.4
Burnley;21;33;2;2;298;96;15;32.2;10.28;3.31;0.10;0.32;33.3;31.7;0.11;-0.3;-0.7
Chelsea;26;51;4;4;478;162;19;33.9;16.48;5.59;0.10;0.29;48.7;45.6;0.10;+2.3;+1.4
Crystal Palace;24;24;3;3;284;90;9;31.7;9.79;3.10;0.07;0.23;28.2;26.0;0.09;-4.2;-5.0
Everton;23;35;0;0;383;129;16;33.7;13.21;4.45;0.09;0.27;41.5;41.5;0.11;-6.5;-6.5
Leicester City;21;56;5;7;399;145;14;36.3;13.76;5.00;0.13;0.35;47.2;41.8;0.11;+8.8;+9.2
Liverpool;23;64;5;5;446;167;10;37.4;15.38;5.76;0.13;0.35;56.2;52.4;0.12;+7.8;+6.6
Manchester City;22;68;3;7;530;178;18;33.6;18.93;6.36;0.12;0.37;65.3;60.1;0.12;+2.7;+4.9
Manchester Utd;28;43;6;10;417;153;26;36.7;14.38;5.28;0.09;0.24;44.2;36.7;0.09;-1.2;+0.3
Newcastle Utd;27;25;0;1;298;92;11;30.9;10.28;3.17;0.08;0.27;25.3;24.5;0.09;-0.3;+0.5
Norwich City;26;24;2;2;335;107;12;31.9;11.55;3.69;0.07;0.21;33.8;32.4;0.10;-9.8;-10.4
Sheffield Utd;22;27;1;1;288;88;4;30.6;10.29;3.14;0.09;0.30;33.9;33.1;0.12;-6.9;-7.1
Southampton;23;35;1;2;372;125;18;33.6;12.83;4.31;0.09;0.27;39.8;38.1;0.11;-4.8;-4.1
Tottenham;29;45;3;4;347;125;14;36.0;11.97;4.31;0.12;0.34;38.5;35.4;0.11;+6.5;+6.6
Watford;25;27;4;5;323;89;14;27.6;11.14;3.07;0.07;0.26;34.1;30.4;0.10;-7.1;-7.4
West Ham;28;35;3;3;298;125;10;41.9;10.28;4.31;0.11;0.26;33.1;30.8;0.11;+1.9;+1.2
Wolves;20;39;3;3;364;112;10;30.8;12.55;3.86;0.10;0.32;38.9;36.7;0.10;+0.1;-0.7
