"id";"name";"nation";"position";"Squad";"age";"born";"MP";"Starts";"Min";"Gls";"Ast";"PK";"PKatt";"CrdY";"CrdR";"Gls_per_match";"Ast_per_match";"G_A_per_match";"G_PK_per_match";"G_A_PK_per_match";"xG";"npxG";"xA";"xG_per_match";"xA_per_match";"xG_xA";"npxG_per_match";"npxG_xA";"Matches"
1;Patrick van Aanholt\Patrick-van-Aanholt;nl NED;DF;Crystal Palace;28;1990;21.0;0;1.8;-1.8;24;935;1186;78.8;9;39;23.1;769;884;87.0;157;263;59.7;755;194;42;0;31;211;67;20;4;Matches
2;Max Aarons\Max-Aarons;eng ENG;DF;Norwich City;19;2000;27.0;1;3.5;-2.5;20;1005;1277;78.7;24;72;33.3;876;1002;87.4;105;203;51.7;172;828;20;1;0;236;36;11;4;Matches
3;Tammy Abraham\Tammy-Abraham;eng ENG;FW;Chelsea;21;1997;21.6;3;2.2;+0.8;17;250;357;70.0;23;48;47.9;193;263;73.4;34;46;73.9;27;262;0;0;0;0;16;5;0;Matches
4;Che Adams\Che-Adams;eng ENG;FW;Southampton;23;1996;8.1;2;0.9;+1.1;8;118;171;69.0;8;18;44.4;97;126;77.0;13;27;48.1;14;135;0;2;0;0;9;1;0;Matches
5;Adrián\Adrian;es ESP;GK;Liverpool;32;1987;9.7;0;0.0;0.0;0;227;314;72.3;2;4;50.0;107;108;99.1;118;202;58.4;31;217;27;0;0;0;3;0;0;Matches
6;Sergio Agüero\Sergio-Aguero;ar ARG;FW;Manchester City;31;1988;15.6;3;2.5;+0.5;16;271;350;77.4;15;34;44.1;239;294;81.3;17;22;77.3;40;288;1;5;0;1;11;19;0;Matches
7;Albian Ajeti\Albian-Ajeti;ch SUI;MFFW;West Ham;22;1997;1.4;0;0.1;-0.1;2;15;18;83.3;1;1;100.0;14;17;82.4;0;0;;2;12;0;0;0;0;0;0;0;Matches
8;Nathan Aké\Nathan-Ake;nl NED;DF;Bournemouth;24;1995;22.4;1;0.6;+0.4;4;853;964;88.5;6;15;40.0;602;651;92.5;245;298;82.2;682;166;26;1;0;20;51;8;0;Matches
9;Marc Albrighton\Marc-Albrighton;eng ENG;MF;Leicester City;29;1989;5.3;3;1.2;+1.8;10;204;297;68.7;4;20;20.0;159;196;81.1;41;81;50.6;36;240;0;1;2;9;18;10;3;Matches
10;Toby Alderweireld\Toby-Alderweireld;be BEL;DF;Tottenham;30;1989;26.9;2;0.9;+1.1;11;1363;1637;83.3;9;22;40.9;851;908;93.7;503;707;71.1;296;1211;65;6;0;9;120;16;0;Matches
11;Trent Alexander-Arnold\Trent-Alexander-Arnold;eng ENG;DF;Liverpool;20;1998;28.3;12;8.7;+3.3;73;1803;2539;71.0;28;106;26.4;1258;1475;85.3;517;958;54.0;232;1906;71;4;132;320;156;58;13;Matches
12;Alisson\Alisson;br BRA;GK;Liverpool;26;1992;19.3;1;0.4;+0.6;1;554;651;85.1;1;1;100.0;281;283;99.3;272;367;74.1;35;493;39;1;0;0;6;1;0;Matches
13;Dele Alli\Dele-Alli;eng ENG;MFFW;Tottenham;23;1996;19.6;4;2.2;+1.8;21;584;752;77.7;14;51;27.5;465;547;85.0;105;154;68.2;33;656;9;6;4;17;40;21;0;Matches
14;Miguel Almirón\Miguel-Almiron;py PAR;FWMF;Newcastle Utd;25;1994;26.4;1;0.8;+0.2;15;488;655;74.5;15;45;33.3;404;486;83.1;69;124;55.6;566;49;2;1;1;7;28;15;1;Matches
15;Marcos Alonso\Marcos-Alonso;es ESP;DF;Chelsea;28;1990;9.5;2;1.4;+0.6;16;572;694;82.4;8;25;32.0;478;536;89.2;86;133;64.7;491;55;5;0;1;103;28;13;6;Matches
16;Steven Alzate\Steven-Alzate;co COL;MFDF;Brighton;20;1998;13.1;0;0.7;-0.7;13;564;664;84.9;11;28;39.3;492;553;89.0;61;83;73.5;30;540;5;1;0;50;33;12;0;Matches
17;Ibrahim Amadou\Ibrahim-Amadou;fr FRA;DFMF;Norwich City;26;1993;8.4;0;0.1;-0.1;1;310;361;85.9;2;6;33.3;219;244;89.8;89;111;80.2;23;314;4;0;0;2;14;0;0;Matches
18;Felipe Anderson\Felipe-Anderson;br BRA;MFFW;West Ham;26;1993;15.7;4;2.9;+1.1;25;692;893;77.5;20;58;34.5;570;690;82.6;102;145;70.3;118;716;9;3;5;12;44;31;6;Matches
19;Florin Andone\Florin-Andone;ro ROU;MFFW;Brighton;26;1993;0.8;0;0.0;0.0;1;8;12;66.7;0;1;0.0;8;11;72.7;0;0;;2;6;0;0;1;0;0;0;0;Matches
20;Angeliño\Angelino;es ESP;DF;Manchester City;22;1997;4.7;0;1.2;-1.2;9;335;426;78.6;4;14;28.6;266;304;87.5;65;108;60.2;342;15;3;0;0;46;33;14;7;Matches
21;Faustino Anjorin\Faustino-Anjorin;eng ENG;FW;Chelsea;17;2001;0.2;0;0.0;0.0;0;7;7;100.0;0;0;;6;6;100.0;1;1;100.0;0;7;0;0;0;0;1;0;0;Matches
22;Michail Antonio\Michail-Antonio;eng ENG;FWMF;West Ham;29;1990;11.4;2;1.8;+0.2;12;180;290;62.1;2;23;8.7;149;201;74.1;29;66;43.9;27;200;1;4;0;10;12;6;4;Matches
23;Stuart Armstrong\Stuart-Armstrong;sco SCO;MF;Southampton;27;1992;12.7;0;0.9;-0.9;10;301;402;74.9;12;34;35.3;250;310;80.6;39;58;67.2;84;279;0;0;0;14;19;9;0;Matches
24;Kepa Arrizabalaga\Kepa-Arrizabalaga;es ESP;GK;Chelsea;24;1994;25.0;0;0.0;0.0;0;652;821;79.4;0;0;;356;360;98.9;296;461;64.2;122;587;44;0;0;0;1;0;0;Matches
25;Christian Atsu\Christian-Atsu;gh GHA;FWMF;Newcastle Utd;27;1992;8.1;3;1.0;+2.0;13;160;204;78.4;6;14;42.9;131;149;87.9;23;41;56.1;165;25;2;1;6;1;2;11;4;Matches
26;Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang;ga GAB;FW;Arsenal;30;1989;25.6;1;2.0;-1.0;18;468;674;69.4;8;46;17.4;409;531;77.0;51;97;52.6;77;566;0;0;1;2;21;32;8;Matches
27;Serge Aurier\Serge-Aurier;ci CIV;DF;Tottenham;26;1992;21.3;4;2.4;+1.6;24;907;1179;76.9;12;53;22.6;776;903;85.9;119;223;53.4;139;763;6;1;0;193;44;18;6;Matches
28;Jordan Ayew\Jordan-Ayew;gh GHA;FWMF;Crystal Palace;27;1991;26.6;1;1.6;-0.6;19;502;627;80.1;26;51;51.0;414;483;85.7;62;93;66.7;33;506;2;2;1;8;33;17;0;Matches
29;César Azpilicueta\Cesar-Azpilicueta;es ESP;DF;Chelsea;29;1989;26.9;3;4.6;-1.6;30;1631;2054;79.4;29;88;33.0;1361;1566;86.9;241;400;60.3;205;1416;16;1;0;306;102;23;8;Matches
30;Eric Bailly\Eric-Bailly;ci CIV;DF;Manchester Utd;25;1994;1.1;0;0.0;0.0;0;30;36;83.3;0;1;0.0;22;26;84.6;8;9;88.9;7;21;0;0;0;0;1;0;0;Matches
31;Leighton Baines\Leighton-Baines;eng ENG;DF;Everton;34;1984;3.7;0;0.7;-0.7;4;137;175;78.3;0;6;0.0;111;120;92.5;26;49;53.1;119;15;5;0;10;30;6;6;5;Matches
32;Fabián Balbuena\Fabian-Balbuena;py PAR;DF;West Ham;27;1991;12.0;0;0.0;0.0;0;337;451;74.7;2;7;28.6;203;240;84.6;132;204;64.7;64;334;11;1;0;5;23;2;0;Matches
33;George Baldock\George-Baldock;eng ENG;DF;Sheffield Utd;26;1993;28.0;3;1.8;+1.2;17;855;1145;74.7;29;86;33.7;735;836;87.9;91;223;40.8;38;809;4;0;1;226;44;13;7;Matches
34;Phil Bardsley\Phil-Bardsley;sco SCO;DF;Burnley;34;1985;14.0;1;0.3;+0.7;2;357;550;64.9;7;29;24.1;276;345;80.0;74;176;42.0;37;316;10;1;0;151;43;7;2;Matches
35;Ross Barkley\Ross-Barkley;eng ENG;MF;Chelsea;25;1993;7.5;3;2.2;+0.8;20;346;397;87.2;6;13;46.2;259;293;88.4;81;91;89.0;52;331;1;2;3;1;31;15;1;Matches
36;Ashley Barnes\Ashley-Barnes;at AUT;FW;Burnley;29;1989;15.1;0;0.5;-0.5;4;155;253;61.3;7;22;31.8;134;187;71.7;14;44;31.8;46;142;0;1;0;1;5;8;0;Matches
37;Harvey Barnes\Harvey-Barnes;eng ENG;MF;Leicester City;21;1997;19.1;6;2.4;+3.6;27;444;585;75.9;13;41;31.7;391;473;82.7;40;71;56.3;87;457;1;2;0;1;30;35;2;Matches
