;;;;;;;;Goals;Goals;Goals;Goals;Goals;Expected;Expected;Expected;Expected;Launched;Launched;Launched;Passes;Passes;Passes;Passes;Goal Kicks;Goal Kicks;Goal Kicks;Crosses;Crosses;Crosses;Sweeper;Sweeper;Sweeper;
Rk;Player;Nation;Pos;Squad;Age;Born;90s;GA;PKA;FK;CK;OG;PSxG;PSxG/SoT;PSxG+/-;/90;Cmp;Att;Cmp%;Att;Thr;Launch%;AvgLen;Att;Launch%;AvgLen;Att;Stp;Stp%;#OPA;#OPA/90;AvgDist;Matches
1;Rúnar Alex Rúnarsson\Runar-Alex-Runarsson;is ISL;GK;Dijon;24;1995;9.0;16;0;0;3;1;12.8;0.30;-2.2;-0.25;58;134;43.3;221;51;38.5;36.1;75;65.3;49.2;59;7;11.9;5;0.56;14.0;Matches
2;Alphonse Areola\Alphonse-Areola;fr FRA;GK;Paris S-G;26;1993;3.0;2;0;0;0;0;1.5;0.38;-0.5;-0.16;3;4;75.0;48;9;4.2;20.0;10;20.0;24.5;10;0;0.0;6;2.00;23.8;Matches
3;Stefan Bajic\Stefan-Bajic;fr FRA;GK;Saint-Étienne;17;2001;1.0;1;0;0;0;0;0.6;0.29;-0.4;-0.42;3;3;100.0;11;4;0.0;21.1;8;37.5;34.8;5;0;0.0;2;2.00;20.4;Matches
4;Diego Benaglio\Diego-Benaglio;ch SUI;GK;Monaco;35;1983;0.0;0;0;;;;;;;;;;;;;;;;;;;;;;;;Matches
5;Walter Benítez\Walter-Benitez;ar ARG;GK;Nice;26;1993;25.0;35;4;0;7;2;40.7;0.34;+7.7;+0.31;86;196;43.9;556;126;22.5;27.6;202;35.1;34.5;178;11;6.2;9;0.36;14.1;Matches
6;Paul Bernardoni\Paul-Bernardoni;fr FRA;GK;Nîmes;22;1997;23.5;36;4;0;2;1;33.3;0.36;-1.7;-0.07;132;403;32.8;514;68;52.5;42.9;164;81.1;56.9;102;6;5.9;13;0.55;15.2;Matches
7;Dimitry Bertaud\Dimitry-Bertaud;fr FRA;GKFW;Montpellier;21;1998;2.2;3;0;0;1;0;1.9;0.32;-1.1;-0.50;15;23;65.2;49;19;32.7;31.5;18;38.9;39.4;9;0;0.0;2;0.92;14.3;Matches
8;Ludovic Butelle\Ludovic-Butelle;fr FRA;GK;Angers;36;1983;25.0;32;3;1;1;1;25.1;0.34;-5.9;-0.23;145;362;40.1;470;111;47.2;39.8;191;73.3;52.5;124;6;4.8;21;0.84;15.0;Matches
9;Marcin Bułka\Marcin-Bulka;pl POL;GK;Paris S-G;19;1999;1.0;0;0;0;0;0;0.1;0.05;+0.1;+0.11;0;0;;12;3;0.0;18.6;6;0.0;23.5;4;0;0.0;0;0.00;6.5;Matches
10;Matis Carvalho\Matis-Carvalho;pt POR;GK;Montpellier;20;1999;0.8;4;0;0;1;1;2.6;0.34;-0.4;-0.44;2;16;12.5;18;3;55.6;49.2;9;66.7;50.0;2;0;0.0;0;0.00;15.5;Matches
11;Yannis Clementia\Yannis-Clementia;fr FRA;GK;Nice;22;1997;2.0;2;1;0;0;0;1.8;0.31;-0.2;-0.08;3;23;13.0;47;16;29.8;33.3;14;64.3;50.6;21;0;0.0;0;0.00;10.8;Matches
12;Benoît Costil\Benoit-Costil;fr FRA;GK;Bordeaux;32;1987;27.0;33;2;0;4;1;30.9;0.31;-1.1;-0.04;202;420;48.1;620;93;47.1;38.5;231;55.4;43.5;185;11;5.9;16;0.59;14.4;Matches
13;Paul Delecroix\Paul-Delecroix;fr FRA;GK;Metz;30;1988;1.5;4;1;0;0;0;2.4;0.47;-1.6;-1.09;15;32;46.9;33;4;72.7;49.7;11;72.7;57.4;2;1;50.0;2;1.33;16.3;Matches
14;Lucas Dias\Lucas-Dias;fr FRA;GK;Nîmes;20;1999;3.5;6;0;1;2;0;7.2;0.43;+1.2;+0.35;27;72;37.5;58;5;62.1;45.9;39;92.3;62.9;29;2;6.9;3;0.85;14.0;Matches
15;Mauro Goicoechea\Mauro-Goicoechea;uy URU;GK;Toulouse;31;1988;2.0;5;0;0;0;0;4.0;0.31;-1.0;-0.49;21;48;43.8;44;4;70.5;46.4;20;85.0;51.8;12;0;0.0;1;0.50;17.4;Matches
16;Alfred Gomis\Alfred-Gomis;sn SEN;GK;Dijon;25;1993;18.0;20;1;2;2;1;24.8;0.30;+5.8;+0.32;169;377;44.8;563;112;47.4;39.8;168;65.5;48.2;132;20;15.2;5;0.28;12.9;Matches
