Squad;# Pl;90s;GA;PKA;FK;CK;OG;PSxG;PSxG/SoT;PSxG+/-;/90;Cmp;AttLaunched;Cmp%;AttPass;Thr;PassLaunch%;AvgLenPass;AttGks;GksLaunch%;AvgLenGks;Att;Stp;Stp%;#OPA;#OPA/90;AvgDist
Amiens,1,28.0,50,1,1,13,1,41.2,0.30,-7.8,-0.28,231,521,44.3,567,95,55.7,43.5,254,80.7,55.4,180,10,5.6,12,0.43,13.8
Angers,2,28.0,33,3,1,1,1,27.2,0.32,-4.8,-0.17,162,412,39.3,528,124,47.3,39.8,222,73.0,52.4,148,8,5.4,22,0.79,14.8
Bordeaux,2,28.0,34,2,0,4,1,32.1,0.31,-0.9,-0.03,208,447,46.5,642,96,48.0,38.9,244,57.0,44.1,196,11,5.6,16,0.57,14.4
Brest,2,28.0,37,4,0,5,0,45.2,0.33,+8.2,+0.29,189,469,40.3,828,150,43.5,39.3,241,45.2,39.2,235,23,9.8,19,0.68,14.3
Dijon,2,28.0,37,1,2,5,2,38.9,0.31,+3.9,+0.14,230,522,44.1,809,166,44.5,38.6,249,65.1,48.5,193,27,14.0,10,0.36,13.2
Lille,1,28.0,27,4,1,1,3,25.3,0.33,+1.3,+0.05,158,425,37.2,562,142,49.1,41.7,200,74.5,58.8,130,18,13.8,9,0.32,13.8
Lyon,2,28.0,27,2,1,2,3,25.1,0.26,+1.1,+0.04,142,285,49.8,685,155,29.9,32.0,192,41.7,38.2,145,13,9.0,17,0.61,15.0
Marseille,2,28.0,29,4,0,2,3,30.9,0.33,+4.9,+0.18,142,414,34.3,739,141,43.2,39.5,156,60.9,48.1,140,11,7.9,20,0.71,14.7
Metz,2,28.0,35,4,0,6,0,40.1,0.30,+5.1,+0.18,235,666,35.3,711,117,66.0,49.4,220,89.5,64.6,185,22,11.9,28,1.00,15.7
Monaco,3,28.0,44,6,0,8,1,42.8,0.33,-0.2,-0.01,175,378,46.3,639,136,39.9,36.6,209,58.9,45.1,168,22,13.1,12,0.43,14.4
Montpellier,3,28.0,34,3,1,4,2,33.1,0.26,+1.1,+0.04,238,458,52.0,747,170,42.0,37.3,230,62.6,48.4,170,14,8.2,28,1.00,16.0
Nantes,2,28.0,31,3,0,4,0,30.1,0.32,-0.9,-0.03,168,495,33.9,706,133,48.6,41.0,198,76.8,55.0,153,10,6.5,23,0.82,15.8
Nice,2,28.0,38,5,0,7,2,44.2,0.34,+8.2,+0.29,90,226,39.8,620,148,23.2,28.0,226,36.3,35.0,202,11,5.4,9,0.32,13.6
Nîmes,2,28.0,44,4,1,5,1,42.6,0.37,-0.4,-0.01,161,479,33.6,586,82,52.4,42.8,215,80.0,56.8,138,11,8.0,17,0.61,15.0
Paris S-G,4,27.0,24,0,0,1,1,21.2,0.26,-1.8,-0.07,71,146,48.6,501,94,21.4,29.2,168,23.2,29.2,94,7,7.4,15,0.56,15.7
Reims,2,28.0,21,2,1,3,0,28.7,0.34,+7.7,+0.27,145,399,36.3,815,123,35.2,36.1,210,53.3,44.7,188,18,9.6,16,0.57,13.9
Rennes,2,28.0,24,3,1,4,1,29.8,0.33,+6.8,+0.24,242,472,51.3,723,119,46.5,39.2,199,68.3,48.3,182,19,10.4,18,0.64,14.1
Saint-Étienne,3,28.0,45,5,0,2,0,37.5,0.33,-7.5,-0.27,151,424,35.6,602,105,49.0,40.0,210,61.4,46.3,150,7,4.7,12,0.43,13.5
Strasbourg,1,27.0,32,6,0,3,0,30.8,0.33,-1.2,-0.04,216,484,44.6,646,128,53.9,43.9,203,67.0,53.9,158,18,11.4,10,0.37,12.7
Toulouse,3,28.0,58,3,1,4,2,47.4,0.34,-8.6,-0.31,243,650,37.4,743,97,58.8,44.4,285,74.7,53.4,222,18,8.1,27,0.96,16.3
