;;;;;;;Playing Time;Playing Time;Playing Time;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Penalty Kicks;Penalty Kicks;Penalty Kicks;Penalty Kicks;
Rk;Player;Nation;Pos;Squad;Age;Born;MP;Starts;Min;GA;GA90;SoTA;Saves;Save%;W;D;L;CS;CS%;PKatt;PKA;PKsv;PKm;Matches
1;Rúnar Alex Rúnarsson\Runar-Alex-Runarsson;is ISL;GK;Dijon;24;1995;10;8;810;16;1.78;44;28;.636;0;2;6;0;0.0;0;0;0;0;Matches
2;Alphonse Areola\Alphonse-Areola;fr FRA;GK;Paris S-G;26;1993;3;3;270;2;0.67;4;2;.500;2;0;1;2;66.7;0;0;0;0;Matches
3;Stefan Bajic\Stefan-Bajic;fr FRA;GK;Saint-Étienne;17;2001;1;1;90;1;1.00;2;1;.500;0;0;1;0;0.0;0;0;0;0;Matches
4;Diego Benaglio\Diego-Benaglio;ch SUI;GK;Monaco;35;1983;1;0;;0;;;;;0;0;0;0;;0;0;0;0;Matches
5;Walter Benítez\Walter-Benitez;ar ARG;GK;Nice;26;1993;25;25;2250;35;1.40;125;96;.752;8;8;9;4;16.0;6;4;1;1;Matches
6;Paul Bernardoni\Paul-Bernardoni;fr FRA;GK;Nîmes;22;1997;24;24;2114;36;1.53;97;66;.670;7;4;13;6;25.0;4;4;0;0;Matches
7;Dimitry Bertaud\Dimitry-Bertaud;fr FRA;GKFW;Montpellier;21;1998;3;3;196;3;1.38;6;3;.500;0;0;3;0;0.0;0;0;0;0;Matches
8;Ludovic Butelle\Ludovic-Butelle;fr FRA;GK;Angers;36;1983;25;25;2250;32;1.28;74;46;.608;9;6;10;10;40.0;3;3;0;0;Matches
9;Marcin Bułka\Marcin-Bulka;pl POL;GK;Paris S-G;19;1999;1;1;90;0;0.00;2;2;1.000;1;0;0;1;100.0;0;0;0;0;Matches
10;Matis Carvalho\Matis-Carvalho;pt POR;GK;Montpellier;20;1999;1;0;71;4;5.07;8;5;.500;0;0;0;0;;0;0;0;0;Matches
11;Yannis Clementia\Yannis-Clementia;fr FRA;GK;Nice;22;1997;2;2;180;2;1.00;6;5;.833;2;0;0;0;0.0;1;1;0;0;Matches
12;Benoît Costil\Benoit-Costil;fr FRA;GK;Bordeaux;32;1987;27;27;2430;33;1.22;101;71;.693;9;9;9;6;22.2;3;2;1;0;Matches
13;Paul Delecroix\Paul-Delecroix;fr FRA;GK;Metz;30;1988;2;1;135;4;2.67;5;2;.400;0;0;1;0;0.0;1;1;0;0;Matches
14;Lucas Dias\Lucas-Dias;fr FRA;GK;Nîmes;20;1999;4;3;316;6;1.71;18;12;.667;0;2;1;1;33.3;0;0;0;0;Matches
15;Mauro Goicoechea\Mauro-Goicoechea;uy URU;GK;Toulouse;31;1988;2;2;180;5;2.50;13;8;.615;0;0;2;0;0.0;0;0;0;0;Matches
16;Alfred Gomis\Alfred-Gomis;sn SEN;GK;Dijon;25;1993;19;19;1620;20;1.11;83;65;.771;6;7;6;6;31.6;1;1;0;0;Matches
