Squad;# Pl;CrdY;CrdR;2CrdY;Fls;Fld;Off;Crs;TklW;Int;PKwon;PKcon;OG;Succ;Att;Succ%;#Pl;Megs;Tkl;Cont;Tkl%;Past
Amiens,27,59,4,2,403,320,36,447,319,306,5,1,1,282,474,59.5,316,20,473,841,56.2,368
Angers,26,43,2,1,336,315,28,543,320,254,1,3,1,343,559,61.4,366,26,501,883,56.7,382
Bordeaux,27,55,0,0,379,363,40,424,347,302,1,3,1,283,480,59.0,314,15,539,920,58.6,381
Brest,24,45,2,0,329,286,35,517,356,348,4,6,0,230,412,55.8,249,16,554,895,61.9,341
Dijon,28,43,2,0,351,335,32,442,360,339,0,1,2,357,609,58.6,394,17,584,934,62.5,350
Lille,25,51,3,2,384,343,60,521,324,277,7,6,3,343,575,59.7,378,29,497,857,58.0,360
Lyon,27,50,4,1,342,310,26,490,330,285,4,2,3,365,596,61.2,399,12,521,801,65.0,280
Marseille,23,68,3,1,376,318,23,501,372,317,4,5,2,327,568,57.6,354,17,605,988,61.2,383
Metz,24,45,4,0,337,344,29,440,385,300,2,4,0,383,622,61.6,415,23,608,928,65.5,320
Monaco,30,61,10,1,336,346,44,500,357,277,3,5,1,358,595,60.2,383,15,566,941,60.1,375
Montpellier,27,57,5,2,421,386,42,612,293,309,4,5,2,223,465,48.0,244,14,475,859,55.3,384
Nantes,29,52,2,1,375,340,44,456,371,280,0,6,0,336,592,56.8,371,10,605,962,62.9,357
Nice,31,58,7,4,295,364,22,397,300,339,4,7,2,354,615,57.6,390,18,510,864,59.0,354
Nîmes,28,44,6,3,359,401,39,536,335,320,2,4,1,275,522,52.7,299,16,564,1002,56.3,438
Paris S-G,31,51,1,1,333,291,57,497,316,241,5,0,1,438,720,60.8,470,28,530,893,59.4,363
Reims,26,57,5,5,383,385,45,534,345,325,4,6,0,379,616,61.5,406,15,552,846,65.2,294
Rennes,26,51,1,0,387,403,39,471,339,286,5,5,1,284,490,58.0,305,19,549,934,58.8,385
Saint-Étienne,31,61,3,2,371,323,43,562,378,383,3,6,0,328,532,61.7,358,13,585,921,63.5,336
Strasbourg,25,47,1,1,366,311,33,574,336,301,4,7,0,285,466,61.2,313,14,523,803,65.1,280
Toulouse,30,49,5,1,396,296,30,532,393,324,4,5,2,321,501,64.1,343,8,558,889,62.8,331
