"id";"name";"nation";"position";"Squad";"age";"born";"90s";"Ast";"xA";"A-xA";"KP";"Cmp";"Att";"CmpPER";"shortCmp";"shortAtt";"shortCmpPER";"mediumCmp";"mediumAtt";"mediumCmpPER";"longCmp";"longAtt";"longCmpPER";"Left";"Right";"FK";"TB";"CK";"TI";"1/3";"PPA";"CrsPA";"Matches"
1;Yunis Abdelhamid\Yunis-Abdelhamid;ma MAR;DF;Reims;31;1987;27.0;0;0.2;-0.2;2;1275;1460;87.3;8;22;36.4;814;886;91.9;453;552;82.1;967;397;74;1;0;3;45;3;0;Matches
2;Mehdi Abeid\Mehdi-Abeid;dz ALG;MF;Nantes;26;1992;19.5;2;1.4;+0.6;25;768;921;83.4;6;21;28.6;604;655;92.2;158;245;64.5;102;757;42;1;47;4;81;6;4;Matches
3;Charles Abi\Charles-Abi;fr FRA;FW;Saint-Étienne;19;2000;6.5;0;1.0;-1.0;5;71;125;56.8;9;21;42.9;56;92;60.9;6;12;50.0;75;16;0;1;0;0;5;2;0;Matches
4;Amine Adli\Amine-Adli;fr FRA;MFFW;Toulouse;19;2000;0.3;0;0.1;-0.1;2;17;21;81.0;0;0;;16;18;88.9;1;3;33.3;16;2;0;0;3;1;3;1;0;Matches
5;Yacine Adli\Yacine-Adli;fr FRA;MFFW;Bordeaux;19;2000;10.4;3;2.0;+1.0;17;443;552;80.3;3;12;25.0;348;402;86.6;92;138;66.7;59;472;18;1;16;3;46;8;0;Matches
6;Nayef Aguerd\Nayef-Aguerd;ma MAR;DF;Dijon;23;1996;9.6;0;0.0;0.0;0;442;522;84.7;1;8;12.5;264;276;95.7;177;238;74.4;438;54;12;0;0;3;17;0;0;Matches
7;Ruben Aguilar\Ruben-Aguilar;fr FRA;DF;Monaco;26;1993;10.8;2;1.4;+0.6;13;615;728;84.5;11;26;42.3;508;551;92.2;96;151;63.6;14;590;9;0;0;98;36;13;6;Matches
8;Jean-Eudes Aholou\Jean-Eudes-Aholou;ci CIV;MF;Saint-Étienne;25;1994;6.3;1;0.1;+0.9;3;245;289;84.8;5;9;55.6;184;207;88.9;56;73;76.7;234;37;6;0;0;1;15;0;0;Matches
9;Youssef Aït Bennasser\Youssef-Ait-Bennasser;ma MAR;MF;Bordeaux;23;1996;5.2;1;0.1;+0.9;4;334;382;87.4;1;8;12.5;277;302;91.7;56;72;77.8;57;307;5;1;1;0;26;3;0;Matches
10;Rayan Aït Nouri\Rayan-Ait-Nouri;fr FRA;DF;Angers;18;2001;14.3;2;0.9;+1.1;12;625;801;78.0;4;28;14.3;529;602;87.9;92;171;53.8;554;72;7;1;3;142;36;18;12;Matches
11;Ludovic Ajorque\Ludovic-Ajorque;re REU;FW;Strasbourg;25;1994;23.0;4;3.0;+1.0;14;371;509;72.9;12;28;42.9;307;399;76.9;52;82;63.4;254;113;0;2;0;3;14;12;4;Matches
12;Marley Aké\Marley-Ake;fr FRA;FWMF;Marseille;18;2001;1.0;0;0.0;0.0;0;25;29;86.2;1;1;100.0;20;23;87.0;4;5;80.0;2;27;0;0;0;0;1;1;0;Matches
13;Chadrac Akolo\Chadrac-Akolo;cd COD;FWMF;Amiens;24;1995;6.0;1;1.2;-0.2;5;172;206;83.5;6;11;54.5;146;166;88.0;20;29;69.0;14;181;2;0;1;1;15;2;0;Matches
14;Sofiane Alakouch\Sofiane-Alakouch;fr FRA;DF;Nîmes;21;1998;15.6;0;1.3;-1.3;13;664;811;81.9;5;28;17.9;546;615;88.8;113;168;67.3;45;545;14;1;0;184;48;8;4;Matches
15;Haitam Aleesami\Haitam-Aleesami;no NOR;DF;Amiens;28;1991;21.3;1;1.3;-0.3;13;909;1169;77.8;14;35;40.0;763;895;85.3;132;239;55.2;757;124;19;0;4;213;67;12;6;Matches
16;Rúnar Alex Rúnarsson\Runar-Alex-Runarsson;is ISL;GK;Dijon;24;1995;9.0;0;0.1;-0.1;2;214;296;72.3;1;1;100.0;111;112;99.1;102;183;55.7;23;210;21;0;0;0;1;0;0;Matches
17;Rachid Alioui\Rachid-Alioui;ma MAR;FW;Angers;27;1992;17.2;1;1.3;-0.3;18;340;461;73.8;13;32;40.6;290;375;77.3;37;54;68.5;97;296;3;1;1;2;22;6;0;Matches
18;Mickaël Alphonse\Mickael-Alphonse;GPE;DF;Dijon;30;1989;15.3;1;0.4;+0.6;9;500;716;69.8;4;26;15.4;370;447;82.8;126;243;51.9;73;440;7;0;1;161;31;7;2;Matches
19;Romain Amalfitano\Romain-Amalfitano;fr FRA;MF;Dijon;29;1989;18.6;1;0.8;+0.2;8;691;875;79.0;12;31;38.7;489;564;86.7;190;280;67.9;71;753;10;1;5;8;83;12;1;Matches
20;Jordan Amavi\Jordan-Amavi;fr FRA;DF;Marseille;25;1994;24.0;1;1.2;-0.2;14;982;1222;80.4;19;49;38.8;786;908;86.6;177;265;66.8;639;286;13;1;0;204;46;16;8;Matches
21;Thierry Ambrose\Thierry-Ambrose;fr FRA;FW;Metz;22;1997;5.8;0;0.5;-0.5;11;137;188;72.9;3;11;27.3;108;135;80.0;26;42;61.9;37;120;1;0;0;0;19;5;2;Matches
22;Kelvin Amian\Kelvin-Amian;fr FRA;DF;Toulouse;21;1998;18.1;2;0.5;+1.5;3;551;669;82.4;14;31;45.2;444;484;91.7;93;154;60.4;53;465;19;1;0;124;36;8;2;Matches
23;Joachim Andersen\Joachim-Andersen;dk DEN;DF;Lyon;23;1996;16.0;0;0.2;-0.2;4;1133;1240;91.4;4;8;50.0;693;733;94.5;436;499;87.4;162;1001;25;0;0;1;56;3;1;Matches
24;Benjamin André\Benjamin-Andre;fr FRA;MF;Lille;28;1990;21.8;1;0.9;+0.1;12;947;1196;79.2;28;66;42.4;728;868;83.9;191;262;72.9;151;910;20;0;0;1;93;4;2;Matches
25;Victorien Angban\Victorien-Angban;ci CIV;MF;Metz;22;1996;11.3;0;0.1;-0.1;3;544;618;88.0;11;18;61.1;420;457;91.9;113;143;79.0;96;487;22;0;1;1;43;2;0;Matches
