Squad;# Pl;Ast;xA;A-xA;KP;Cmp;Att;CmpPER;shortCmp;shortAtt;shortCmpPER;mediumCmp;mediumAtt;mediumCmpPER;longCmp;longAtt;longCmpPER;Left;Right;FK;TB;CK;TI;1/3;PPA;CrsPA
Amiens,27,20,16.7,+3.3,159,9605,12446,77.2,214,521,41.1,7212,8391,85.9,2179,3534,61.7,3933,6819,345,19,106,666,721,114,25
Angers,26,21,21.4,-0.4,261,10617,13346,79.6,167,491,34.0,7976,9050,88.1,2474,3805,65.0,4679,7075,357,25,146,643,751,173,45
Bordeaux,27,29,22.0,+7.0,210,12350,14977,82.5,125,396,31.6,9405,10518,89.4,2820,4063,69.4,3216,10271,393,21,137,543,715,112,23
Brest,24,27,21.5,+5.5,243,11090,13961,79.4,159,485,32.8,7898,8988,87.9,3033,4488,67.6,3433,8820,339,22,115,719,736,168,43
Dijon,28,17,21.6,-4.6,238,10177,12894,78.9,167,460,36.3,7223,8283,87.2,2787,4151,67.1,3539,7647,384,17,121,617,653,153,29
Lille,25,25,25.2,-0.2,255,11307,14068,80.4,211,534,39.5,8382,9536,87.9,2714,3998,67.9,4468,7926,388,25,154,658,903,162,35
Lyon,27,29,25.5,+3.5,265,13379,15881,84.2,202,502,40.2,9788,10871,90.0,3389,4508,75.2,3736,10538,355,26,129,603,894,188,45
Marseille,23,28,23.1,+4.9,270,12014,14653,82.0,246,553,44.5,9029,10132,89.1,2739,3968,69.0,3112,9882,384,31,151,651,859,166,38
Metz,24,20,18.2,+1.8,219,9634,12397,77.7,174,440,39.5,7107,8164,87.1,2353,3793,62.0,2580,8235,363,18,117,574,670,108,25
Monaco,30,29,33.2,-4.2,264,11749,14371,81.8,194,498,39.0,8795,9910,88.7,2760,3963,69.6,4039,8895,409,45,132,542,856,210,33
Montpellier,27,19,20.7,-1.7,239,9684,12598,76.9,149,473,31.5,6671,7820,85.3,2864,4305,66.5,2876,7930,418,20,129,594,820,150,45
Nantes,29,16,21.9,-5.9,252,10599,13416,79.0,171,471,36.3,8182,9373,87.3,2246,3572,62.9,4560,7101,386,21,150,647,756,138,37
Nice,31,29,21.6,+7.4,227,13377,15539,86.1,184,438,42.0,10332,11232,92.0,2861,3869,73.9,5288,9105,396,29,131,522,868,147,27
Nîmes,28,20,21.7,-1.7,231,8172,11141,73.4,144,480,30.0,5830,7024,83.0,2198,3637,60.4,3816,5467,458,22,143,730,662,135,38
Paris S-G,31,51,52.5,-1.5,321,16846,18987,88.7,300,601,49.9,13241,14263,92.8,3305,4123,80.2,6531,11306,316,74,181,508,1267,363,44
Reims,26,16,18.2,-2.2,236,10361,13064,79.3,166,480,34.6,7335,8413,87.2,2860,4171,68.6,4868,6645,416,30,142,651,653,181,37
Rennes,26,26,24.1,+1.9,238,10453,13052,80.1,144,447,32.2,7464,8500,87.8,2845,4105,69.3,4347,7029,403,21,124,628,684,142,44
Saint-Étienne,31,20,18.9,+1.1,213,10085,13002,77.6,195,502,38.8,7370,8552,86.2,2520,3948,63.8,3681,7594,371,15,140,675,684,113,29
Strasbourg,25,21,24.1,-3.1,240,10203,12756,80.0,141,407,34.6,6980,7957,87.7,3082,4392,70.2,3515,7660,342,16,128,595,759,171,58
Toulouse,30,14,19.0,-5.0,223,9428,12232,77.1,222,509,43.6,7159,8268,86.6,2047,3455,59.2,2695,8046,342,14,123,581,618,135,34
