Squad;# Pl;MP;Starts;Min;GA;GA90;SoTA;Saves;Save%;W;D;L;CS;CS%;PKatt;PKA;PKsv;PKm
Amiens;1;28;28;2520;50;1.79;140;92;.650;4;11;13;5;17.9;1;1;0;0
Angers;2;27;27;2430;33;1.22;81;52;.630;10;6;11;11;40.7;3;3;0;0
Bordeaux;2;27;27;2430;33;1.22;101;71;.693;9;9;9;6;22.2;3;2;1;0
Brest;2;27;27;2430;36;1.33;135;101;.763;8;10;9;8;29.6;6;4;1;1
Dijon;2;27;27;2430;36;1.33;127;93;.724;6;9;12;6;22.2;1;1;0;0
Lille;1;27;27;2430;27;1.00;76;56;.697;14;4;9;11;40.7;6;4;1;1
Lyon;2;27;27;2430;26;0.96;93;71;.742;11;7;9;9;33.3;3;2;0;1
Marseille;2;28;28;2520;29;1.04;97;75;.742;16;8;4;11;39.3;5;4;1;0
Metz;2;27;27;2430;34;1.26;125;95;.760;7;10;10;8;29.6;4;4;0;0
Monaco;3;27;27;2430;42;1.56;127;92;.717;11;7;9;7;25.9;6;6;0;0
Montpellier;3;27;27;2427;29;1.08;119;93;.765;11;7;9;8;29.6;3;1;1;1
Nantes;2;27;27;2430;29;1.07;94;68;.723;11;4;12;10;37.0;6;3;2;1
Nice;2;27;27;2430;37;1.37;131;101;.756;10;8;9;4;14.8;7;5;1;1
Nîmes;2;27;27;2430;42;1.56;115;78;.670;7;6;14;7;25.9;4;4;0;0
Paris S-G;4;27;27;2430;24;0.89;82;57;.707;22;2;3;14;51.9;0;0;0;0
Reims;2;27;27;2430;21;0.78;84;63;.774;9;11;7;11;40.7;5;2;2;1
Rennes;2;27;27;2430;24;0.89;91;71;.769;14;5;8;9;33.3;5;3;2;0
Saint-Étienne;3;27;27;2430;44;1.63;114;74;.658;8;5;14;5;18.5;6;5;0;1
Strasbourg;1;27;27;2430;32;1.19;95;67;.726;11;5;11;8;29.6;7;6;1;0
Toulouse;3;27;27;2430;56;2.07;136;85;.610;3;4;20;3;11.1;5;3;2;0
