"id";"name";"nation";"position";"Squad";"age";"born";"90s";"Gls";"PK";"PKatt";"Sh";"SoT";"FK";"SoT%";"Sh/90";"SoT/90";"G/Sh";"G/SoT";"xG";"npxG";"npxG/Sh";"G-xG";"np:G-xG";"Matches"
1;Yunis Abdelhamid\Yunis-Abdelhamid;ma MAR;DF;Reims;31;1987;27.0;3;0;0;18;5;0;27.8;0.67;0.19;0.17;0.60;1.4;1.4;0.08;+1.6;+1.6;Matches
2;Mehdi Abeid\Mehdi-Abeid;dz ALG;MF;Nantes;26;1992;19.5;1;0;0;32;7;3;21.9;1.64;0.36;0.03;0.14;1.7;1.7;0.05;-0.7;-0.7;Matches
3;Charles Abi\Charles-Abi;fr FRA;FW;Saint-Étienne;19;2000;6.5;0;0;0;4;0;0;0.0;0.62;0.00;0.00;;0.2;0.2;0.04;-0.2;-0.2;Matches
4;Amine Adli\Amine-Adli;fr FRA;MFFW;Toulouse;19;2000;0.3;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
5;Yacine Adli\Yacine-Adli;fr FRA;MFFW;Bordeaux;19;2000;10.4;3;0;0;17;6;1;35.3;1.63;0.58;0.18;0.50;0.8;0.8;0.05;+2.2;+2.2;Matches
6;Nayef Aguerd\Nayef-Aguerd;ma MAR;DF;Dijon;23;1996;9.6;0;0;0;3;0;0;0.0;0.31;0.00;0.00;;0.4;0.4;0.13;-0.4;-0.4;Matches
7;Ruben Aguilar\Ruben-Aguilar;fr FRA;DF;Monaco;26;1993;10.8;0;0;0;6;3;0;50.0;0.55;0.28;0.00;0.00;0.2;0.2;0.03;-0.2;-0.2;Matches
8;Jean-Eudes Aholou\Jean-Eudes-Aholou;ci CIV;MF;Saint-Étienne;25;1994;6.3;1;0;0;8;2;0;25.0;1.26;0.32;0.13;0.50;0.5;0.5;0.06;+0.5;+0.5;Matches
9;Youssef Aït Bennasser\Youssef-Ait-Bennasser;ma MAR;MF;Bordeaux;23;1996;5.2;0;0;0;2;0;0;0.0;0.38;0.00;0.00;;0.0;0.0;0.02;0.0;0.0;Matches
10;Rayan Aït Nouri\Rayan-Ait-Nouri;fr FRA;DF;Angers;18;2001;14.3;0;0;0;4;0;0;0.0;0.28;0.00;0.00;;0.2;0.2;0.05;-0.2;-0.2;Matches
11;Ludovic Ajorque\Ludovic-Ajorque;re REU;FW;Strasbourg;25;1994;23.0;8;1;1;44;18;0;40.9;1.91;0.78;0.16;0.39;6.4;5.7;0.13;+1.6;+1.3;Matches
12;Marley Aké\Marley-Ake;fr FRA;FWMF;Marseille;18;2001;1.0;0;0;0;3;0;0;0.0;3.00;0.00;0.00;;0.2;0.2;0.05;-0.2;-0.2;Matches
13;Chadrac Akolo\Chadrac-Akolo;cd COD;FWMF;Amiens;24;1995;6.0;2;0;0;9;4;0;44.4;1.51;0.67;0.22;0.50;1.1;1.1;0.13;+0.9;+0.9;Matches
14;Sofiane Alakouch\Sofiane-Alakouch;fr FRA;DF;Nîmes;21;1998;15.6;0;0;0;10;4;0;40.0;0.64;0.26;0.00;0.00;0.6;0.6;0.06;-0.6;-0.6;Matches
15;Haitam Aleesami\Haitam-Aleesami;no NOR;DF;Amiens;28;1991;21.3;1;0;0;2;1;0;50.0;0.09;0.05;0.50;1.00;0.1;0.1;0.07;+0.9;+0.9;Matches
16;Rúnar Alex Rúnarsson\Runar-Alex-Runarsson;is ISL;GK;Dijon;24;1995;9.0;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
17;Rachid Alioui\Rachid-Alioui;ma MAR;FW;Angers;27;1992;17.2;6;0;0;58;21;11;36.2;3.37;1.22;0.10;0.29;5.8;5.8;0.10;+0.2;+0.2;Matches
18;Mickaël Alphonse\Mickael-Alphonse;GPE;DF;Dijon;30;1989;15.3;0;0;0;8;0;0;0.0;0.52;0.00;0.00;;0.2;0.2;0.03;-0.2;-0.2;Matches
19;Romain Amalfitano\Romain-Amalfitano;fr FRA;MF;Dijon;29;1989;18.6;1;0;0;10;1;0;10.0;0.54;0.05;0.10;1.00;0.3;0.3;0.03;+0.7;+0.7;Matches
20;Jordan Amavi\Jordan-Amavi;fr FRA;DF;Marseille;25;1994;24.0;1;0;0;15;4;0;26.7;0.62;0.17;0.07;0.25;0.6;0.6;0.04;+0.4;+0.4;Matches
21;Thierry Ambrose\Thierry-Ambrose;fr FRA;FW;Metz;22;1997;5.8;0;0;0;22;4;0;18.2;3.79;0.69;0.00;0.00;1.3;1.3;0.06;-1.3;-1.3;Matches
22;Kelvin Amian\Kelvin-Amian;fr FRA;DF;Toulouse;21;1998;18.1;0;0;0;8;3;0;37.5;0.44;0.17;0.00;0.00;0.6;0.6;0.08;-0.6;-0.6;Matches
23;Joachim Andersen\Joachim-Andersen;dk DEN;DF;Lyon;23;1996;16.0;1;0;0;10;1;0;10.0;0.62;0.06;0.10;1.00;0.9;0.9;0.09;+0.1;+0.1;Matches
