Squad;# Pl;Gls;PK;PKatt;Sh;SoT;FK;SoT%;Sh/90;SoT/90;G/Sh;G/SoT;xG;npxG;npxG/Sh;G-xG;np:G-xG
Amiens,27,31,3,5,229,77,13,33.6,8.18,2.75,0.12,0.36,27.0,23.1,0.11,+4.0,+4.9
Angers,26,27,1,1,367,112,16,30.5,13.11,4.00,0.07,0.23,29.1,28.3,0.08,-2.1,-2.3
Bordeaux,27,40,2,2,309,109,20,35.3,11.04,3.89,0.12,0.35,30.8,29.4,0.10,+9.2,+8.6
Brest,24,32,1,5,320,95,6,29.7,11.43,3.39,0.10,0.33,30.6,26.8,0.09,+1.4,+4.2
Dijon,28,26,1,1,337,99,11,29.4,12.04,3.54,0.07,0.25,29.7,29.0,0.09,-3.7,-4.0
Lille,25,35,5,8,346,123,10,35.5,12.36,4.39,0.09,0.24,40.4,34.3,0.10,-5.4,-4.3
Lyon,27,42,5,6,351,124,15,35.3,12.54,4.43,0.11,0.30,37.0,32.6,0.10,+5.0,+4.4
Marseille,23,38,4,6,371,113,19,30.5,13.25,4.04,0.09,0.30,35.1,30.6,0.09,+2.9,+3.4
Metz,24,27,2,4,305,93,19,30.5,10.89,3.32,0.08,0.27,28.1,25.1,0.08,-1.1,-0.1
Monaco,30,44,4,4,371,140,16,37.7,13.25,5.00,0.11,0.29,49.1,46.1,0.13,-5.1,-6.1
Montpellier,27,33,2,5,350,113,21,32.3,12.50,4.04,0.09,0.27,32.7,28.9,0.09,+0.3,+2.1
Nantes,29,23,2,2,335,114,9,34.0,11.96,4.07,0.06,0.18,28.4,27.0,0.08,-5.4,-6.0
Nice,31,40,5,5,331,127,25,38.4,11.82,4.54,0.11,0.28,36.0,32.3,0.10,+4.0,+2.7
Nîmes,28,29,2,2,351,110,12,31.3,12.54,3.93,0.08,0.25,30.5,29.0,0.08,-1.5,-2.0
Paris S-G,31,71,6,8,441,185,21,42.0,16.33,6.85,0.15,0.35,72.4,66.3,0.16,-1.4,-1.3
Reims,26,25,5,5,322,88,11,27.3,11.50,3.14,0.06,0.23,29.1,25.5,0.08,-4.1,-5.5
Rennes,26,37,3,5,337,110,25,32.6,12.04,3.93,0.10,0.31,37.2,33.3,0.10,-0.2,+0.7
Saint-Étienne,31,28,5,5,303,97,15,32.0,10.82,3.46,0.08,0.24,29.9,26.3,0.09,-1.9,-3.3
Strasbourg,25,32,3,4,318,103,12,32.4,11.78,3.81,0.09,0.28,35.2,32.1,0.10,-3.2,-3.1
Toulouse,30,21,4,6,310,89,12,28.7,11.07,3.18,0.05,0.19,31.1,26.6,0.09,-10.1,-9.6
