"id";"name";"nation";"position";"Squad";"age";"born";"MP";"Starts";"Min";"Gls";"Ast";"PK";"PKatt";"CrdY";"CrdR";"Gls_per_match";"Ast_per_match";"G_A_per_match";"G_PK_per_match";"G_A_PK_per_match";"xG";"npxG";"xA";"xG_per_match";"xA_per_match";"xG_xA";"npxG_per_match";"npxG_xA";"Matches"
1;Yunis Abdelhamid\Yunis-Abdelhamid;ma MAR;DF;Reims;31;1987;27;27;2430;3;0;0;0;0;0;0.11;0.00;0.11;0.11;0.11;1.4;1.4;0.2;0.05;0.01;0.06;0.05;0.06;Matches
2;Mehdi Abeid\Mehdi-Abeid;dz ALG;MF;Nantes;26;1992;24;19;1758;1;2;0;0;5;0;0.05;0.10;0.15;0.05;0.15;1.7;1.7;1.4;0.08;0.07;0.16;0.08;0.16;Matches
3;Charles Abi\Charles-Abi;fr FRA;FW;Saint-Étienne;19;2000;14;6;581;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.2;0.2;1.0;0.03;0.16;0.19;0.03;0.19;Matches
4;Amine Adli\Amine-Adli;fr FRA;MFFW;Toulouse;19;2000;3;0;29;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.1;0.00;0.28;0.28;0.00;0.28;Matches
5;Yacine Adli\Yacine-Adli;fr FRA;MFFW;Bordeaux;19;2000;20;10;936;3;3;0;0;3;0;0.29;0.29;0.58;0.29;0.58;0.8;0.8;2.0;0.08;0.20;0.27;0.08;0.27;Matches
6;Nayef Aguerd\Nayef-Aguerd;ma MAR;DF;Dijon;23;1996;10;10;868;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;0.4;0.4;0.0;0.04;0.00;0.04;0.04;0.04;Matches
7;Ruben Aguilar\Ruben-Aguilar;fr FRA;DF;Monaco;26;1993;18;10;975;0;2;0;0;2;2;0.00;0.18;0.18;0.00;0.18;0.2;0.2;1.4;0.02;0.13;0.14;0.02;0.14;Matches
8;Jean-Eudes Aholou\Jean-Eudes-Aholou;ci CIV;MF;Saint-Étienne;25;1994;10;7;571;1;1;0;0;3;1;0.16;0.16;0.32;0.16;0.32;0.5;0.5;0.1;0.08;0.02;0.10;0.08;0.10;Matches
9;Youssef Aït Bennasser\Youssef-Ait-Bennasser;ma MAR;MF;Bordeaux;23;1996;11;5;471;0;1;0;0;1;0;0.00;0.19;0.19;0.00;0.19;0.0;0.0;0.1;0.01;0.02;0.03;0.01;0.03;Matches
10;Rayan Aït Nouri\Rayan-Ait-Nouri;fr FRA;DF;Angers;18;2001;17;16;1286;0;2;0;0;3;0;0.00;0.14;0.14;0.00;0.14;0.2;0.2;0.9;0.01;0.06;0.08;0.01;0.08;Matches
11;Ludovic Ajorque\Ludovic-Ajorque;re REU;FW;Strasbourg;25;1994;26;24;2068;8;4;1;1;3;0;0.35;0.17;0.52;0.30;0.48;6.4;5.7;3.0;0.28;0.13;0.41;0.25;0.38;Matches
12;Marley Aké\Marley-Ake;fr FRA;FWMF;Marseille;18;2001;9;0;90;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.2;0.2;0.0;0.16;0.00;0.16;0.16;0.16;Matches
13;Chadrac Akolo\Chadrac-Akolo;cd COD;FWMF;Amiens;24;1995;15;5;538;2;1;0;0;1;0;0.33;0.17;0.50;0.33;0.50;1.1;1.1;1.2;0.18;0.20;0.38;0.18;0.38;Matches
14;Sofiane Alakouch\Sofiane-Alakouch;fr FRA;DF;Nîmes;21;1998;17;17;1405;0;0;0;0;3;0;0.00;0.00;0.00;0.00;0.00;0.6;0.6;1.3;0.04;0.08;0.12;0.04;0.12;Matches
15;Haitam Aleesami\Haitam-Aleesami;no NOR;DF;Amiens;28;1991;22;21;1916;1;1;0;0;4;0;0.05;0.05;0.09;0.05;0.09;0.1;0.1;1.3;0.01;0.06;0.07;0.01;0.07;Matches
