Squad;# Pl;MP;Starts;Min;Gls;Ast;PK;PKatt;CrdY;CrdR;Gls_per_match;Ast_per_match;G_A_per_match;G_PK_per_match;G_A_PK_per_match;xG;npxG;xA;xG_per_match;xA_per_match;xG_xA;npxG_per_match;npxG_xA
Amiens;27;28;308;2520;31;20;3;5;59;4;1.11;0.71;1.82;1.00;1.71;27.1;23.1;16.6;0.97;0.59;1.56;0.83;1.42
Angers;25;27;297;2430;25;19;1;1;43;2;0.93;0.70;1.63;0.89;1.59;28.4;27.6;20.8;1.05;0.77;1.82;1.02;1.79
Bordeaux;27;27;297;2430;39;29;2;2;52;0;1.44;1.07;2.52;1.37;2.44;30.2;28.7;21.7;1.12;0.80;1.92;1.06;1.87
Brest;24;27;297;2430;32;27;1;4;43;2;1.19;1.00;2.19;1.15;2.15;29.4;26.3;21.0;1.09;0.78;1.87;0.98;1.75
Dijon;28;27;297;2430;24;16;1;1;41;2;0.89;0.59;1.48;0.85;1.44;28.6;27.9;21.2;1.06;0.78;1.84;1.03;1.82
Lille;25;27;297;2430;34;24;5;8;50;3;1.26;0.89;2.15;1.07;1.96;39.5;33.4;24.5;1.46;0.91;2.37;1.24;2.14
Lyon;27;27;297;2430;42;29;5;6;47;4;1.56;1.07;2.63;1.37;2.44;36.0;31.6;24.7;1.33;0.92;2.25;1.17;2.09
Marseille;23;28;308;2520;38;28;4;6;68;3;1.36;1.00;2.36;1.21;2.21;35.0;30.5;23.0;1.25;0.82;2.07;1.09;1.91
Metz;24;27;297;2430;25;18;2;4;45;4;0.93;0.67;1.59;0.85;1.52;26.4;23.3;17.2;0.98;0.64;1.61;0.86;1.50
Monaco;30;27;297;2430;43;28;4;4;58;9;1.59;1.04;2.63;1.44;2.48;48.0;44.9;32.3;1.78;1.20;2.97;1.66;2.86
Montpellier;27;27;297;2430;33;19;2;5;54;5;1.22;0.70;1.93;1.15;1.85;32.0;28.2;19.9;1.18;0.74;1.92;1.04;1.78
Nantes;29;27;297;2430;23;16;2;2;49;2;0.85;0.59;1.44;0.78;1.37;27.0;25.6;20.7;1.00;0.77;1.76;0.95;1.72
Nice;31;27;297;2430;38;27;5;5;57;7;1.41;1.00;2.41;1.22;2.22;34.7;31.0;20.9;1.29;0.78;2.06;1.15;1.92
Nîmes;28;27;297;2430;28;19;2;2;44;6;1.04;0.70;1.74;0.96;1.67;28.9;27.4;20.5;1.07;0.76;1.83;1.01;1.77
Paris S-G;31;27;297;2430;71;51;6;8;51;1;2.63;1.89;4.52;2.41;4.30;72.4;66.3;52.5;2.68;1.94;4.63;2.46;4.40
Reims;25;27;297;2430;24;15;5;5;54;4;0.89;0.56;1.44;0.70;1.26;27.1;23.5;16.9;1.00;0.63;1.63;0.87;1.50
Rennes;26;27;297;2430;32;23;1;3;49;1;1.19;0.85;2.04;1.15;2.00;33.9;31.5;22.3;1.26;0.83;2.08;1.16;1.99
Saint-Étienne;31;27;297;2430;27;19;5;5;57;2;1.00;0.70;1.70;0.81;1.52;28.9;25.2;17.9;1.07;0.66;1.73;0.93;1.60
Strasbourg;25;27;297;2430;32;21;3;4;47;1;1.19;0.78;1.96;1.07;1.85;35.2;32.1;24.1;1.30;0.89;2.19;1.19;2.08
Toulouse;30;27;297;2430;20;13;4;6;47;5;0.74;0.48;1.22;0.59;1.07;30.2;25.6;18.1;1.12;0.67;1.79;0.95;1.62
