"id";"name";"nation";"position";"team";"age";"born";"MP";"Min";"Mn/MP";"Min%";"90s";"Starts";"Mn/Start";"Subs";"Mn/Sub";"unSub";"PPM";"onG";"onGA";"+/-";"+/-90";"On-Off";"onxG";"onxGA";"xG+/-";"xG+/-90";"On-Off-ex";"Matches"
1;Ismael Aaneba\Ismael-Aaneba;fr FRA;MF;Strasbourg;20;1999;0;;;;;0;;0;;8;;;;;;;;;;;;Matches
2;Yunis Abdelhamid\Yunis-Abdelhamid;ma MAR;DF;Reims;31;1987;27;2430;90;100.0;27.0;27;90;0;;0;1.41;25;21;+4;+0.15;;27.1;25.9;+1.2;+0.05;;Matches
3;Mehdi Abeid\Mehdi-Abeid;dz ALG;MF;Nantes;26;1992;24;1758;73;72.3;19.5;19;87;5;22;1;1.50;20;23;-3;-0.15;-0.42;19.5;27.3;-7.9;-0.40;-0.55;Matches
4;Charles Abi\Charles-Abi;fr FRA;FW;Saint-Étienne;19;2000;14;581;42;23.9;6.5;6;72;8;18;1;0.93;6;13;-7;-1.08;-0.65;7.3;9.2;-1.9;-0.29;-0.07;Matches
5;Amine Adli\Amine-Adli;fr FRA;MFFW;Toulouse;19;2000;3;29;10;1.2;0.3;0;;3;10;3;0.00;0;0;0;0.00;+1.31;0.3;0.6;-0.3;-0.87;-0.41;Matches
6;Yacine Adli\Yacine-Adli;fr FRA;MFFW;Bordeaux;19;2000;20;936;47;38.5;10.4;10;75;10;19;1;1.35;16;10;+6;+0.58;+0.58;10.6;11.1;-0.5;-0.04;+0.14;Matches
7;Amir Adouyev\Amir-Adouyev;fr FRA;MF;Montpellier;20;1999;0;;;;;0;;0;;1;;;;;;;;;;;;Matches
8;Nayef Aguerd\Nayef-Aguerd;ma MAR;DF;Dijon;23;1996;10;868;87;35.7;9.6;10;87;0;;3;1.10;7;12;-5;-0.52;-0.17;10.8;15.5;-4.7;-0.49;+0.04;Matches
9;Ruben Aguilar\Ruben-Aguilar;fr FRA;DF;Monaco;26;1993;18;975;54;40.1;10.8;10;82;8;20;5;1.39;19;14;+5;+0.46;+0.71;19.7;16.0;+3.6;+0.34;+0.03;Matches
10;Jean-Eudes Aholou\Jean-Eudes-Aholou;ci CIV;MF;Saint-Étienne;25;1994;10;571;57;23.5;6.3;7;61;3;47;3;1.00;8;10;-2;-0.32;+0.36;8.9;8.3;+0.6;+0.09;+0.43;Matches
11;Youssef Aït Bennasser\Youssef-Ait-Bennasser;ma MAR;MF;Bordeaux;23;1996;11;471;43;19.4;5.2;5;82;6;10;5;1.18;7;6;+1;+0.19;-0.04;5.9;6.6;-0.7;-0.12;+0.01;Matches
