Squad;# Pl;90s;GA;PKA;FK;CK;OG;PSxG;PSxG/SoT;PSxG+/-;/90;Cmp;AttLaunched;Cmp%;AttPass;Thr;PassLaunch%;AvgLenPass;AttGks;GksLaunch%;AvgLenGks;Att;Stp;Stp%;#OPA;#OPA/90;AvgDist
Augsburg,2,25.0,52,0,0,4,3,42.7,0.35,-6.3,-0.25,170,504,33.7,632,105,53.5,44.7,230,72.2,56.3,194,12,6.2,21,0.84,15.0
Bayern Munich,2,25.0,26,3,0,4,0,25.8,0.30,-0.2,-0.01,157,260,60.4,963,150,24.3,29.6,128,20.3,28.2,92,6,6.5,41,1.64,19.5
Dortmund,2,25.0,33,0,0,8,3,26.4,0.37,-3.6,-0.14,97,270,35.9,703,132,29.3,32.9,173,37.0,36.2,133,10,7.5,28,1.12,15.9
Düsseldorf,2,25.0,50,3,1,7,3,49.0,0.37,+2.0,+0.08,211,479,44.1,712,123,48.7,41.8,196,67.3,55.0,141,9,6.4,18,0.72,14.6
Eint Frankfurt,3,24.0,41,1,1,4,1,36.5,0.30,-3.5,-0.14,203,454,44.7,750,105,47.6,38.7,169,57.4,45.3,131,15,11.5,18,0.75,14.8
Freiburg,3,25.0,35,1,0,6,0,34.9,0.27,-0.1,0.00,174,486,35.8,786,117,40.3,38.4,264,64.0,54.0,136,9,6.6,11,0.44,13.0
Hertha BSC,3,25.0,48,7,2,5,2,40.5,0.32,-5.5,-0.22,269,568,47.4,703,108,59.0,43.1,197,77.7,54.0,179,12,6.7,18,0.72,14.1
Hoffenheim,2,25.0,43,5,0,3,1,40.4,0.32,-1.6,-0.06,144,369,39.0,907,147,32.6,32.8,222,32.9,33.5,166,8,4.8,34,1.36,16.1
Köln,1,25.0,45,4,1,7,2,33.2,0.33,-9.8,-0.39,226,458,49.3,610,73,56.9,43.6,221,50.2,40.2,151,9,6.0,8,0.32,13.3
Leverkusen,1,25.0,30,1,0,4,0,32.5,0.33,+2.5,+0.10,193,461,41.9,995,149,38.4,36.3,183,43.2,39.0,122,11,9.0,22,0.88,15.7
M'gladbach,1,25.0,30,0,1,3,0,36.1,0.32,+6.1,+0.24,178,369,48.2,901,122,30.5,33.6,223,42.2,39.0,142,6,4.2,23,0.92,14.3
Mainz 05,2,25.0,53,2,1,8,1,44.9,0.33,-7.1,-0.28,166,478,34.7,687,161,47.9,41.0,234,63.7,51.9,183,17,9.3,26,1.04,16.3
Paderborn 07,2,25.0,54,3,3,7,1,48.9,0.38,-4.1,-0.17,158,345,45.8,855,163,32.5,32.9,212,31.6,33.6,145,8,5.5,13,0.52,13.8
RB Leipzig,2,25.0,26,1,0,4,0,28.9,0.33,+2.9,+0.12,113,291,38.8,781,141,30.1,32.7,161,34.8,34.9,127,10,7.9,40,1.60,17.0
Schalke 04,2,25.0,36,6,1,7,1,38.8,0.34,+3.8,+0.15,163,451,36.1,808,111,40.8,38.2,209,57.9,45.6,169,10,5.9,16,0.64,14.0
Union Berlin,1,25.0,41,2,0,7,1,40.3,0.32,+0.3,+0.01,314,661,47.5,819,98,60.2,46.9,213,78.9,59.3,143,13,9.1,17,0.68,15.1
Werder Bremen,2,24.0,55,1,1,9,3,39.6,0.32,-12.4,-0.52,176,415,42.4,654,118,44.3,39.2,231,54.1,43.5,188,8,4.3,18,0.75,14.5
Wolfsburg,2,25.0,30,3,1,4,0,31.0,0.29,+1.0,+0.04,204,458,44.5,718,119,49.6,41.0,180,56.7,47.1,159,12,7.5,20,0.80,14.9
