id;name;Nation;Position;Squad;Age;Born;MP;Starts;Min;GA;GA90;SoTA;Saves;Save%;W;D;L;CS;CS%;PKatt;PKA;PKsv;PKm;Matches
1;Oliver Baumann\Oliver-Baumann;de GER;GK;Hoffenheim;29;1990;20;20;1800;38;1.90;102;69;.667;8;4;8;4;20.0;5;4;1;0;Matches
2;Roman Bürki\Roman-Burki;ch SUI;GK;Dortmund;28;1990;21;21;1871;31;1.49;64;36;.516;12;5;4;8;38.1;0;0;0;0;Matches
3;Koen Casteels\Koen-Casteels;be BEL;GK;Wolfsburg;27;1992;16;16;1440;22;1.37;70;49;.714;7;4;5;3;18.8;2;2;0;0;Matches
4;Mark Flekken\Mark-Flekken;nl NED;GK;Freiburg;26;1993;9;9;810;14;1.56;64;48;.781;3;3;3;2;22.2;1;0;0;1;Matches
5;Rafał Gikiewicz\Rafal-Gikiewicz;pl POL;GK;Union Berlin;31;1987;24;24;2160;38;1.58;124;88;.710;9;3;12;6;25.0;3;2;1;0;Matches
6;Péter Gulácsi\Peter-Gulacsi;hu HUN;GK;RB Leipzig;29;1990;23;23;2070;24;1.04;82;58;.720;13;7;3;7;30.4;1;1;0;0;Matches
7;Marwin Hitz\Marwin-Hitz;ch SUI;GK;Dortmund;31;1987;4;3;289;1;0.31;7;6;.857;2;1;0;3;100.0;0;0;0;0;Matches
8;Timo Horn\Timo-Horn;de GER;GK;Köln;26;1993;24;24;2160;43;1.79;96;56;.594;10;2;12;6;25.0;5;4;1;0;Matches
9;Lukáš Hrádecký\Lukas-Hradecky;fi FIN;GK;Leverkusen;29;1989;24;24;2160;30;1.25;97;65;.701;13;5;6;7;29.2;1;1;0;0;Matches
10;Jannik Huth\Jannik-Huth;de GER;GK;Paderborn 07;25;1994;6;6;540;17;2.83;32;16;.500;0;1;5;0;0.0;1;1;0;0;Matches
11;Rune Jarstein\Rune-Jarstein;no NOR;GK;Hertha BSC;34;1984;21;21;1827;37;1.82;105;77;.714;7;4;10;5;23.8;7;7;0;0;Matches
12;Florian Kastenmeier\Florian-Kastenmeier;de GER;GK;Düsseldorf;23;1996;7;7;630;13;1.86;38;29;.711;1;3;3;1;14.3;2;2;0;0;Matches
13;Tomáš Koubek\Tomas-Koubek;cz CZE;GK;Augsburg;26;1992;23;23;2070;49;2.13;117;69;.581;6;6;11;4;17.4;1;0;1;0;Matches
14;Thomas Kraft\Thomas-Kraft;de GER;GK;Hertha BSC;31;1988;3;3;270;7;2.33;17;10;.588;0;2;1;0;0.0;0;0;0;0;Matches
15;Andreas Luthe\Andreas-Luthe;de GER;GK;Augsburg;32;1987;1;1;90;1;1.00;1;1;.000;1;0;0;0;0.0;0;0;0;0;Matches
16;Florian Müller\Florian-Muller;de GER;GK;Mainz 05;21;1997;3;3;270;12;4.00;22;11;.500;0;0;3;0;0.0;1;1;0;0;Matches
17;Yvon Mvogo\Yvon-Mvogo;ch SUI;GK;RB Leipzig;25;1994;1;1;90;2;2.00;4;2;.500;1;0;0;0;0.0;0;0;0;0;Matches
18;Manuel Neuer\Manuel-Neuer;de GER;GK;Bayern Munich;33;1986;24;24;2160;26;1.08;84;61;.726;16;4;4;9;37.5;4;3;1;0;Matches
19;Alexander Nübel\Alexander-Nubel;de GER;GK;Schalke 04;22;1996;20;20;1775;27;1.37;85;62;.729;8;7;5;6;30.0;4;4;0;0;Matches
20;Jiří Pavlenka\Jiri-Pavlenka;cz CZE;GK;Werder Bremen;27;1992;23;23;2070;53;2.30;120;70;.567;4;5;14;1;4.3;1;1;0;0;Matches
21;Philipp Pentke\Philipp-Pentke;de GER;GK;Hoffenheim;34;1985;4;4;360;4;1.00;20;16;.850;2;0;2;1;25.0;1;1;0;0;Matches
22;Pavao Pervan\Pavao-Pervan;at AUT;GK;Wolfsburg;31;1987;8;8;720;8;1.00;36;29;.806;2;4;2;3;37.5;1;1;0;0;Matches
23;Frederik Rønnow\Frederik-Ronnow;dk DEN;GK;Eint Frankfurt;26;1992;8;8;720;13;1.62;46;34;.739;2;2;4;1;12.5;1;1;0;0;Matches
24;Markus Schubert\Markus-Schubert;de GER;GK;Schalke 04;21;1998;5;4;381;8;1.89;33;26;.818;1;2;1;2;50.0;2;2;0;0;Matches
25;Alexander Schwolow\Alexander-Schwolow;de GER;GK;Freiburg;27;1992;15;15;1282;19;1.33;62;43;.710;6;3;6;3;20.0;1;1;0;0;Matches
26;Dennis Smarsch\Dennis-Smarsch;de GER;GK;Hertha BSC;20;1999;1;0;60;2;3.00;3;1;.333;0;0;0;0;;0;0;0;0;Matches
27;Yann Sommer\Yann-Sommer;ch SUI;GK;M'gladbach;30;1988;23;23;2070;27;1.17;107;77;.748;14;4;5;5;21.7;1;0;1;0;Matches
28;Zack Steffen\Zack-Steffen;us USA;GK;Düsseldorf;24;1995;17;17;1530;36;2.12;95;61;.632;4;3;10;2;11.8;2;1;1;0;Matches
29;Niclas Thiede\Niclas-Thiede;de GER;GK;Freiburg;20;1999;1;0;68;1;1.32;4;3;.750;0;0;0;0;;0;0;0;0;Matches
30;Kevin Trapp\Kevin-Trapp;de GER;GK;Eint Frankfurt;29;1990;12;12;1080;16;1.33;54;39;.704;6;2;4;3;25.0;0;0;0;0;Matches
31;Sven Ulreich\Sven-Ulreich;de GER;GK;Bayern Munich;30;1988;1;0;;0;;;;;0;0;0;0;;0;0;0;0;Matches
