id;name;Nation;Position;Squad;Age;Born;90s;CrdY;CrdR;2CrdY;Fls;Fld;Off;Crs;TklW;Int;PKwon;PKcon;OG;Succ;Att;Succ%;#Pl;Megs;Tkl;Cont;Tkl%;Past;Matches
1;Suleiman Abdullahi\Suleiman-Abdullahi;ng NGA;FWMF;Union Berlin;22;1996;1.1;1;0;0;0;0;2;5;1;1;0;0;0;0;2;0.0;1;1;1;2;50.0;1;Matches
2;David Abraham\David-Abraham;ar ARG;DF;Eint Frankfurt;33;1986;13.0;2;1;0;8;7;0;4;17;18;0;0;0;5;7;71.4;7;0;20;35;57.1;15;Matches
3;Amir Abrashi\Amir-Abrashi;al ALB;MF;Freiburg;29;1990;5.9;3;0;0;13;6;0;4;11;6;0;0;0;6;8;75.0;6;0;16;24;66.7;8;Matches
4;Tyler Adams\Tyler-Adams;us USA;DFMF;RB Leipzig;20;1999;4.5;0;0;0;3;8;0;4;3;7;0;0;0;5;9;55.6;5;0;6;20;30.0;14;Matches
5;Sargis Adamyan\Sargis-Adamyan;am ARM;FWMF;Hoffenheim;26;1993;8.3;1;0;0;12;7;7;11;4;2;1;0;0;11;24;45.8;13;0;10;30;33.3;20;Matches
6;Manuel Akanji\Manuel-Akanji;ch SUI;DF;Dortmund;24;1995;19.6;1;0;0;10;20;0;0;17;21;0;0;1;6;9;66.7;7;1;32;44;72.7;12;Matches
7;Kevin Akpoguma\Kevin-Akpoguma;de GER;DF;Hoffenheim;24;1995;9.9;2;0;0;5;11;1;2;10;8;0;1;0;3;4;75.0;3;0;23;34;67.6;11;Matches
8;David Alaba\David-Alaba;at AUT;DF;Bayern Munich;27;1992;18.9;0;0;0;7;5;1;22;12;17;0;0;0;3;7;42.9;4;0;19;28;67.9;9;Matches
9;Lucas Alario\Lucas-Alario;ar ARG;FW;Leverkusen;26;1992;10.1;3;0;0;16;12;11;3;1;1;0;0;0;13;17;76.5;14;0;5;10;50.0;5;Matches
10;Paco Alcácer\Paco-Alcacer;es ESP;FW;Dortmund;25;1993;5.9;0;0;0;2;3;7;2;2;1;0;0;0;4;7;57.1;5;1;2;9;22.2;7;Matches
11;Thiago Alcántara\Thiago-Alcantara;es ESP;MF;Bayern Munich;28;1991;17.6;6;0;0;21;12;0;7;36;40;0;0;0;52;61;85.2;53;0;51;74;68.9;23;Matches
12;Nadiem Amiri\Nadiem-Amiri;de GER;MFFW;Leverkusen;22;1996;15.6;1;0;0;22;27;3;83;10;14;1;0;0;19;35;54.3;21;1;14;27;51.9;13;Matches
