Squad;# Pl;CrdY;CrdR;2CrdY;Fls;Fld;Off;Crs;TklW;Int;PKwon;PKcon;OG;Succ;Att;Succ%;#Pl;Megs;Tkl;Cont;Tkl%;Past
Augsburg,28,50,2,2,284,264,65,342,248,334,3,1,3,181,351,51.6,205,13,410,750,54.7,340
Bayern Munich,25,45,2,1,225,269,55,657,287,250,4,4,0,407,640,63.6,443,20,420,684,61.4,264
Dortmund,25,27,1,1,221,245,43,397,288,272,1,0,3,373,619,60.3,404,30,431,674,63.9,243
Düsseldorf,28,63,0,0,309,315,44,493,265,270,2,4,3,225,372,60.5,242,8,419,724,57.9,305
Eint Frankfurt,27,44,3,1,286,256,46,635,317,273,0,1,1,242,417,58.0,261,11,486,785,61.9,299
Freiburg,26,35,2,1,239,323,36,489,242,253,5,2,0,204,343,59.5,216,10,395,672,58.8,277
Hertha BSC,30,54,3,2,326,274,33,388,276,284,1,7,2,302,464,65.1,319,17,457,745,61.3,288
Hoffenheim,29,47,0,0,275,300,48,432,276,231,1,6,1,235,394,59.6,252,12,458,737,62.1,279
Köln,27,61,3,1,345,312,57,507,311,332,0,5,2,224,380,58.9,245,11,503,789,63.8,286
Leverkusen,23,44,6,3,282,262,68,524,288,255,1,1,0,343,551,62.3,366,25,468,737,63.5,269
M'gladbach,22,62,2,2,316,320,67,439,307,311,3,1,0,327,530,61.7,349,16,483,783,61.7,300
Mainz 05,24,53,3,2,340,271,49,440,304,289,2,3,1,294,460,63.9,319,10,500,788,63.5,288
Paderborn 07,25,60,2,1,316,254,51,404,309,272,2,3,0,322,583,55.2,364,32,545,943,57.8,398
RB Leipzig,27,38,1,1,273,266,64,482,316,279,3,1,0,334,515,64.9,358,13,494,818,60.4,324
Schalke 04,27,42,1,0,286,276,61,340,308,302,1,6,1,311,524,59.4,332,21,507,840,60.4,333
Union Berlin,25,55,4,2,389,263,47,464,267,318,4,3,1,208,313,66.5,224,11,455,759,59.9,304
Werder Bremen,30,56,3,3,303,313,35,426,256,298,4,0,3,199,329,60.5,212,14,422,685,61.6,263
Wolfsburg,24,44,2,1,359,299,60,496,298,290,2,3,0,290,454,63.9,309,22,483,843,57.3,360
