"id";"name";"nation";"position";"team";"age";"born";"90s";"Ast";"xA";"A-xA";"KP";"Cmp";"Att";"CmpPER";"shortCmp";"shortAtt";"shortCmpPER";"mediumCmp";"mediumAtt";"mediumCmpPER";"longCmp";"longAtt";"longCmpPER";"Left";"Right";"FK";"TB";"CK";"TI";"1/3";"PPA";"CrsPA";"Matches"
1;Suleiman Abdullahi\Suleiman-Abdullahi;ng NGA;FWMF;Union Berlin;22;1996;1.1;0;0.0;0.0;0;11;25;44.0;0;2;0.0;10;20;50.0;1;3;33.3;5;13;0;0;0;0;1;0;0;Matches
2;David Abraham\David-Abraham;ar ARG;DF;Eint Frankfurt;33;1986;13.0;0;0.1;-0.1;2;483;586;82.4;5;11;45.5;297;341;87.1;181;234;77.4;76;437;11;0;0;22;48;4;0;Matches
3;Amir Abrashi\Amir-Abrashi;al ALB;MF;Freiburg;29;1990;5.9;0;0.1;-0.1;3;226;259;87.3;9;16;56.3;197;215;91.6;20;28;71.4;20;224;8;0;0;1;12;4;2;Matches
4;Tyler Adams\Tyler-Adams;us USA;DFMF;RB Leipzig;20;1999;4.5;0;0.3;-0.3;3;247;302;81.8;6;14;42.9;206;239;86.2;35;49;71.4;25;217;5;1;0;39;13;3;1;Matches
5;Sargis Adamyan\Sargis-Adamyan;am ARM;FWMF;Hoffenheim;26;1993;8.3;1;0.6;+0.4;7;140;191;73.3;4;16;25.0;119;150;79.3;17;25;68.0;28;132;0;0;0;6;5;2;1;Matches
6;Manuel Akanji\Manuel-Akanji;ch SUI;DF;Dortmund;24;1995;19.6;0;0.5;-0.5;1;1336;1457;91.7;7;18;38.9;914;964;94.8;415;475;87.4;329;1033;32;2;0;26;86;1;0;Matches
7;Kevin Akpoguma\Kevin-Akpoguma;de GER;DF;Hoffenheim;24;1995;9.9;0;0.0;0.0;1;490;560;87.5;2;5;40.0;396;427;92.7;92;128;71.9;66;472;10;1;0;4;12;0;0;Matches
8;David Alaba\David-Alaba;at AUT;DF;Bayern Munich;27;1992;18.9;1;1.7;-0.7;15;1542;1694;91.0;11;23;47.8;1119;1178;95.0;412;493;83.6;1410;191;25;5;4;50;198;19;7;Matches
9;Lucas Alario\Lucas-Alario;ar ARG;FW;Leverkusen;26;1992;10.1;1;2.2;-1.2;14;188;249;75.5;15;26;57.7;147;189;77.8;26;34;76.5;30;182;3;3;0;1;5;6;0;Matches
10;Paco Alcácer\Paco-Alcacer;es ESP;FW;Dortmund;25;1993;5.9;1;1.0;0.0;5;84;112;75.0;4;8;50.0;75;92;81.5;5;12;41.7;15;85;0;0;1;0;2;2;0;Matches
11;Thiago Alcántara\Thiago-Alcantara;es ESP;MF;Bayern Munich;28;1991;17.6;0;1.0;-1.0;22;1458;1622;89.9;29;47;61.7;1019;1103;92.4;410;472;86.9;115;1438;48;2;3;4;168;17;0;Matches
12;Nadiem Amiri\Nadiem-Amiri;de GER;MFFW;Leverkusen;22;1996;15.6;2;4.2;-2.2;42;667;845;78.9;26;50;52.0;501;566;88.5;140;229;61.1;114;694;37;5;56;13;58;11;2;Matches
13;Ethan Ampadu\Ethan-Ampadu;wal WAL;DF;RB Leipzig;18;2000;0.9;0;0.0;0.0;0;74;78;94.9;3;3;100.0;51;53;96.2;20;22;90.9;15;59;1;1;0;0;5;0;0;Matches
14;Opoku Ampomah\Opoku-Ampomah;gh GHA;FW;Düsseldorf;23;1996;5.5;0;0.3;-0.3;8;63;104;60.6;0;7;0.0;50;74;67.6;13;23;56.5;19;77;2;0;1;2;6;3;0;Matches
15;Sebastian Andersson\Sebastian-Andersson;se SWE;FW;Union Berlin;28;1991;22.3;1;1.0;0.0;13;372;607;61.3;15;39;38.5;324;505;64.2;33;63;52.4;39;306;0;0;0;0;36;8;2;Matches
16;Robert Andrich\Robert-Andrich;de GER;MF;Union Berlin;24;1994;22.8;2;1.8;+0.2;27;692;995;69.5;21;52;40.4;529;684;77.3;142;259;54.8;194;661;18;4;7;2;83;22;3;Matches
17;Angeliño\Angelino;es ESP;DF;RB Leipzig;22;1997;4.0;0;0.2;-0.2;4;135;196;68.9;2;10;20.0;100;117;85.5;33;69;47.8;147;13;9;0;12;29;6;5;1;Matches
18;Christopher Antwi-Adjei\Christopher-Antwi-Adjei;gh GHA;MFFW;Paderborn 07;25;1994;18.8;2;2.7;-0.7;33;420;584;71.9;11;35;31.4;336;424;79.2;73;125;58.4;100;363;4;4;18;75;20;22;4;Matches
19;Charles Aránguiz\Charles-Aranguiz;cl CHI;MF;Leverkusen;30;1989;15.0;3;1.5;+1.5;18;890;1031;86.3;7;25;28.0;717;776;92.4;166;230;72.2;167;816;22;0;2;1;91;5;0;Matches
20;Maximilian Arnold\Maximilian-Arnold;de GER;MF;Wolfsburg;25;1994;21.8;5;5.2;-0.2;52;789;1067;73.9;20;40;50.0;513;587;87.4;256;440;58.2;795;203;97;8;69;15;75;17;5;Matches
21;Santiago Ascacíbar\Santiago-Ascacibar;ar ARG;MF;Hertha BSC;22;1997;6.0;1;0.2;+0.8;2;228;268;85.1;9;16;56.3;168;189;88.9;51;63;81.0;62;184;16;0;1;2;8;1;1;Matches
22;Ludwig Augustinsson\Ludwig-Augustinsson;se SWE;DF;Werder Bremen;25;1994;6.7;1;0.6;+0.4;12;243;340;71.5;1;15;6.7;210;244;86.1;32;81;39.5;238;19;11;0;9;58;8;6;4;Matches
23;Taiwo Awoniyi\Taiwo-Awoniyi;ng NGA;FWMF;Mainz 05;21;1997;1.7;0;0.1;-0.1;1;15;26;57.7;0;5;0.0;15;20;75.0;0;1;0.0;12;6;0;0;0;0;2;0;0;Matches
24;Kaan Ayhan\Kaan-Ayhan;tr TUR;DF;Düsseldorf;24;1994;22.4;3;2.2;+0.8;13;948;1128;84.0;7;24;29.2;601;655;91.8;340;449;75.7;103;938;39;5;0;41;77;8;2;Matches
25;Matthias Bader\Matthias-Bader;de GER;DF;Köln;22;1997;0.1;0;0.0;0.0;0;4;7;57.1;0;0;;4;4;100.0;0;3;0.0;1;3;1;0;0;3;0;0;0;Matches
26;Daniel Baier\Daniel-Baier;de GER;MF;Augsburg;35;1984;17.6;0;0.4;-0.4;7;544;707;76.9;7;25;28.0;380;451;84.3;157;231;68.0;46;585;26;2;0;4;48;7;0;Matches
27;Leon Bailey\Leon-Bailey;jm JAM;FWMF;Leverkusen;21;1997;7.3;1;1.6;-0.6;12;190;291;65.3;6;19;31.6;147;200;73.5;37;72;51.4;214;56;6;3;8;6;7;16;7;Matches
28;Lewis Baker\Lewis-Baker;eng ENG;MF;Düsseldorf;24;1995;6.1;0;0.3;-0.3;6;184;230;80.0;6;11;54.5;128;152;84.2;50;67;74.6;79;141;7;0;2;0;21;3;0;Matches
29;Ridle Baku\Ridle-Baku;de GER;MFDF;Mainz 05;21;1998;17.6;0;1.9;-1.9;18;551;760;72.5;10;29;34.5;399;514;77.6;142;217;65.4;112;522;13;0;0;80;46;14;4;Matches
30;Leonardo Balerdi\Leonardo-Balerdi;ar ARG;DF;Dortmund;20;1999;0.1;0;0.0;0.0;0;17;17;100.0;0;0;;16;16;100.0;1;1;100.0;1;16;0;0;0;0;1;0;0;Matches
31;Philipp Bargfrede\Philipp-Bargfrede;de GER;MF;Werder Bremen;30;1989;4.0;0;0.0;0.0;1;138;180;76.7;1;3;33.3;106;130;81.5;31;47;66.0;31;132;3;1;0;0;24;2;0;Matches
32;Aymen Barkok\Aymen-Barkok;de GER;FWMF;Düsseldorf;21;1998;0.9;0;0.0;0.0;0;17;29;58.6;0;1;0.0;13;21;61.9;4;7;57.1;4;21;1;0;0;0;3;0;0;Matches
33;Leandro Barreiro Martins\Leandro-Barreiro-Martins;lu LUX;MF;Mainz 05;19;2000;5.2;1;0.1;+0.9;2;119;155;76.8;1;10;10.0;98;117;83.8;20;28;71.4;29;107;0;0;0;1;11;0;0;Matches
34;Fin Bartels\Fin-Bartels;de GER;FWMF;Werder Bremen;32;1987;1.3;0;0.2;-0.2;2;46;60;76.7;1;4;25.0;38;44;86.4;7;12;58.3;1;49;0;0;0;2;1;1;0;Matches
35;Oliver Baumann\Oliver-Baumann;de GER;GK;Hoffenheim;29;1990;20.0;0;0.0;0.0;1;735;934;78.7;11;11;100.0;464;467;99.4;260;456;57.0;164;619;80;0;0;0;8;0;0;Matches
36;Julian Baumgartlinger\Julian-Baumgartlinger;at AUT;MF;Leverkusen;31;1988;13.5;1;0.9;+0.1;9;716;794;90.2;20;31;64.5;590;635;92.9;106;128;82.8;167;574;27;1;2;3;46;6;0;Matches
37;Christoph Baumgartner\Christoph-Baumgartner;at AUT;FWMF;Hoffenheim;19;1999;9.8;1;1.3;-0.3;12;202;294;68.7;9;24;37.5;160;214;74.8;33;56;58.9;31;222;2;2;6;4;12;6;0;Matches
38;Noah Joel Sarenren Bazee\Noah-Joel-Sarenren-Bazee;ng NGA;MF;Augsburg;22;1996;0.2;0;0.0;0.0;0;4;6;66.7;2;3;66.7;1;2;50.0;1;1;100.0;1;5;0;0;0;0;0;0;0;Matches
39;Ihlas Bebou\Ihlas-Bebou;tg TOG;FWMF;Hoffenheim;25;1994;17.0;0;2.5;-2.5;25;334;495;67.5;13;44;29.5;281;372;75.5;40;79;50.6;32;385;1;3;0;11;27;12;2;Matches
40;Sheraldo Becker\Sheraldo-Becker;nl NED;MFFW;Union Berlin;24;1995;5.6;2;0.8;+1.2;7;76;125;60.8;4;10;40.0;54;83;65.1;18;32;56.3;21;89;0;0;0;1;2;3;2;Matches
41;Timo Becker\Timo-Becker;de GER;DF;Schalke 04;22;1997;0.9;0;0.0;0.0;0;28;33;84.8;1;2;50.0;22;25;88.0;5;6;83.3;1;23;0;0;0;8;5;1;0;Matches
42;Maximilian Beier\Maximilian-Beier;de GER;MFDF;Hoffenheim;16;2002;0.1;0;0.0;0.0;0;1;4;25.0;0;2;0.0;1;1;100.0;0;1;0.0;0;3;0;0;0;0;0;0;0;Matches
43;Ishak Belfodil\Ishak-Belfodil;dz ALG;FWMF;Hoffenheim;27;1992;3.0;0;0.2;-0.2;5;49;65;75.4;2;7;28.6;41;48;85.4;6;10;60.0;7;49;0;0;0;0;4;2;0;Matches
44;Karim Bellarabi\Karim-Bellarabi;de GER;FWDF;Leverkusen;29;1990;12.7;3;2.8;+0.2;18;408;587;69.5;7;41;17.1;333;413;80.6;68;133;51.1;48;475;1;1;1;47;23;12;3;Matches
45;Lars Bender\Lars-Bender;de GER;DFMF;Leverkusen;30;1989;14.7;1;1.1;-0.1;17;873;1028;84.9;21;46;45.7;706;790;89.4;146;192;76.0;108;738;12;1;0;138;52;10;1;Matches
46;Sven Bender\Sven-Bender;de GER;DF;Leverkusen;30;1989;23.1;1;0.1;+0.9;2;1730;1877;92.2;14;19;73.7;1177;1255;93.8;539;603;89.4;383;1370;41;1;0;1;50;3;0;Matches
47;László Bénes\Laszlo-Benes;sk SVK;MF;M'gladbach;21;1997;9.1;4;2.3;+1.7;19;346;457;75.7;5;15;33.3;237;283;83.7;104;159;65.4;368;48;30;3;28;9;52;7;0;Matches
48;Ramy Bensebaini\Ramy-Bensebaini;dz ALG;DF;M'gladbach;24;1995;8.1;0;0.4;-0.4;5;346;434;79.7;6;20;30.0;275;317;86.8;65;97;67.0;269;78;16;1;0;69;19;3;2;Matches
49;Valon Berisha\Valon-Berisha;xk KVX;MF;Düsseldorf;26;1993;4.3;0;0.3;-0.3;4;148;183;80.9;4;7;57.1;103;119;86.6;41;57;71.9;20;151;2;0;4;2;10;3;1;Matches
