Squad;# Pl;Ast;xA;A-xA;KP;Cmp;Att;CmpPER;shortCmp;shortAtt;shortCmpPER;mediumCmp;mediumAtt;mediumCmpPER;longCmp;longAtt;longCmpPER;Left;Right;FK;TB;CK;TI;1/3;PPA;CrsPA
Augsburg,28,25,22.5,+2.5,184,6111,8698,70.3,137,412,33.3,4268,5250,81.3,1706,3036,56.2,2078,5136,308,30,89,550,411,115,22
Bayern Munich,25,58,51.0,+7.0,359,15716,18265,86.0,192,524,36.6,11605,12751,91.0,3919,4990,78.5,4993,11755,333,48,182,594,1337,331,61
Dortmund,25,59,34.8,+24.2,265,15128,17552,86.2,245,577,42.5,11746,12871,91.3,3137,4104,76.4,4694,11474,318,48,154,537,931,227,27
Düsseldorf,28,20,16.7,+3.3,212,8007,10566,75.8,128,401,31.9,5295,6323,83.7,2584,3842,67.3,2673,6340,362,16,105,513,614,148,49
Eint Frankfurt,27,29,25.5,+3.5,257,8130,11000,73.9,150,492,30.5,5734,6930,82.7,2246,3578,62.8,3247,6057,308,15,156,599,678,154,58
Freiburg,26,19,20.9,-1.9,225,8988,11513,78.1,150,445,33.7,6210,7180,86.5,2628,3888,67.6,3408,6506,338,17,116,582,625,148,54
Hertha BSC,30,25,21.0,+4.0,197,8387,10921,76.8,164,476,34.5,5908,6907,85.5,2315,3538,65.4,3177,6128,338,17,88,563,599,112,39
Hoffenheim,29,24,23.4,+0.6,235,10884,13406,81.2,158,446,35.4,8153,9156,89.0,2573,3804,67.6,3117,8736,354,26,127,528,672,162,39
Köln,27,31,24.9,+6.1,233,8086,10697,75.6,109,372,29.3,5464,6523,83.8,2513,3802,66.1,3675,5485,344,20,131,540,605,173,42
Leverkusen,23,37,35.4,+1.6,294,13947,16642,83.8,232,570,40.7,10328,11481,90.0,3387,4591,73.8,5628,9500,344,40,148,579,831,167,33
M'gladbach,22,40,36.1,+3.9,247,10195,12749,80.0,173,469,36.9,7365,8500,86.6,2657,3780,70.3,2960,8319,361,32,132,561,646,178,34
Mainz 05,24,26,24.1,+1.9,243,7417,10047,73.8,142,413,34.4,5163,6186,83.5,2112,3448,61.3,2587,5997,302,19,120,560,594,143,32
Paderborn 07,25,23,18.1,+4.9,214,8498,11048,76.9,128,472,27.1,6022,7069,85.2,2348,3507,67.0,2664,6780,294,16,136,684,587,96,17
RB Leipzig,27,41,35.5,+5.5,301,11817,14466,81.7,250,621,40.3,8995,10190,88.3,2572,3655,70.4,3057,9823,332,39,140,547,903,233,32
Schalke 04,27,21,21.0,0.0,204,9300,11848,78.5,150,469,32.0,6550,7574,86.5,2600,3805,68.3,3033,7306,326,28,126,575,624,153,26
Union Berlin,25,20,19.2,+0.8,200,6966,9849,70.7,140,428,32.7,4740,5903,80.3,2086,3518,59.3,2427,5436,321,9,92,595,612,121,44
Werder Bremen,30,19,19.0,0.0,227,9256,11767,78.7,140,467,30.0,6755,7784,86.8,2361,3516,67.2,3323,7002,373,13,112,545,678,156,31
Wolfsburg,24,24,25.3,-1.3,255,8717,11617,75.0,170,503,33.8,5987,7196,83.2,2560,3918,65.3,3898,5852,336,25,133,664,685,159,40
