"id";"name";"nation";"position";"team";"age";"born";"90s";"Gls";"PK";"PKatt";"Sh";"SoT";"FK";"SoT%";"Sh/90";"SoT/90";"G/Sh";"G/SoT";"xG";"npxG";"npxG/Sh";"G-xG";"np:G-xG";"Matches"
1;Suleiman Abdullahi\Suleiman-Abdullahi;ng NGA;FWMF;Union Berlin;22;1996;1.1;0;0;0;3;1;0;33.3;2.78;0.93;0.00;0.00;0.3;0.3;0.11;-0.3;-0.3;Matches
2;David Abraham\David-Abraham;ar ARG;DF;Eint Frankfurt;33;1986;13.0;1;0;0;6;3;0;50.0;0.46;0.23;0.17;0.33;1.1;1.1;0.18;-0.1;-0.1;Matches
3;Amir Abrashi\Amir-Abrashi;al ALB;MF;Freiburg;29;1990;5.9;0;0;0;5;2;0;40.0;0.85;0.34;0.00;0.00;0.4;0.4;0.08;-0.4;-0.4;Matches
4;Tyler Adams\Tyler-Adams;us USA;DFMF;RB Leipzig;20;1999;4.5;0;0;0;3;1;0;33.3;0.67;0.22;0.00;0.00;0.2;0.2;0.08;-0.2;-0.2;Matches
5;Sargis Adamyan\Sargis-Adamyan;am ARM;FWMF;Hoffenheim;26;1993;8.3;5;0;0;20;10;0;50.0;2.42;1.21;0.25;0.50;4.2;4.2;0.21;+0.8;+0.8;Matches
6;Manuel Akanji\Manuel-Akanji;ch SUI;DF;Dortmund;24;1995;19.6;0;0;0;8;2;0;25.0;0.41;0.10;0.00;0.00;0.6;0.6;0.08;-0.6;-0.6;Matches
7;Kevin Akpoguma\Kevin-Akpoguma;de GER;DF;Hoffenheim;24;1995;9.9;0;0;0;2;0;0;0.0;0.20;0.00;0.00;;0.1;0.1;0.06;-0.1;-0.1;Matches
8;David Alaba\David-Alaba;at AUT;DF;Bayern Munich;27;1992;18.9;1;0;0;14;6;6;42.9;0.74;0.32;0.07;0.17;0.6;0.6;0.04;+0.4;+0.4;Matches
9;Lucas Alario\Lucas-Alario;ar ARG;FW;Leverkusen;26;1992;10.1;6;1;1;35;15;0;42.9;3.47;1.49;0.14;0.33;5.5;4.8;0.14;+0.5;+0.2;Matches
10;Paco Alcácer\Paco-Alcacer;es ESP;FW;Dortmund;25;1993;5.9;5;0;0;15;7;0;46.7;2.56;1.19;0.33;0.71;3.7;3.7;0.25;+1.3;+1.3;Matches
11;Thiago Alcántara\Thiago-Alcantara;es ESP;MF;Bayern Munich;28;1991;17.6;3;0;0;18;8;0;44.4;1.03;0.46;0.17;0.38;2.3;2.3;0.13;+0.7;+0.7;Matches
12;Nadiem Amiri\Nadiem-Amiri;de GER;MFFW;Leverkusen;22;1996;15.6;1;0;0;36;14;0;38.9;2.30;0.89;0.03;0.07;2.2;2.2;0.06;-1.2;-1.2;Matches
13;Ethan Ampadu\Ethan-Ampadu;wal WAL;DF;RB Leipzig;18;2000;0.9;0;0;0;1;0;0;0.0;1.15;0.00;0.00;;0.2;0.2;0.15;-0.2;-0.2;Matches
14;Opoku Ampomah\Opoku-Ampomah;gh GHA;FW;Düsseldorf;23;1996;5.5;0;0;0;16;5;0;31.3;2.89;0.90;0.00;0.00;0.8;0.8;0.05;-0.8;-0.8;Matches
15;Sebastian Andersson\Sebastian-Andersson;se SWE;FW;Union Berlin;28;1991;22.3;10;1;2;46;28;0;60.9;2.06;1.26;0.20;0.32;10.5;8.9;0.19;-0.5;+0.1;Matches
16;Robert Andrich\Robert-Andrich;de GER;MF;Union Berlin;24;1994;22.8;0;0;0;39;5;2;12.8;1.71;0.22;0.00;0.00;1.4;1.4;0.04;-1.4;-1.4;Matches
17;Angeliño\Angelino;es ESP;DF;RB Leipzig;22;1997;4.0;1;0;0;2;1;0;50.0;0.50;0.25;0.50;1.00;0.2;0.2;0.08;+0.8;+0.8;Matches
18;Christopher Antwi-Adjei\Christopher-Antwi-Adjei;gh GHA;MFFW;Paderborn 07;25;1994;18.8;1;0;0;33;9;0;27.3;1.76;0.48;0.03;0.11;3.3;3.3;0.10;-2.3;-2.3;Matches
19;Charles Aránguiz\Charles-Aranguiz;cl CHI;MF;Leverkusen;30;1989;15.0;1;0;0;10;2;0;20.0;0.67;0.13;0.10;0.50;1.0;1.0;0.10;0.0;0.0;Matches
