"id";"name";"nation";"position";"team";"age";"born";"MP";"Starts";"Min";"Gls";"Ast";"PK";"PKatt";"CrdY";"CrdR";"Gls_per_match";"Ast_per_match";"G_A_per_match";"G_PK_per_match";"G_A_PK_per_match";"xG";"npxG";"xA";"xG_per_match";"xA_per_match";"xG_xA";"npxG_per_match";"npxG_xA";"Matches"
1;Suleiman Abdullahi\Suleiman-Abdullahi;ng NGA;FWMF;Union Berlin;22;1996;4;1;97;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.3;0.3;0.0;0.31;0.00;0.31;0.31;0.31;Matches
2;David Abraham\David-Abraham;ar ARG;DF;Eint Frankfurt;33;1986;14;13;1166;1;0;0;0;2;1;0.08;0.00;0.08;0.08;0.08;1.1;1.1;0.1;0.08;0.00;0.09;0.08;0.09;Matches
3;Amir Abrashi\Amir-Abrashi;al ALB;MF;Freiburg;29;1990;9;7;530;0;0;0;0;3;0;0.00;0.00;0.00;0.00;0.00;0.4;0.4;0.1;0.07;0.01;0.08;0.07;0.08;Matches
4;Tyler Adams\Tyler-Adams;us USA;DFMF;RB Leipzig;20;1999;5;5;402;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.2;0.2;0.3;0.05;0.08;0.13;0.05;0.13;Matches
5;Sargis Adamyan\Sargis-Adamyan;am ARM;FWMF;Hoffenheim;26;1993;15;6;744;5;1;0;0;1;0;0.60;0.12;0.73;0.60;0.73;4.2;4.2;0.6;0.51;0.08;0.59;0.51;0.59;Matches
6;Manuel Akanji\Manuel-Akanji;ch SUI;DF;Dortmund;24;1995;22;19;1767;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.6;0.6;0.5;0.03;0.02;0.05;0.03;0.05;Matches
7;Kevin Akpoguma\Kevin-Akpoguma;de GER;DF;Hoffenheim;24;1995;13;10;891;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;0.1;0.1;0.0;0.01;0.00;0.02;0.01;0.02;Matches
8;David Alaba\David-Alaba;at AUT;DF;Bayern Munich;27;1992;19;18;1698;1;1;0;0;0;0;0.05;0.05;0.11;0.05;0.11;0.6;0.6;1.7;0.03;0.09;0.12;0.03;0.12;Matches
9;Lucas Alario\Lucas-Alario;ar ARG;FW;Leverkusen;26;1992;18;9;908;6;1;1;1;3;0;0.59;0.10;0.69;0.50;0.59;5.5;4.8;2.2;0.55;0.21;0.76;0.47;0.69;Matches
10;Paco Alcácer\Paco-Alcacer;es ESP;FW;Dortmund;25;1993;11;6;528;5;1;0;0;0;0;0.85;0.17;1.02;0.85;1.02;3.7;3.7;1.0;0.63;0.17;0.81;0.63;0.81;Matches
11;Thiago Alcántara\Thiago-Alcantara;es ESP;MF;Bayern Munich;28;1991;21;18;1580;3;0;0;0;6;0;0.17;0.00;0.17;0.17;0.17;2.3;2.3;1.0;0.13;0.06;0.19;0.13;0.19;Matches
12;Nadiem Amiri\Nadiem-Amiri;de GER;MFFW;Leverkusen;22;1996;22;16;1408;1;2;0;0;1;0;0.06;0.13;0.19;0.06;0.19;2.2;2.2;4.2;0.14;0.27;0.41;0.14;0.41;Matches
13;Ethan Ampadu\Ethan-Ampadu;wal WAL;DF;RB Leipzig;18;2000;3;0;78;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.2;0.2;0.0;0.17;0.00;0.17;0.17;0.17;Matches
14;Opoku Ampomah\Opoku-Ampomah;gh GHA;FW;Düsseldorf;23;1996;12;5;498;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.8;0.8;0.3;0.15;0.06;0.21;0.15;0.21;Matches
15;Sebastian Andersson\Sebastian-Andersson;se SWE;FW;Union Berlin;28;1991;24;23;2006;10;1;1;2;4;0;0.45;0.04;0.49;0.40;0.45;10.5;8.9;1.0;0.47;0.04;0.51;0.40;0.45;Matches
16;Robert Andrich\Robert-Andrich;de GER;MF;Union Berlin;24;1994;23;23;2056;0;2;0;0;9;0;0.00;0.09;0.09;0.00;0.09;1.4;1.4;1.8;0.06;0.08;0.14;0.06;0.14;Matches
17;Angeliño\Angelino;es ESP;DF;RB Leipzig;22;1997;4;4;360;1;0;0;0;0;0;0.25;0.00;0.25;0.25;0.25;0.2;0.2;0.2;0.04;0.06;0.10;0.04;0.10;Matches
