Squad;# Pl;MP;Starts;Min;Gls;Ast;PK;PKatt;CrdY;CrdR;Gls_per_match;Ast_per_match;G_A_per_match;G_PK_per_match;G_A_PK_per_match;xG;npxG;xA;xG_per_match;xA_per_match;xG_xA;npxG_per_match;npxG_xA
Augsburg;28;24;264;2160;36;25;3;4;50;2;1.50;1.04;2.54;1.38;2.42;33.1;30.1;21.9;1.38;0.91;2.29;1.25;2.17
Bayern Munich;25;24;264;2160;70;56;4;4;44;2;2.92;2.33;5.25;2.75;5.08;61.6;58.6;48.3;2.57;2.01;4.58;2.44;4.46
Dortmund;25;24;264;2160;66;57;2;2;22;1;2.75;2.38;5.13;2.67;5.04;44.2;42.9;34.1;1.84;1.42;3.26;1.79;3.21
Düsseldorf;27;24;264;2160;26;20;3;3;62;0;1.08;0.83;1.92;0.96;1.79;23.0;20.8;15.7;0.96;0.66;1.61;0.87;1.52
Eint Frankfurt;27;23;253;2070;36;29;1;1;44;3;1.57;1.26;2.83;1.52;2.78;33.8;33.0;25.0;1.47;1.09;2.55;1.44;2.52
Freiburg;25;24;264;2160;29;17;5;6;33;2;1.21;0.71;1.92;1.00;1.71;30.6;26.1;20.2;1.27;0.84;2.12;1.09;1.93
Hertha BSC;30;24;264;2160;29;24;1;1;51;3;1.21;1.00;2.21;1.17;2.17;27.0;26.2;20.3;1.12;0.84;1.97;1.09;1.94
Hoffenheim;29;24;264;2160;33;23;2;2;46;0;1.38;0.96;2.33;1.29;2.25;33.6;32.1;22.8;1.40;0.95;2.35;1.34;2.29
Köln;27;24;264;2160;37;31;0;0;59;3;1.54;1.29;2.83;1.54;2.83;34.8;34.8;24.7;1.45;1.03;2.48;1.45;2.48
Leverkusen;23;24;264;2160;38;33;1;1;43;6;1.58;1.38;2.96;1.54;2.92;40.5;39.7;33.1;1.69;1.38;3.07;1.65;3.03
M'gladbach;22;23;253;2070;46;38;2;4;56;2;2.00;1.65;3.65;1.91;3.57;45.9;42.8;34.1;2.00;1.48;3.48;1.86;3.35
Mainz 05;24;24;264;2160;31;25;2;2;50;2;1.29;1.04;2.33;1.21;2.25;32.1;30.6;23.8;1.34;0.99;2.33;1.27;2.27
Paderborn 07;25;25;275;2250;30;23;1;3;60;2;1.20;0.92;2.12;1.16;2.08;29.0;26.7;18.1;1.16;0.72;1.88;1.07;1.79
RB Leipzig;27;24;264;2160;62;41;5;5;35;1;2.58;1.71;4.29;2.38;4.08;50.3;46.8;34.3;2.10;1.43;3.53;1.95;3.38
Schalke 04;26;24;264;2160;29;20;1;1;42;1;1.21;0.83;2.04;1.17;2.00;28.2;27.5;20.4;1.18;0.85;2.03;1.15;1.99
Union Berlin;25;24;264;2160;29;19;4;5;52;3;1.21;0.79;2.00;1.04;1.83;29.8;26.0;18.6;1.24;0.78;2.02;1.08;1.86
Werder Bremen;29;23;253;2070;23;17;3;5;53;3;1.00;0.74;1.74;0.87;1.61;28.1;24.4;18.1;1.22;0.79;2.01;1.06;1.85
Wolfsburg;24;24;264;2160;34;24;3;3;42;2;1.42;1.00;2.42;1.29;2.29;34.6;32.3;24.9;1.44;1.04;2.48;1.35;2.39
