Squad;# Pl;MP;Starts;Min;GA;GA90;SoTA;Saves;Save%;W;D;L;CS;CS%;PKatt;PKA;PKsv;PKm
Augsburg;2;24;24;2160;50;2.08;118;70;.576;7;6;11;4;16.7;1;0;1;0
Bayern Munich;2;24;24;2160;26;1.08;84;61;.726;16;4;4;9;37.5;4;3;1;0
Dortmund;2;24;24;2160;32;1.33;71;42;.549;14;6;4;10;41.7;0;0;0;0
Düsseldorf;2;24;24;2160;49;2.04;133;90;.654;5;6;13;3;12.5;4;3;1;0
Eint Frankfurt;3;23;23;2070;37;1.61;121;86;.702;8;4;11;4;17.4;1;1;0;0
Freiburg;3;24;24;2160;34;1.42;130;94;.746;9;6;9;5;20.8;2;1;0;1
Hertha BSC;3;24;24;2157;46;1.92;125;88;.688;7;6;11;5;20.8;7;7;0;0
Hoffenheim;2;24;24;2160;42;1.75;122;85;.697;10;4;10;5;20.8;6;5;1;0
Köln;1;24;24;2160;43;1.79;96;56;.594;10;2;12;6;25.0;5;4;1;0
Leverkusen;1;24;24;2160;30;1.25;97;65;.701;13;5;6;7;29.2;1;1;0;0
M'gladbach;1;23;23;2070;27;1.17;107;77;.748;14;4;5;5;21.7;1;0;1;0
Mainz 05;2;24;24;2160;52;2.17;134;85;.627;8;1;15;3;12.5;3;2;1;0
Paderborn 07;2;25;25;2250;54;2.16;129;79;.605;4;4;17;3;12.0;3;3;0;0
RB Leipzig;2;24;24;2160;26;1.08;86;60;.709;14;7;3;7;29.2;1;1;0;0
Schalke 04;2;24;24;2156;35;1.46;118;88;.754;9;9;6;7;29.2;6;6;0;0
Union Berlin;1;24;24;2160;38;1.58;124;88;.710;9;3;12;6;25.0;3;2;1;0
Werder Bremen;1;23;23;2070;53;2.30;120;70;.567;4;5;14;1;4.3;1;1;0;0
Wolfsburg;2;24;24;2160;30;1.25;106;78;.745;9;8;7;6;25.0;3;3;0;0
