"id";"name";"nation";"position";"team";"age";"born";"MP";"Min";"Mn/MP";"Min%";"90s";"Starts";"Mn/Start";"Subs";"Mn/Sub";"unSub";"PPM";"onG";"onGA";"+/-";"+/-90";"On-Off";"onxG";"onxGA";"xG+/-";"xG+/-90";"On-Off-ex";"Matches"
1;Suleiman Abdullahi\Suleiman-Abdullahi;ng NGA;FWMF;Union Berlin;22;1996;4;97;24;4.5;1.1;1;58;3;13;1;0.25;1;4;-3;-2.78;-2.61;1.9;2.4;-0.5;-0.47;-0.01;Matches
2;David Abraham\David-Abraham;ar ARG;DF;Eint Frankfurt;33;1986;14;1166;83;56.3;13.0;13;85;1;60;2;1.57;18;19;-1;-0.08;-0.28;15.5;15.3;+0.2;+0.02;-0.16;Matches
3;Amir Abrashi\Amir-Abrashi;al ALB;MF;Freiburg;29;1990;9;530;59;24.5;5.9;7;72;2;12;9;1.89;6;6;0;0.00;+0.17;7.0;7.7;-0.7;-0.12;+0.54;Matches
4;Tyler Adams\Tyler-Adams;us USA;DFMF;RB Leipzig;20;1999;5;402;80;18.6;4.5;5;80;0;;0;1.60;6;5;+1;+0.22;-1.57;7.1;5.1;+2.0;+0.45;-0.72;Matches
5;Sargis Adamyan\Sargis-Adamyan;am ARM;FWMF;Hoffenheim;26;1993;15;744;50;34.4;8.3;6;80;9;29;3;1.93;16;10;+6;+0.73;+1.62;13.4;15.1;-1.7;-0.20;+0.12;Matches
6;Manuel Akanji\Manuel-Akanji;ch SUI;DF;Dortmund;24;1995;22;1767;80;81.8;19.6;19;90;3;20;2;2.00;56;29;+27;+1.38;-0.23;38.0;26.0;+12.0;+0.61;-0.02;Matches
7;Kevin Akpoguma\Kevin-Akpoguma;de GER;DF;Hoffenheim;24;1995;13;891;69;41.3;9.9;10;86;3;12;10;1.54;18;15;+3;+0.30;+1.08;15.7;17.4;-1.7;-0.18;+0.17;Matches
8;David Alaba\David-Alaba;at AUT;DF;Bayern Munich;27;1992;19;1698;89;78.6;18.9;18;90;1;78;3;2.21;60;19;+41;+2.17;+1.39;48.9;20.2;+28.7;+1.52;+0.13;Matches
9;Lucas Alario\Lucas-Alario;ar ARG;FW;Leverkusen;26;1992;18;908;50;42.0;10.1;9;86;9;14;6;1.72;15;13;+2;+0.20;-0.45;18.1;12.3;+5.8;+0.58;+0.33;Matches
10;Paco Alcácer\Paco-Alcacer;es ESP;FW;Dortmund;25;1993;11;528;48;24.4;5.9;6;78;5;12;3;1.64;13;12;+1;+0.17;-1.65;10.7;7.5;+3.2;+0.55;-0.08;Matches
11;Thiago Alcántara\Thiago-Alcantara;es ESP;MF;Bayern Munich;28;1991;21;1580;75;73.1;17.6;18;85;3;15;1;2.05;51;22;+29;+1.65;-0.83;45.6;20.4;+25.2;+1.43;-0.22;Matches
12;Nadiem Amiri\Nadiem-Amiri;de GER;MFFW;Leverkusen;22;1996;22;1408;64;65.2;15.6;16;82;6;15;2;1.73;24;16;+8;+0.51;+0.15;23.1;18.6;+4.5;+0.29;-0.30;Matches
13;Ethan Ampadu\Ethan-Ampadu;wal WAL;DF;RB Leipzig;18;2000;3;78;26;3.6;0.9;0;;3;26;17;3.00;3;1;+2;+2.31;+0.84;1.5;0.5;+1.0;+1.13;+0.10;Matches
14;Opoku Ampomah\Opoku-Ampomah;gh GHA;FW;Düsseldorf;23;1996;12;498;42;23.1;5.5;5;71;7;21;8;0.50;3;16;-13;-2.35;-1.81;4.6;12.6;-8.0;-1.45;-0.73;Matches
15;Sebastian Andersson\Sebastian-Andersson;se SWE;FW;Union Berlin;28;1991;24;2006;84;92.9;22.3;23;86;1;19;0;1.25;28;35;-7;-0.31;-0.31;27.4;35.7;-8.3;-0.37;+1.27;Matches
16;Robert Andrich\Robert-Andrich;de GER;MF;Union Berlin;24;1994;23;2056;89;95.2;22.8;23;89;0;;0;1.17;29;38;-9;-0.39;-2.12;28.1;38.4;-10.3;-0.45;+0.29;Matches
17;Angeliño\Angelino;es ESP;DF;RB Leipzig;22;1997;4;360;90;16.7;4.0;4;90;0;;0;2.00;9;1;+8;+2.00;+0.60;5.7;3.5;+2.1;+0.54;-0.59;Matches
18;Christopher Antwi-Adjei\Christopher-Antwi-Adjei;gh GHA;MFFW;Paderborn 07;25;1994;25;1689;68;75.1;18.8;19;82;6;23;0;0.64;22;44;-22;-1.17;-0.85;22.1;37.1;-15.0;-0.80;-0.11;Matches
19;Shinta Appelkamp\Shinta-Appelkamp;de GER;MF;Düsseldorf;18;2000;0;;;;;0;;0;;3;;;;;;;;;;;;Matches
20;Charles Aránguiz\Charles-Aranguiz;cl CHI;MF;Leverkusen;30;1989;17;1352;80;62.6;15.0;14;88;3;39;0;1.82;22;13;+9;+0.60;+0.38;22.7;17.3;+5.4;+0.36;-0.09;Matches
21;Maximilian Arnold\Maximilian-Arnold;de GER;MF;Wolfsburg;25;1994;23;1958;85;90.6;21.8;22;89;1;7;0;1.39;30;28;+2;+0.09;-0.80;30.6;22.8;+7.8;+0.36;-0.15;Matches
22;Jann-Fiete Arp\Jann-Fiete-Arp;de GER;FW;Bayern Munich;19;2000;0;;;;;0;;0;;2;;;;;;;;;;;;Matches
23;Santiago Ascacíbar\Santiago-Ascacibar;ar ARG;MF;Hertha BSC;22;1997;6;540;90;25.0;6.0;6;90;0;;0;1.17;5;14;-9;-1.50;-1.11;6.2;10.1;-4.0;-0.66;-0.34;Matches
24;Ludwig Augustinsson\Ludwig-Augustinsson;se SWE;DF;Werder Bremen;25;1994;7;607;87;29.3;6.7;7;87;0;;0;0.43;5;19;-14;-2.08;-1.21;6.0;13.9;-7.8;-1.16;-1.15;Matches
25;Taiwo Awoniyi\Taiwo-Awoniyi;ng NGA;FWMF;Mainz 05;21;1997;6;150;25;6.9;1.7;1;45;5;21;8;0.50;2;5;-3;-1.80;-1.08;2.3;3.7;-1.4;-0.85;-0.55;Matches
26;Kaan Ayhan\Kaan-Ayhan;tr TUR;DF;Düsseldorf;24;1994;23;2013;88;93.2;22.4;23;88;0;;0;0.91;26;43;-17;-0.76;+2.91;22.3;40.2;-17.9;-0.80;+1.26;Matches
27;Ayman Azhil\Ayman-Azhil;de GER;MF;Leverkusen;18;2001;0;;;;;0;;0;;4;;;;;;;;;;;;Matches
28;Ismail Azzaoui\Ismail-Azzaoui;be BEL;FW;Wolfsburg;21;1998;0;;;;;0;;0;;4;;;;;;;;;;;;Matches
29;Matthias Bader\Matthias-Bader;de GER;DF;Köln;22;1997;1;11;11;0.5;0.1;0;;1;11;5;0.00;0;0;0;0.00;+0.21;0.1;0.2;0.0;-0.23;-0.26;Matches
30;Daniel Baier\Daniel-Baier;de GER;MF;Augsburg;35;1984;18;1588;88;73.5;17.6;18;88;0;;1;1.22;28;35;-7;-0.40;+0.70;25.5;27.3;-1.8;-0.10;+0.56;Matches
31;Leon Bailey\Leon-Bailey;jm JAM;FWMF;Leverkusen;21;1997;13;661;51;30.6;7.3;7;69;6;30;1;1.77;15;10;+5;+0.68;+0.32;14.0;8.8;+5.3;+0.72;+0.47;Matches
32;Lewis Baker\Lewis-Baker;eng ENG;MF;Düsseldorf;24;1995;8;548;69;25.4;6.1;7;76;1;14;8;0.50;7;13;-6;-0.99;-0.04;5.0;12.1;-7.0;-1.16;-0.36;Matches
33;Ridle Baku\Ridle-Baku;de GER;MFDF;Mainz 05;21;1998;21;1584;75;73.3;17.6;18;84;3;25;1;1.05;23;42;-19;-1.08;-1.08;23.9;28.6;-4.7;-0.27;+0.25;Matches
