id;name;Nation;Position;Squad;Age;Born;90s;GA;PKA;FK;CK;OG;PSxG;PSxG/SoT;PSxG+/-;/90;Cmp;Att;Cmp%;Att;Thr;Launch%;AvgLen;Att;Launch%;AvgLen;Att;Stp;Stp%;#OPA;#OPA/90;AvgDist;Matches
1;Enrico Alfonso\Enrico-Alfonso;it ITA;GK;Brescia;31;1988;3.1;4;0;0;0;0;2.1;0.19;-1.9;-0.61;11;32;34.4;51;8;45.1;37.0;24;37.5;32.8;20;1;5.0;4;1.29;16.3;Matches
2;Lorenzo Andrenacci\Lorenzo-Andrenacci;it ITA;GK;Brescia;24;1995;0.9;2;0;1;0;0;2.3;0.29;+0.3;+0.37;8;21;38.1;18;8;55.6;43.8;14;78.6;54.7;10;0;0.0;0;0.00;11.0;Matches
3;Emil Audero\Emil-Audero;it ITA;GK;Sampdoria;22;1997;24.0;43;4;0;8;2;35.6;0.33;-5.4;-0.23;117;352;33.2;478;89;50.2;41.6;183;61.2;45.4;187;16;8.6;16;0.67;14.4;Matches
4;Asmir Begović\Asmir-Begovic;ba BIH;GK;Milan;32;1987;0.4;1;1;0;0;0;1.6;0.53;+0.6;+1.40;3;9;33.3;8;1;75.0;48.1;4;75.0;52.5;1;0;0.0;0;0.00;;Matches
5;Etrit Berisha\Etrit-Berisha;al ALB;GK;SPAL;30;1989;25.0;41;6;1;2;2;43.5;0.32;+1.5;+0.06;194;426;45.5;628;129;46.0;37.5;224;61.2;46.3;184;14;7.6;14;0.56;13.7;Matches
6;Gianluigi Buffon\Gianluigi-Buffon;it ITA;GK;Juventus;41;1978;7.0;7;0;0;2;0;5.4;0.25;-1.6;-0.22;18;29;62.1;123;26;16.3;25.6;42;21.4;24.1;41;0;0.0;5;0.71;16.2;Matches
7;Simone Colombi\Simone-Colombi;it ITA;GK;Parma;28;1991;3.0;3;0;0;0;0;4.1;0.26;+1.1;+0.37;10;20;50.0;41;13;29.3;32.3;34;23.5;26.6;17;0;0.0;0;0.00;9.2;Matches
8;Andrea Consigli\Andrea-Consigli;it ITA;GK;Sassuolo;32;1987;19.0;33;5;1;5;2;31.5;0.36;+0.5;+0.03;79;203;38.9;464;96;34.5;32.4;126;34.1;30.3;123;14;11.4;10;0.53;14.2;Matches
9;Angelo da Costa Júnior\Angelo-da-Costa-Junior;br BRA;GK;Bologna;35;1983;1.0;1;0;0;0;0;0.5;0.26;-0.5;-0.48;2;4;50.0;24;4;16.7;28.1;4;0.0;17.5;2;0;0.0;1;1.00;18.8;Matches
10;Alessio Cragno\Alessio-Cragno;it ITA;GK;Cagliari;25;1994;4.0;5;0;0;0;0;6.1;0.34;+1.1;+0.27;25;60;41.7;90;13;53.3;40.1;42;28.6;28.7;23;2;8.7;0;0.00;6.1;Matches
11;Antonio Donnarumma\Antonio-Donnarumma;it ITA;GK;Milan;29;1990;0.0;0;0;;;;;;;;;;;;;;;;;;;;;;;;Matches
12;Gianluigi Donnarumma\Gianluigi-Donnarumma;it ITA;GK;Milan;20;1999;23.6;30;2;0;4;1;30.7;0.31;+1.7;+0.07;142;318;44.7;544;120;40.1;35.2;180;55.6;41.5;148;15;10.1;19;0.81;15.9;Matches
13;Bartłomiej Drągowski\Bartlomiej-Dragowski;pl POL;GK;Fiorentina;21;1997;25.0;36;3;2;5;0;34.5;0.32;-1.5;-0.06;114;319;35.7;554;156;41.5;37.5;178;50.0;42.5;171;12;7.0;12;0.48;12.6;Matches
14;Gabriel\Gabriel;br BRA;GK;Lecce;26;1992;21.3;47;6;0;8;1;49.2;0.38;+3.2;+0.15;109;261;41.8;424;127;40.6;37.1;225;39.6;34.5;198;15;7.6;7;0.33;13.2;Matches
15;Pierluigi Gollini\Pierluigi-Gollini;it ITA;GK;Atalanta;24;1995;22.0;31;4;0;2;2;25.8;0.35;-3.2;-0.15;121;282;42.9;520;121;35.4;36.7;148;66.2;51.7;117;8;6.8;22;1.00;15.2;Matches
16;Samir Handanović\Samir-Handanovic;si SVN;GK;Inter;35;1984;21.0;18;1;0;1;1;18.9;0.26;+1.9;+0.09;88;177;49.7;461;133;25.8;30.0;167;34.7;32.9;176;12;6.8;3;0.14;11.2;Matches
17;Jesse Joronen\Jesse-Joronen;fi FIN;GK;Brescia;26;1993;21.0;40;6;0;8;2;39.5;0.35;+1.5;+0.07;112;306;36.6;394;109;51.5;42.4;198;52.0;43.2;181;12;6.6;6;0.29;13.1;Matches
18;Pau López\Pau-Lopez;es ESP;GK;Roma;24;1994;25.0;35;6;1;2;0;35.5;0.35;+0.5;+0.02;143;304;47.0;692;152;34.1;33.7;169;40.2;37.0;142;9;6.3;19;0.76;14.6;Matches
19;Federico Marchetti\Federico-Marchetti;it ITA;GK;Genoa;36;1983;0.0;0;0;;;;;;;;;;;;;;;;;;;;;;;;Matches
20;Alex Meret\Alex-Meret;it ITA;GK;Napoli;22;1997;15.0;23;3;0;2;1;19.5;0.34;-2.5;-0.16;39;102;38.2;300;69;27.3;29.5;105;19.0;25.2;83;6;7.2;4;0.27;11.9;Matches
21;Antonio Mirante\Antonio-Mirante;it ITA;GK;Roma;36;1983;1.0;0;0;0;0;0;0.6;0.31;+0.6;+0.62;9;17;52.9;39;8;41.0;36.1;8;12.5;25.0;12;0;0.0;0;0.00;11.3;Matches
22;Juan Musso\Juan-Musso;ar ARG;GK;Udinese;25;1994;25.0;37;7;1;6;0;39.4;0.36;+2.4;+0.10;150;352;42.6;515;94;46.2;37.7;244;46.7;38.2;163;20;12.3;10;0.40;12.8;Matches
