;;;;;;;Playing Time;Playing Time;Playing Time;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Penalty Kicks;Penalty Kicks;Penalty Kicks;Penalty Kicks;
Rk;Player;Nation;Pos;Squad;Age;Born;MP;Starts;Min;GA;GA90;SoTA;Saves;Save%;W;D;L;CS;CS%;PKatt;PKA;PKsv;PKm;Matches
1;Enrico Alfonso\Enrico-Alfonso;it ITA;GK;Brescia;31;1988;4;4;280;4;1.29;11;7;.636;1;0;3;1;25.0;0;0;0;0;Matches
2;Lorenzo Andrenacci\Lorenzo-Andrenacci;it ITA;GK;Brescia;24;1995;1;0;80;2;2.25;8;5;.750;0;0;0;0;;0;0;0;0;Matches
3;Emil Audero\Emil-Audero;it ITA;GK;Sampdoria;22;1997;24;24;2160;43;1.79;108;70;.639;6;5;13;7;29.2;4;4;0;0;Matches
4;Asmir Begović\Asmir-Begovic;ba BIH;GK;Milan;32;1987;1;0;38;1;2.37;3;3;1.000;0;0;0;0;;1;1;0;0;Matches
5;Etrit Berisha\Etrit-Berisha;al ALB;GK;SPAL;30;1989;25;25;2250;41;1.64;141;105;.752;4;3;18;2;8.0;6;6;0;0;Matches
6;Gianluigi Buffon\Gianluigi-Buffon;it ITA;GK;Juventus;41;1978;7;7;630;7;1.00;22;15;.682;6;1;0;1;14.3;1;0;0;1;Matches
7;Simone Colombi\Simone-Colombi;it ITA;GK;Parma;28;1991;3;3;270;3;1.00;16;13;.813;1;1;1;1;33.3;1;0;0;1;Matches
8;Andrea Consigli\Andrea-Consigli;it ITA;GK;Sassuolo;32;1987;19;19;1710;33;1.74;93;65;.699;7;2;10;3;15.8;6;5;1;0;Matches
9;Angelo da Costa Júnior\Angelo-da-Costa-Junior;br BRA;GK;Bologna;35;1983;1;1;90;1;1.00;2;1;.500;0;1;0;0;0.0;0;0;0;0;Matches
10;Alessio Cragno\Alessio-Cragno;it ITA;GK;Cagliari;25;1994;4;4;360;5;1.25;18;13;.722;0;2;2;0;0.0;0;0;0;0;Matches
11;Antonio Donnarumma\Antonio-Donnarumma;it ITA;GK;Milan;29;1990;1;0;;0;;;;;0;0;0;0;;0;0;0;0;Matches
12;Gianluigi Donnarumma\Gianluigi-Donnarumma;it ITA;GK;Milan;20;1999;24;24;2122;30;1.27;100;73;.720;9;6;9;9;37.5;4;2;2;0;Matches
13;Bartłomiej Drągowski\Bartlomiej-Dragowski;pl POL;GK;Fiorentina;21;1997;25;25;2250;36;1.44;109;76;.697;7;8;10;6;24.0;5;3;2;0;Matches
14;Gabriel\Gabriel;br BRA;GK;Lecce;26;1992;22;22;1918;47;2.21;136;95;.699;3;7;12;1;4.5;7;6;1;0;Matches
15;Pierluigi Gollini\Pierluigi-Gollini;it ITA;GK;Atalanta;24;1995;22;22;1980;31;1.41;73;47;.630;12;6;4;5;22.7;4;4;0;0;Matches
16;Samir Handanović\Samir-Handanovic;si SVN;GK;Inter;35;1984;21;21;1890;18;0.86;72;56;.764;14;6;1;7;33.3;2;1;1;0;Matches
17;Jesse Joronen\Jesse-Joronen;fi FIN;GK;Brescia;26;1993;21;21;1890;40;1.90;114;80;.702;3;4;14;4;19.0;7;6;1;0;Matches
18;Pau López\Pau-Lopez;es ESP;GK;Roma;24;1994;25;25;2250;35;1.40;102;71;.716;13;5;7;5;20.0;7;6;1;0;Matches
19;Federico Marchetti\Federico-Marchetti;it ITA;GK;Genoa;36;1983;1;0;;0;;;;;0;0;0;0;;0;0;0;0;Matches
