Squad;# Pl;CrdY;CrdR;2CrdY;Fls;Fld;Off;Crs;TklW;Int;PKwon;PKcon;OG;Succ;Att;Succ%;#Pl;Megs;Tkl;Cont;Tkl%;Past
Atalanta,24,55,2,1,340,351,36,513,314,258,7,4,1,285,479,59.5,308,20,475,810,58.6,335
Bologna,27,88,6,3,403,391,54,534,289,280,5,6,1,280,492,56.9,307,14,435,766,56.8,331
Brescia,31,68,6,3,342,412,59,412,260,240,1,6,2,236,381,61.9,249,12,432,738,58.5,306
Cagliari,29,74,3,1,363,288,37,521,266,216,2,6,2,247,377,65.5,259,9,425,727,58.5,302
Fiorentina,28,70,3,2,379,347,36,529,297,238,5,4,0,314,476,66.0,334,12,471,791,59.5,320
Genoa,35,82,8,4,408,362,37,518,274,259,8,8,2,258,438,58.9,281,15,435,745,58.4,310
Hellas Verona,27,65,5,2,380,333,65,457,250,249,4,5,0,252,422,59.7,271,18,394,638,61.8,244
Inter,28,67,3,1,375,277,64,508,245,241,6,3,1,218,347,62.8,236,6,387,688,56.3,301
Juventus,23,58,2,1,351,334,50,484,258,249,7,8,0,309,479,64.5,329,13,416,674,61.7,258
Lazio,23,69,1,1,311,272,47,492,298,276,9,2,1,286,456,62.7,314,15,468,808,57.9,340
Lecce,29,74,4,2,347,359,41,464,278,259,6,8,1,223,357,62.5,238,13,417,753,55.4,336
Milan,30,75,5,1,376,335,40,515,293,292,2,5,1,339,523,64.8,357,18,462,771,59.9,309
Napoli,25,58,2,0,304,359,41,627,285,231,1,5,1,286,463,61.8,303,29,429,709,60.5,280
Parma,24,56,0,0,355,293,41,399,287,257,0,4,0,246,425,57.9,267,20,454,801,56.7,347
Roma,28,81,6,4,369,306,34,565,238,297,2,6,0,309,490,63.1,334,23,377,614,61.4,237
Sampdoria,28,77,5,3,374,304,47,534,298,247,7,4,3,228,376,60.6,238,18,480,799,60.1,319
Sassuolo,28,68,2,0,334,373,44,385,268,235,1,7,3,366,553,66.2,390,21,437,683,64.0,246
SPAL,27,77,2,1,391,371,42,512,229,256,7,6,2,271,408,66.4,283,11,395,664,59.5,269
Torino,23,70,7,5,411,360,49,490,279,331,2,8,1,349,560,62.3,367,9,454,727,62.4,273
Udinese,23,58,3,2,354,298,45,506,282,250,0,7,0,278,451,61.6,295,13,452,746,60.6,294
