"id";"name";"nation";"position";"team";"age";"born";"90s";"Ast";"xA";"A-xA";"KP";"Cmp";"Att";"CmpPER";"shortCmp";"shortAtt";"shortCmpPER";"mediumCmp";"mediumAtt";"mediumCmpPER";"longCmp";"longAtt";"longCmpPER";"Left";"Right";"FK";"TB";"CK";"TI";"1/3";"PPA";"CrsPA";"Matches"
1;Francesco Acerbi\Francesco-Acerbi;it ITA;DF;Lazio;31;1988;23.5;2;1.2;+0.8;6;1193;1310;91.1;10;21;47.6;751;792;94.8;432;497;86.9;1019;213;43;2;0;9;81;9;2;Matches
2;Bobby Adekanye\Bobby-Adekanye;nl NED;FW;Lazio;20;1999;0.9;0;0.0;0.0;0;15;17;88.2;0;0;;13;15;86.7;2;2;100.0;17;0;0;0;0;0;1;0;0;Matches
3;Claud Adjapong\Claud-Adjapong;it ITA;DF;Hellas Verona;21;1998;0.0;0;0.0;0.0;0;0;0;;0;0;;0;0;;0;0;;0;0;0;0;0;0;0;0;0;Matches
4;Lucien Agoume\Lucien-Agoume;fr FRA;MF;Inter;17;2002;0.1;0;0.0;0.0;0;1;2;50.0;0;0;;0;1;0.0;1;1;100.0;0;2;0;0;0;0;0;0;0;Matches
5;Kevin Agudelo\Kevin-Agudelo;co COL;DF;Fiorentina;20;1998;0.0;0;0.0;0.0;0;0;1;0.0;0;0;;0;1;0.0;0;0;;0;0;0;0;0;0;0;0;0;Matches
6;Kevin Agudelo\Kevin-Agudelo;co COL;MFFW;Genoa;20;1998;7.4;1;1.4;-0.4;11;245;301;81.4;9;22;40.9;202;230;87.8;34;49;69.4;241;38;1;1;4;1;20;4;0;Matches
7;Emmanuel Agyemang-Badu\Emmanuel-Agyemang-Badu;gh GHA;FWMF;Hellas Verona;28;1990;0.1;0;0.0;0.0;0;7;8;87.5;1;1;100.0;4;5;80.0;2;2;100.0;1;6;0;0;0;0;0;0;0;Matches
8;Ola Aina\Ola-Aina;ng NGA;DF;Torino;22;1996;16.2;1;1.3;-0.3;16;615;842;73.0;11;36;30.6;484;566;85.5;120;240;50.0;175;455;9;2;4;170;46;13;4;Matches
9;Luis Alberto\Luis-Alberto;es ESP;MF;Lazio;26;1992;23.9;12;7.6;+4.4;72;1298;1598;81.2;32;65;49.2;1000;1120;89.3;266;413;64.4;61;1486;43;11;101;16;166;65;4;Matches
10;Enrico Alfonso\Enrico-Alfonso;it ITA;GK;Brescia;31;1988;3.1;0;0.0;0.0;0;53;75;70.7;0;0;;24;24;100.0;29;51;56.9;4;60;13;0;0;0;0;0;0;Matches
11;Allan\Allan;br BRA;MF;Napoli;28;1991;12.2;1;1.2;-0.2;14;629;724;86.9;11;29;37.9;476;515;92.4;142;180;78.9;64;625;17;3;0;15;71;6;1;Matches
12;Bruno Alves\Bruno-Alves;pt POR;DF;Parma;37;1981;19.1;0;0.2;-0.2;5;701;844;83.1;5;11;45.5;313;360;86.9;383;473;81.0;126;628;57;0;0;2;46;5;1;Matches
13;Sofyan Amrabat\Sofyan-Amrabat;ma MAR;MF;Hellas Verona;22;1996;20.7;0;1.1;-1.1;17;881;1022;86.2;16;30;53.3;622;700;88.9;243;292;83.2;88;859;47;3;0;7;72;18;5;Matches
14;Lorenzo Andrenacci\Lorenzo-Andrenacci;it ITA;GK;Brescia;24;1995;0.9;0;0.0;0.0;0;19;32;59.4;0;0;;3;3;100.0;16;29;55.2;1;23;5;0;0;0;0;0;0;Matches
15;Peter Ankersen\Peter-Ankersen;dk DEN;DF;Genoa;28;1990;9.4;1;0.8;+0.2;8;446;539;82.7;6;19;31.6;380;420;90.5;60;100;60.0;62;395;7;0;0;60;16;8;2;Matches
16;Cristian Ansaldi\Cristian-Ansaldi;ar ARG;DFMF;Torino;32;1986;13.1;3;1.9;+1.1;18;399;555;71.9;4;27;14.8;281;322;87.3;114;206;55.3;194;250;13;0;7;94;35;30;23;Matches
17;Mirko Antonucci\Mirko-Antonucci;it ITA;FWMF;Roma;20;1999;0.9;0;0.0;0.0;0;17;22;77.3;0;0;;17;21;81.0;0;1;0.0;3;18;0;0;0;0;2;0;0;Matches
