Squad;# Pl;Ast;xA;A-xA;KP;Cmp;Att;CmpPER;shortCmp;shortAtt;shortCmpPER;mediumCmp;mediumAtt;mediumCmpPER;longCmp;longAtt;longCmpPER;Left;Right;FK;TB;CK;TI;1/3;PPA;CrsPA
Atalanta;24;49;38.9;+10.1;366;11645;14004;83.2;199;506;39.3;8968;9972;89.9;2478;3526;70.3;4458;8226;390;35;174;479;803;282;49
Bologna;27;23;26.4;-3.4;277;9974;12523;79.6;176;471;37.4;7359;8403;87.6;2439;3649;66.8;3168;7811;432;28;156;515;836;206;45
Brescia;31;14;17.6;-3.6;181;7255;9788;74.1;145;478;30.3;5328;6330;84.2;1782;2980;59.8;2204;6204;457;11;108;544;537;161;38
Cagliari;29;25;20.0;+5.0;229;9106;11480;79.3;148;400;37.0;6453;7339;87.9;2505;3741;67.0;2829;7316;369;23;101;526;624;137;39
Fiorentina;28;17;23.7;-6.7;283;9135;11485;79.5;187;462;40.5;6608;7498;88.1;2340;3525;66.4;2675;7569;399;14;155;468;699;179;48
Genoa;35;21;19.3;+1.7;206;9915;12406;79.9;176;489;36.0;7384;8336;88.6;2355;3581;65.8;3064;7940;396;16;120;545;638;188;56
Hellas Verona;27;14;21.9;-7.9;211;8446;11167;75.6;204;514;39.7;6195;7276;85.1;2047;3377;60.6;2890;6804;391;19;133;497;647;180;35
Inter;28;33;26.4;+6.6;294;11278;13526;83.4;185;475;38.9;8166;9082;89.9;2927;3969;73.7;3354;8945;295;22;152;433;829;214;42
Juventus;23;32;30.7;+1.3;329;14010;16158;86.7;320;624;51.3;10874;11788;92.2;2816;3746;75.2;5418;9455;351;40;160;505;1061;238;41
Lazio;23;37;31.4;+5.6;305;11067;13257;83.5;287;569;50.4;8023;8955;89.6;2757;3733;73.9;3456;8630;303;47;146;404;845;270;56
Lecce;29;19;20.2;-1.2;252;8859;11197;79.1;167;439;38.0;6251;7144;87.5;2441;3614;67.5;3565;6436;417;10;116;420;532;191;49
Milan;30;14;25.4;-11.4;312;11410;13875;82.2;206;497;41.4;8515;9589;88.8;2689;3789;71.0;5688;6726;412;23;144;544;902;240;57
Napoli;25;29;32.4;-3.4;365;14221;16520;86.1;238;567;42.0;11089;12054;92.0;2894;3899;74.2;5359;9950;415;33;159;506;1102;283;50
Parma;24;24;18.9;+5.1;207;7558;9817;77.0;153;388;39.4;5070;5944;85.3;2335;3485;67.0;2988;5521;335;19;124;503;568;133;27
Roma;28;30;32.4;-2.4;322;11004;13324;82.6;131;439;29.8;7899;8844;89.3;2974;4041;73.6;3483;8537;382;40;186;469;789;213;38
Sampdoria;28;14;18.8;-4.8;253;7698;10223;75.3;173;437;39.6;5660;6592;85.9;1865;3194;58.4;3714;5149;375;12;120;502;619;163;48
Sassuolo;28;33;24.6;+8.4;260;12128;14198;85.4;195;455;42.9;9897;10831;91.4;2036;2912;69.9;4481;8614;415;38;137;468;773;202;21
SPAL;27;11;16.8;-5.8;236;8994;11373;79.1;142;419;33.9;6732;7607;88.5;2120;3347;63.3;3290;6610;431;11;118;514;613;137;44
Torino;23;19;16.3;+2.7;198;7983;10404;76.7;150;421;35.6;5694;6629;85.9;2139;3354;63.8;2075;6920;409;14;119;506;529;155;55
Udinese;23;14;21.0;-7.0;258;8825;11244;78.5;196;497;39.4;6539;7441;87.9;2090;3306;63.2;3467;6502;338;13;132;451;609;176;59
