"id";"name";"nation";"position";"Squad";"age";"born";"90s";"Gls";"PK";"PKatt";"Sh";"SoT";"FK";"SoT%";"Sh/90";"SoT/90";"G/Sh";"G/SoT";"xG";"npxG";"npxG/Sh";"G-xG";"np:G-xG";"Matches"
1;Francesco Acerbi\Francesco-Acerbi;it ITA;DF;Lazio;31;1988;23.5;2;0;0;12;6;0;50.0;0.51;0.26;0.17;0.33;1.5;1.5;0.13;+0.5;+0.5;Matches
2;Bobby Adekanye\Bobby-Adekanye;nl NED;FW;Lazio;20;1999;0.9;1;0;0;2;2;0;100.0;2.34;2.34;0.50;0.50;1.0;1.0;0.52;0.0;0.0;Matches
3;Claud Adjapong\Claud-Adjapong;it ITA;DF;Hellas Verona;21;1998;0.0;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
4;Lucien Agoume\Lucien-Agoume;fr FRA;MF;Inter;17;2002;0.1;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
5;Kevin Agudelo\Kevin-Agudelo;co COL;DF;Fiorentina;20;1998;0.0;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
6;Kevin Agudelo\Kevin-Agudelo;co COL;MFFW;Genoa;20;1998;7.4;1;0;0;10;2;0;20.0;1.35;0.27;0.10;0.50;1.0;1.0;0.10;0.0;0.0;Matches
7;Emmanuel Agyemang-Badu\Emmanuel-Agyemang-Badu;gh GHA;FWMF;Hellas Verona;28;1990;0.1;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
8;Ola Aina\Ola-Aina;ng NGA;DF;Torino;22;1996;16.2;0;0;0;8;2;0;25.0;0.49;0.12;0.00;0.00;0.2;0.2;0.03;-0.2;-0.2;Matches
9;Luis Alberto\Luis-Alberto;es ESP;MF;Lazio;26;1992;23.9;4;1;1;72;21;9;29.2;3.01;0.88;0.04;0.14;5.2;4.4;0.06;-1.2;-1.4;Matches
10;Enrico Alfonso\Enrico-Alfonso;it ITA;GK;Brescia;31;1988;3.1;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
11;Allan\Allan;br BRA;MF;Napoli;28;1991;12.2;1;0;0;10;5;0;50.0;0.82;0.41;0.10;0.20;0.5;0.5;0.05;+0.5;+0.5;Matches
