"id";"name";"nation";"position";"Squad";"age";"born";"MP";"Starts";"Min";"Gls";"Ast";"PK";"PKatt";"CrdY";"CrdR";"Gls_per_match";"Ast_per_match";"G_A_per_match";"G_PK_per_match";"G_A_PK_per_match";"xG";"npxG";"xA";"xG_per_match";"xA_per_match";"xG_xA";"npxG_per_match";"npxG_xA";"Matches"
1;Francesco Acerbi\Francesco-Acerbi;it ITA;DF;Lazio;31;1988;24;24;2116;2;2;0;0;4;0;0.09;0.09;0.17;0.09;0.17;1.5;1.5;1.2;0.07;0.05;0.12;0.07;0.12;Matches
2;Bobby Adekanye\Bobby-Adekanye;nl NED;FW;Lazio;20;1999;3;0;77;1;0;0;0;1;0;1.17;0.00;1.17;1.17;1.17;1.0;1.0;0.0;1.21;0.00;1.21;1.21;1.21;Matches
3;Claud Adjapong\Claud-Adjapong;it ITA;DF;Hellas Verona;21;1998;1;0;3;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches
4;Lucien Agoume\Lucien-Agoume;fr FRA;MF;Inter;17;2002;1;0;6;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches
5;Kevin Agudelo\Kevin-Agudelo;co COL;DF;Fiorentina;20;1998;1;0;1;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches
6;Kevin Agudelo\Kevin-Agudelo;co COL;MFFW;Genoa;20;1998;10;7;666;1;1;0;0;5;1;0.14;0.14;0.27;0.14;0.27;1.0;1.0;1.4;0.13;0.18;0.32;0.13;0.32;Matches
7;Emmanuel Agyemang-Badu\Emmanuel-Agyemang-Badu;gh GHA;FWMF;Hellas Verona;28;1990;3;0;12;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches
8;Ola Aina\Ola-Aina;ng NGA;DF;Torino;22;1996;20;15;1457;0;1;0;0;6;0;0.00;0.06;0.06;0.00;0.06;0.2;0.2;1.3;0.01;0.08;0.09;0.01;0.09;Matches
9;Luis Alberto\Luis-Alberto;es ESP;MF;Lazio;26;1992;25;25;2153;4;12;1;1;4;0;0.17;0.50;0.67;0.13;0.63;5.2;4.4;7.6;0.22;0.32;0.54;0.18;0.50;Matches
10;Enrico Alfonso\Enrico-Alfonso;it ITA;GK;Brescia;31;1988;4;4;280;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches
