Squad;# Pl;MP;Starts;Min;Gls;Ast;PK;PKatt;CrdY;CrdR;GlsPerM;AstPerM;G+A;G-PK;G+A-PK;xG;npxG;xA;xGPerM;xAPerM;xG+xA;npxGPerM;npxG+xA
Atalanta;24;25;275;2250;69;49;6;8;55;2;2.76;1.96;4.72;2.52;4.48;61.4;55.3;38.9;2.46;1.56;4.01;2.21;3.77
Bologna;27;26;286;2340;34;23;4;5;88;6;1.31;0.88;2.19;1.15;2.04;39.6;35.8;26.4;1.52;1.02;2.54;1.38;2.39
Brescia;30;25;275;2250;21;14;2;2;65;6;0.84;0.56;1.40;0.76;1.32;29.5;27.9;17.2;1.18;0.69;1.87;1.12;1.81
Cagliari;29;25;275;2250;39;25;3;5;74;3;1.56;1.00;2.56;1.44;2.44;28.8;24.9;20.0;1.15;0.80;1.95;1.00;1.80
Fiorentina;28;25;275;2250;31;17;6;7;70;3;1.24;0.68;1.92;1.00;1.68;35.7;30.8;23.5;1.43;0.94;2.37;1.23;2.17
Genoa;35;25;275;2250;29;19;7;9;82;7;1.16;0.76;1.92;0.88;1.64;31.9;25.1;18.0;1.28;0.72;2.00;1.00;1.72
Hellas Verona;27;24;264;2160;27;14;5;6;62;5;1.13;0.58;1.71;0.92;1.50;32.3;27.8;20.7;1.35;0.86;2.21;1.16;2.02
Inter;28;24;264;2160;49;33;7;7;64;2;2.04;1.38;3.42;1.75;3.13;43.5;38.2;26.0;1.81;1.08;2.90;1.59;2.68
Juventus;23;25;275;2250;46;30;8;8;57;2;1.84;1.20;3.04;1.52;2.72;46.2;40.2;29.7;1.85;1.19;3.04;1.61;2.80
Lazio;23;26;286;2340;59;37;11;13;69;1;2.27;1.42;3.69;1.85;3.27;50.3;40.7;31.4;1.94;1.21;3.14;1.56;2.77
Lecce;29;26;286;2340;34;19;7;9;74;4;1.31;0.73;2.04;1.04;1.77;32.7;26.2;20.2;1.26;0.78;2.03;1.01;1.79
Milan;30;25;275;2250;26;14;4;4;75;5;1.04;0.56;1.60;0.88;1.44;33.6;30.6;24.1;1.34;0.96;2.31;1.22;2.19
Napoli;25;26;286;2340;40;29;3;3;58;2;1.54;1.12;2.65;1.42;2.54;43.0;40.7;32.4;1.65;1.25;2.90;1.57;2.81
Parma;24;24;264;2160;31;24;0;2;54;0;1.29;1.00;2.29;1.29;2.29;26.9;25.4;18.1;1.12;0.75;1.87;1.06;1.81
Roma;28;26;286;2340;47;30;7;9;81;6;1.81;1.15;2.96;1.54;2.69;50.6;44.0;32.3;1.94;1.24;3.19;1.69;2.93
Sampdoria;27;24;264;2160;26;13;6;7;73;5;1.08;0.54;1.63;0.83;1.38;32.3;27.0;18.2;1.35;0.76;2.11;1.13;1.89
Sassuolo;28;24;264;2160;38;30;1;2;65;2;1.58;1.25;2.83;1.54;2.79;32.1;30.6;22.5;1.34;0.94;2.27;1.27;2.21
SPAL;27;25;275;2250;19;11;4;6;76;2;0.76;0.44;1.20;0.60;1.04;30.1;25.6;16.6;1.21;0.66;1.87;1.02;1.69
Torino;23;25;275;2250;27;19;5;5;70;7;1.08;0.76;1.84;0.88;1.64;26.4;22.9;16.3;1.06;0.65;1.71;0.92;1.57
Udinese;23;25;275;2250;21;14;0;0;56;3;0.84;0.56;1.40;0.84;1.40;27.1;27.1;20.4;1.08;0.82;1.90;1.08;1.90
