Squad;# Pl;MP;Starts;Min;GA;GA90;SoTA;Saves;Save%;W;D;L;CS;CS%;PKatt;PKA;PKsv;PKm
Atalanta;2;25;25;2250;34;1.36;86;57;.651;14;6;5;6;24.0;4;4;0;0
Bologna;2;26;26;2340;42;1.62;109;73;.661;9;7;10;2;7.7;6;5;0;1
Brescia;3;25;25;2250;46;1.84;133;92;.699;4;4;17;5;20.0;7;6;1;0
Cagliari;3;25;25;2247;40;1.60;113;79;.699;8;8;9;3;12.0;7;6;0;1
Fiorentina;1;25;25;2250;36;1.44;109;76;.697;7;8;10;6;24.0;5;3;2;0
Genoa;3;25;25;2250;46;1.84;127;90;.693;5;7;13;5;20.0;8;7;0;1
Hellas Verona;1;24;24;2160;24;1.00;93;72;.796;9;8;7;9;37.5;5;5;0;0
Inter;2;24;24;2160;22;0.92;78;59;.744;16;6;2;8;33.3;3;2;1;0
Juventus;2;25;25;2250;24;0.96;99;80;.808;19;3;3;8;32.0;8;5;1;2
Lazio;1;26;26;2340;23;0.88;100;80;.790;19;5;2;9;34.6;3;2;1;0
Lecce;2;26;26;2340;56;2.15;163;114;.699;6;7;13;2;7.7;8;7;1;0
Milan;4;25;25;2250;32;1.28;108;80;.731;10;6;9;9;36.0;6;3;3;0
Napoli;2;26;26;2340;36;1.38;98;64;.673;11;6;9;5;19.2;5;4;1;0
Parma;2;24;24;2160;30;1.25;133;103;.782;10;5;9;6;25.0;3;1;1;1
Roma;2;26;26;2340;35;1.35;104;73;.721;13;6;7;6;23.1;7;6;1;0
Sampdoria;1;24;24;2160;43;1.79;108;70;.639;6;5;13;7;29.2;4;4;0;0
Sassuolo;3;24;24;2160;39;1.62;124;92;.734;8;5;11;5;20.8;7;6;1;0
SPAL;1;25;25;2250;41;1.64;141;105;.752;4;3;18;2;8.0;6;6;0;0
Torino;1;25;25;2250;45;1.80;136;97;.721;8;3;14;5;20.0;8;7;1;0
Udinese;1;25;25;2250;37;1.48;111;79;.730;7;6;12;8;32.0;8;7;1;0
