"id";"name";"nation";"position";"Squad";"age";"born";"MP";"Min";"Mn/MP";"Min%";"90s";"Starts";"Mn/Start";"Subs";"Mn/Sub";"unSub";"PPM";"onG";"onGA";"+/-";"+/-90";"On-Off";"onxG";"onxGA";"xG+/-";"xG+/-90";"On-Off-ex";"Matches"
1;Francesco Acerbi\Francesco-Acerbi;it ITA;DF;Lazio;31;1988;24;2116;88;90.4;23.5;24;88;0;;1;2.33;55;20;+35;+1.49;+0.69;45.9;27.0;+18.9;+0.80;+0.48;Matches
2;Bobby Adekanye\Bobby-Adekanye;nl NED;FW;Lazio;20;1999;3;77;26;3.3;0.9;0;;3;26;20;3.00;2;2;0;0.00;-1.47;2.6;0.7;+1.8;+2.12;+1.41;Matches
3;Claud Adjapong\Claud-Adjapong;it ITA;DF;Hellas Verona;21;1998;1;3;3;0.1;0.0;0;;1;3;23;0.00;0;1;-1;-30.00;-30.21;0.0;0.4;-0.4;-13.06;-13.10;Matches
4;Andrea Adorante\Andrea-Adorante;it ITA;FW;Parma;19;2000;0;;;;;0;;0;;6;;;;;;;;;;;;Matches
5;Lucien Agoume\Lucien-Agoume;fr FRA;MF;Inter;17;2002;1;6;6;0.3;0.1;0;;1;6;10;1.00;0;1;-1;-15.00;-16.17;0.0;0.1;-0.1;-1.44;-2.18;Matches
6;Kevin Agudelo\Kevin-Agudelo;co COL;DF;Fiorentina;20;1998;1;1;1;0.0;0.0;0;;1;1;3;0.00;0;1;-1;-90.00;-89.88;0.0;0.6;-0.6;-49.79;-49.91;Matches
7;Kevin Agudelo\Kevin-Agudelo;co COL;MFFW;Genoa;20;1998;10;666;67;29.6;7.4;7;86;3;21;5;0.60;8;11;-3;-0.41;+0.39;8.4;11.3;-3.0;-0.40;-0.01;Matches
8;Emmanuel Agyemang-Badu\Emmanuel-Agyemang-Badu;gh GHA;FWMF;Hellas Verona;28;1990;3;12;4;0.6;0.1;0;;3;4;2;3.00;1;0;+1;+7.50;+7.37;0.4;0.4;0.0;-0.08;-0.09;Matches
9;Ola Aina\Ola-Aina;ng NGA;DF;Torino;22;1996;20;1457;73;64.8;16.2;15;86;5;34;4;1.20;25;26;-1;-0.06;+1.75;20.3;26.5;-6.2;-0.38;+1.12;Matches
10;Fabrizio Alastra\Fabrizio-Alastra;it ITA;GK;Parma;21;1997;0;;;;;0;;0;;20;;;;;;;;;;;;Matches
11;Luis Alberto\Luis-Alberto;es ESP;MF;Lazio;26;1992;25;2153;86;92.0;23.9;25;86;0;;0;2.36;57;22;+35;+1.46;+0.50;46.3;28.6;+17.7;+0.74;-0.20;Matches
12;Enrico Alfonso\Enrico-Alfonso;it ITA;GK;Brescia;31;1988;4;280;70;12.4;3.1;4;70;0;;19;0.75;4;4;0;0.00;+1.10;7.6;2.8;+4.8;+1.54;+2.57;Matches
13;Marco Alia\Marco-Alia;al ALB;GK;Lazio;19;2000;0;;;;;0;;0;;2;;;;;;;;;;;;Matches
14;Allan\Allan;br BRA;MF;Napoli;28;1991;16;1094;68;46.8;12.2;14;77;2;7;3;1.38;16;18;-2;-0.16;-0.67;19.2;13.5;+5.7;+0.47;-0.11;Matches
15;Samuel Almeida Costa\Samuel-Almeida-Costa;it ITA;FW;Lecce;18;2000;0;;;;;0;;0;;4;;;;;;;;;;;;Matches
16;Bruno Alves\Bruno-Alves;pt POR;DF;Parma;37;1981;20;1716;86;79.4;19.1;19;90;1;6;0;1.50;23;25;-2;-0.10;-0.92;19.9;30.6;-10.7;-0.56;-0.62;Matches
17;Sofyan Amrabat\Sofyan-Amrabat;ma MAR;MF;Hellas Verona;22;1996;22;1865;85;86.3;20.7;21;87;1;41;0;1.41;22;23;-1;-0.05;-1.57;26.4;27.0;-0.6;-0.03;-0.32;Matches
18;Djavan Anderson\Djavan-Anderson;nl NED;MF;Lazio;24;1995;0;;;;;0;;0;;6;;;;;;;;;;;;Matches
19;Nícolas Andrade\Nicolas-Andrade;br BRA;GK;Udinese;31;1988;0;;;;;0;;0;;25;;;;;;;;;;;;Matches
