Squad;# Pl;MP;Min;Mn/MP;Min%;Starts;Mn/Start;Subs;Mn/Sub;unSub;PPM;onG;onGA;+/-;+/-90;onxG;onxGA;xG+/-;xG+/-90
Atalanta;24;25;2250;90;100;275;84;72;22;178;1.92;70;34;+36;+1.44;61.4;26.7;+34.7;+1.39
Bologna;27;26;2340;90;100;286;84;77;19;190;1.31;38;42;-4;-0.15;39.6;34.1;+5.5;+0.21
Brescia;31;26;2340;90;100;286;84;75;21;169;0.62;22;49;-27;-1.04;30.2;49.4;-19.2;-0.74
Cagliari;29;25;2250;90;100;275;85;74;18;202;1.28;41;40;+1;+0.04;28.8;39.3;-10.4;-0.42
Fiorentina;28;26;2340;90;100;286;85;73;19;235;1.15;32;36;-4;-0.15;36.0;33.8;+2.2;+0.08
Genoa;35;26;2340;90;100;286;84;81;20;218;0.96;31;47;-16;-0.62;34.1;43.9;-9.8;-0.38
Hellas Verona;27;25;2250;90;100;275;84;72;21;228;1.40;29;26;+3;+0.12;33.8;33.5;+0.3;+0.01
Inter;28;25;2250;90;100;275;85;75;17;207;2.16;49;24;+25;+1.00;44.0;27.2;+16.8;+0.67
Juventus;23;26;2340;90;100;286;83;78;25;190;2.42;50;24;+26;+1.00;47.4;27.1;+20.3;+0.78
Lazio;23;26;2340;90;100;286;84;78;22;226;2.38;60;23;+37;+1.42;50.3;30.6;+19.7;+0.76
Lecce;29;26;2340;90;100;286;83;75;24;228;0.96;34;56;-22;-0.85;32.7;59.7;-27.0;-1.04
Milan;30;26;2340;90;100;286;84;75;21;214;1.38;28;34;-6;-0.23;35.7;34.4;+1.2;+0.05
Napoli;25;26;2340;90;100;286;84;76;21;194;1.50;41;36;+5;+0.19;43.0;29.4;+13.6;+0.52
Parma;24;25;2250;90;100;275;84;73;21;158;1.40;32;31;+1;+0.04;28.1;38.2;-10.2;-0.41
Roma;28;26;2340;90;100;286;84;77;19;183;1.73;51;35;+16;+0.62;50.4;34.7;+15.7;+0.60
Sampdoria;28;25;2250;90;100;275;83;75;24;217;1.04;28;44;-16;-0.64;33.8;32.7;+1.1;+0.04
Sassuolo;28;25;2250;90;100;275;85;75;19;215;1.28;41;39;+2;+0.08;34.3;42.4;-8.1;-0.33
SPAL;27;26;2340;90;100;286;85;76;20;217;0.69;20;44;-24;-0.92;31.1;45.6;-14.5;-0.56
Torino;23;25;2250;90;100;275;84;72;21;168;1.08;28;45;-17;-0.68;26.4;45.8;-19.3;-0.77
Udinese;23;26;2340;90;100;286;85;77;17;207;1.08;21;37;-16;-0.62;27.8;40.3;-12.5;-0.48
