id;name;Nation;Position;Squad;Age;Born;90s;GA;PKA;FK;CK;OG;PSxG;PSxG/SoT;PSxG+/-;/90;Cmp;Att;Cmp%;Att;Thr;Launch%;AvgLen;Att;Launch%;AvgLen;Att;Stp;Stp%;#OPA;#OPA/90;AvgDist;Matches
1;Filip Bednarek\Filip-Bednarek;pl POL;GK;Heerenveen;26;1992;5.0;11;3;;;;;;;;;;;;;;;;;;;;;;;;Matches
2;Justin Bijlow\Justin-Bijlow;nl NED;GK;Feyenoord;21;1998;6.0;8;2;;;;;;;;;;;;;;;;;;;;;;;;Matches
3;Marco Bizot\Marco-Bizot;nl NED;GK;AZ Alkmaar;28;1991;22.0;11;1;;;;;;;;;;;;;;;;;;;;;;;;Matches
4;Janis Blaswich\Janis-Blaswich;de GER;GK;Heracles Almelo;28;1991;25.0;32;2;;;;;;;;;;;;;;;;;;;;;;;;Matches
5;Rody de Boer\Rody-de-Boer;nl NED;GK;AZ Alkmaar;21;1997;1.9;6;1;;;;;;;;;;;;;;;;;;;;;;;;Matches
6;Jorn Brondeel\Jorn-Brondeel;be BEL;GK;Twente;25;1993;1.8;4;0;;;;;;;;;;;;;;;;;;;;;;;;Matches
7;Tim Coremans\Tim-Coremans;nl NED;GK;Sparta R'dam;28;1991;10.0;18;3;;;;;;;;;;;;;;;;;;;;;;;;Matches
8;Joel Drommel\Joel-Drommel;nl NED;GK;Twente;22;1996;23.2;41;0;;;;;;;;;;;;;;;;;;;;;;;;Matches
9;Warner Hahn\Warner-Hahn;nl NED;GK;Heerenveen;27;1992;20.0;27;3;;;;;;;;;;;;;;;;;;;;;;;;Matches
10;Ariel Harush\Ariel-Harush;il ISR;GK;Sparta R'dam;31;1988;15.0;22;4;;;;;;;;;;;;;;;;;;;;;;;;Matches
11;Mike Havekotte\Mike-Havekotte;nl NED;GK;ADO Den Haag;23;1995;1.0;3;2;;;;;;;;;;;;;;;;;;;;;;;;Matches
12;Kees Heemskerk\Kees-Heemskerk;nl NED;GK;RKC Waalwijk;28;1991;2.5;7;1;;;;;;;;;;;;;;;;;;;;;;;;Matches
13;Thorsten Kirschbaum\Thorsten-Kirschbaum;de GER;GK;VVV-Venlo;32;1987;25.0;48;4;;;;;;;;;;;;;;;;;;;;;;;;Matches
14;Luuk Koopmans\Luuk-Koopmans;nl NED;GK;ADO Den Haag;25;1993;19.0;38;2;;;;;;;;;;;;;;;;;;;;;;;;Matches
15;Alexei Koșelev\Alexei-Koselev;md MDA;GK;Fortuna Sittard;25;1993;26.0;52;9;;;;;;;;;;;;;;;;;;;;;;;;Matches
16;Nick Marsman\Nick-Marsman;nl NED;GK;Feyenoord;28;1990;2.0;0;0;;;;;;;;;;;;;;;;;;;;;;;;Matches
17;Xavier Mous\Xavier-Mous;nl NED;GK;Zwolle;23;1995;13.0;32;2;;;;;;;;;;;;;;;;;;;;;;;;Matches
18;André Onana\Andre-Onana;cm CMR;GK;Ajax;23;1996;23.0;20;2;;;;;;;;;;;;;;;;;;;;;;;;Matches
19;Sergio Padt\Sergio-Padt;nl NED;GK;Groningen;29;1990;25.0;25;3;;;;;;;;;;;;;;;;;;;;;;;;Matches
20;Maarten Paes\Maarten-Paes;nl NED;GK;Utrecht;21;1998;18.0;25;2;;;;;;;;;;;;;;;;;;;;;;;;Matches
21;Remko Pasveer\Remko-Pasveer;nl NED;GK;Vitesse;35;1983;25.0;35;8;;;;;;;;;;;;;;;;;;;;;;;;Matches
22;Robbin Ruiter\Robbin-Ruiter;nl NED;GK;PSV Eindhoven;32;1987;1.0;1;0;;;;;;;;;;;;;;;;;;;;;;;;Matches
23;Dennis Telgenkamp\Dennis-Telgenkamp;nl NED;GK;Emmen;32;1987;25.0;45;3;;;;;;;;;;;;;;;;;;;;;;;;Matches
24;Lars Unnerstall\Lars-Unnerstall;de GER;GK;PSV Eindhoven;29;1990;13.0;13;3;;;;;;;;;;;;;;;;;;;;;;;;Matches
25;Etienne Vaessen\Etienne-Vaessen;nl NED;GK;RKC Waalwijk;24;1995;22.5;49;3;;;;;;;;;;;;;;;;;;;;;;;;Matches
26;Bruno Varela\Bruno-Varela;pt POR;GK;Ajax;24;1994;1.0;2;0;;;;;;;;;;;;;;;;;;;;;;;;Matches
27;Kenneth Vermeer\Kenneth-Vermeer;nl NED;GK;Feyenoord;33;1986;16.0;27;1;;;;;;;;;;;;;;;;;;;;;;;;Matches
28;Timon Wellenreuther\Timon-Wellenreuther;de GER;GK;Willem II;23;1995;24.0;32;3;;;;;;;;;;;;;;;;;;;;;;;;Matches
29;Michael Woud\Michael-Woud;nz NZL;GK;Willem II;20;1999;1.0;0;0;;;;;;;;;;;;;;;;;;;;;;;;Matches
30;Michael Zetterer\Michael-Zetterer;de GER;GK;Zwolle;24;1995;13.0;23;3;;;;;;;;;;;;;;;;;;;;;;;;Matches
31;Jeroen Zoet\Jeroen-Zoet;nl NED;GK;PSV Eindhoven;28;1991;11.0;14;0;;;;;;;;;;;;;;;;;;;;;;;;Matches
32;Jeroen Zoet\Jeroen-Zoet;nl NED;GK;Utrecht;28;1991;6.0;8;1;;;;;;;;;;;;;;;;;;;;;;;;Matches
33;Robert Zwinkels\Robert-Zwinkels;nl NED;GK;ADO Den Haag;36;1983;5.0;9;0;;;;;;;;;;;;;;;;;;;;;;;;Matches
