Squad;# Pl;CrdY;CrdR;2CrdY;Fls;Fld;Off;Crs;TklW;Int;PKwon;PKcon;OG;Succ;Att;Succ%;#Pl;Megs;Tkl;Cont;Tkl%;Past
ADO Den Haag;34;57;4;4;288;310;33;519;244;265;;;3;;;;;;;;;;
Ajax;29;32;0;0;245;241;46;580;259;264;;;0;;;;;;;;;;
AZ Alkmaar;24;33;2;1;267;251;43;364;220;233;;;1;;;;;;;;;;
Emmen;29;56;4;2;321;307;41;393;273;300;;;2;;;;;;;;;;
Feyenoord;30;38;0;0;271;273;42;414;293;283;;;2;;;;;;;;;;
Fortuna Sittard;27;49;4;1;263;326;48;377;281;279;;;1;;;;;;;;;;
Groningen;25;45;4;1;273;277;33;515;300;310;;;0;;;;;;;;;;
Heerenveen;24;27;0;0;259;246;32;432;310;264;;;2;;;;;;;;;;
Heracles Almelo;23;45;1;0;327;297;46;419;333;287;;;0;;;;;;;;;;
PSV Eindhoven;29;38;4;1;249;252;45;415;264;248;;;0;;;;;;;;;;
RKC Waalwijk;28;58;5;1;314;238;29;463;282;293;;;1;;;;;;;;;;
Sparta R'dam;23;48;3;2;348;206;29;397;251;257;;;0;;;;;;;;;;
Twente;25;44;4;0;322;301;44;411;307;253;;;2;;;;;;;;;;
Utrecht;30;31;3;0;262;240;47;417;238;247;;;0;;;;;;;;;;
Vitesse;25;48;2;1;311;266;44;525;329;283;;;1;;;;;;;;;;
VVV-Venlo;25;44;2;2;292;292;29;377;291;302;;;0;;;;;;;;;;
Willem II;24;38;0;0;270;292;41;453;274;318;;;1;;;;;;;;;;
Zwolle;30;45;2;0;302;275;51;443;260;306;;;1;;;;;;;;;;
