"id";"name";"nation";"position";"team";"age";"born";"90s";"Gls";"PK";"PKatt";"Sh";"SoT";"FK";"SoT%";"Sh/90";"SoT/90";"G/Sh";"G/SoT";"xG";"npxG";"npxG/Sh";"G-xG";"np:G-xG";"Matches"
1;Issah Abbas\Issah-Abbas;gh GHA;FW;Utrecht;20;1998;9.3;2;0;0;20;6;;30.0;2.15;0.64;0.10;0.33;Matches
2;Dirk Abels\Dirk-Abels;nl NED;DF;Sparta R'dam;22;1997;20.0;0;0;0;9;2;;22.2;0.45;0.10;0.00;0.00;Matches
3;Abdallah Aberkane\Abdallah-Aberkane;nl NED;DF;Sparta R'dam;19;2000;0.0;0;0;0;0;0;;;0.00;0.00;;;Matches
4;Nassim El Ablak\Nassim-El-Ablak;nl NED;MF;Fortuna Sittard;19;2000;0.6;0;0;0;2;0;;0.0;3.16;0.00;0.00;;Matches
5;Zakaria Aboukhlal\Zakaria-Aboukhlal;nl NED;FW;AZ Alkmaar;19;2000;2.1;0;0;0;11;2;;18.2;5.27;0.96;0.00;0.00;Matches
6;Zakaria Aboukhlal\Zakaria-Aboukhlal;nl NED;FW;PSV Eindhoven;19;2000;0.0;0;0;0;0;0;;;;;;;Matches
7;Amir Absalem\Amir-Absalem;nl NED;DF;Groningen;22;1997;3.9;0;0;0;4;0;;0.0;1.02;0.00;0.00;;Matches
8;Giorgi Aburjania\Giorgi-Aburjania;ge GEO;MF;Twente;24;1995;6.1;2;0;0;6;2;;33.3;0.98;0.33;0.33;1.00;Matches
9;Ragnar Ache\Ragnar-Ache;de GER;FW;Sparta R'dam;21;1998;16.5;5;0;0;28;10;;35.7;1.70;0.61;0.18;0.50;Matches
10;Luka Adžić\Luka-Adzic;rs SRB;FW;Emmen;20;1998;1.0;1;0;0;6;2;;33.3;6.00;2.00;0.17;0.50;Matches
11;Ibrahim Afellay\Ibrahim-Afellay;nl NED;MF;PSV Eindhoven;33;1986;1.2;0;0;0;5;2;;40.0;4.29;1.71;0.00;0.00;Matches
12;Hamdi Akujobi\Hamdi-Akujobi;nl NED;MF;Heerenveen;19;2000;0.4;0;0;0;1;1;;100.0;2.50;2.50;0.00;0.00;Matches
13;Edson Álvarez\Edson-Alvarez;mx MEX;MFDF;Ajax;21;1997;6.1;0;0;0;6;1;;16.7;0.98;0.16;0.00;0.00;Matches
14;Gregoire Amiot\Gregoire-Amiot;fr FRA;DF;Fortuna Sittard;24;1995;6.5;0;0;0;3;0;;0.0;0.46;0.00;0.00;;Matches
15;Martin Angha\Martin-Angha;ch SUI;DF;Fortuna Sittard;25;1994;13.8;1;0;0;8;1;;12.5;0.58;0.07;0.13;1.00;Matches
16;Miguel Araujo\Miguel-Araujo;pe PER;DF;Emmen;24;1994;11.0;1;0;0;14;4;;28.6;1.27;0.36;0.07;0.25;Matches
17;Jafar Arias\Jafar-Arias;cw CUW;MFFW;Emmen;24;1995;8.9;0;0;0;23;3;;13.0;2.57;0.34;0.00;0.00;Matches
18;Jonas Arweiler\Jonas-Arweiler;de GER;FW;Utrecht;22;1997;0.3;1;0;0;2;1;;50.0;6.67;3.33;0.50;1.00;Matches
19;Joel Asoro\Joel-Asoro;se SWE;FWMF;Groningen;20;1999;13.1;3;0;0;37;10;;27.0;2.81;0.76;0.08;0.30;Matches
20;Adil Auassar\Adil-Auassar;nl NED;MF;Sparta R'dam;32;1986;19.2;2;0;0;18;5;;27.8;0.94;0.26;0.11;0.40;Matches
21;Yassin Ayoub\Yassin-Ayoub;nl NED;MF;Feyenoord;25;1994;0.5;0;0;0;1;0;;0.0;2.05;0.00;0.00;;Matches
22;Marouan Azarkan\Marouan-Azarkan;nl NED;FW;Feyenoord;17;2001;0.2;0;0;0;0;0;;;0.00;0.00;;;Matches
23;Ryan Babel\Ryan-Babel;nl NED;FW;Ajax;32;1986;4.3;0;0;0;11;3;;27.3;2.56;0.70;0.00;0.00;Matches
24;Nikolai Baden Frederiksen\Nikolai-Baden-Frederiksen;dk DEN;FW;Fortuna Sittard;19;2000;0.5;0;0;0;0;0;;;0.00;0.00;;;Matches
25;Jean-Christophe Bahebeck\Jean-Christophe-Bahebeck;fr FRA;FW;Utrecht;26;1993;6.5;3;1;1;30;7;;23.3;4.63;1.08;0.07;0.29;Matches
26;Destan Bajselmani\Destan-Bajselmani;nl NED;DF;Zwolle;20;1999;2.3;0;0;0;0;0;;;0.00;0.00;;;Matches
27;Saïd Bakari\Said-Bakari;km COM;DFFW;RKC Waalwijk;24;1994;13.9;1;0;0;10;3;;30.0;0.72;0.22;0.10;0.33;Matches
28;Navajo Bakboord\Navajo-Bakboord;nl NED;DF;Heracles Almelo;20;1999;9.0;0;0;0;4;0;;0.0;0.44;0.00;0.00;;Matches
29;Danny Bakker\Danny-Bakker;nl NED;MF;ADO Den Haag;24;1995;15.5;0;0;0;11;3;;27.3;0.71;0.19;0.00;0.00;Matches
30;Nick Bakker\Nick-Bakker;nl NED;DF;Emmen;27;1992;7.0;1;0;0;2;1;;50.0;0.29;0.14;0.50;1.00;Matches
31;Tudor Băluță\Tudor-Baluta;ro ROU;MF;ADO Den Haag;20;1999;3.0;0;0;0;1;0;;0.0;0.34;0.00;0.00;;Matches
32;Naoufal Bannis\Naoufal-Bannis;nl NED;MF;Feyenoord;17;2002;0.7;0;0;0;3;0;;0.0;4.58;0.00;0.00;;Matches
33;Aaron Bastiaans\Aaron-Bastiaans;nl NED;MF;VVV-Venlo;17;2002;0.2;1;0;0;1;1;;100.0;5.63;5.63;1.00;1.00;Matches
34;Timo Baumgartl\Timo-Baumgartl;de GER;DF;PSV Eindhoven;23;1996;12.1;1;0;0;6;2;;33.3;0.49;0.16;0.17;0.50;Matches
35;Riechedly Bazoer\Riechedly-Bazoer;nl NED;MF;Vitesse;22;1996;18.7;3;0;0;46;10;;21.7;2.46;0.53;0.07;0.30;Matches
36;Filip Bednarek\Filip-Bednarek;pl POL;GK;Heerenveen;26;1992;5.0;0;0;0;0;0;;;0.00;0.00;;;Matches
37;Donny van de Beek\Donny-van-de-Beek;nl NED;MF;Ajax;22;1997;20.3;8;0;0;43;16;;37.2;2.12;0.79;0.19;0.50;Matches
38;Sven van Beek\Sven-van-Beek;nl NED;DF;Feyenoord;25;1994;0.0;0;0;0;0;0;;;0.00;0.00;;;Matches
39;Iliass Bel Hassani\Iliass-Bel-Hassani;ma MAR;FWMF;Zwolle;26;1992;10.9;5;0;0;20;12;;60.0;1.84;1.11;0.25;0.42;Matches
40;Hilal Ben Moussa\Hilal-Ben-Moussa;nl NED;MF;Emmen;27;1992;4.7;0;0;0;2;0;;0.0;0.43;0.00;0.00;;Matches
41;Charlison Benschop\Charlison-Benschop;cw CUW;FW;Groningen;29;1989;9.4;3;2;2;18;7;;38.9;1.91;0.74;0.06;0.14;Matches
42;Mitchell van Bergen\Mitchell-van-Bergen;nl NED;FW;Heerenveen;19;1999;23.9;4;0;0;62;26;;41.9;2.60;1.09;0.06;0.15;Matches
43;Emil Berggreen\Emil-Berggreen;dk DEN;FW;Twente;26;1993;3.9;1;0;0;8;3;;37.5;2.06;0.77;0.13;0.33;Matches
44;Steven Berghuis\Steven-Berghuis;nl NED;FW;Feyenoord;27;1991;22.4;14;6;6;87;43;;49.4;3.88;1.92;0.09;0.19;Matches
45;Emil Bergström\Emil-Bergstrom;se SWE;DF;Utrecht;26;1993;1.0;0;0;0;0;0;;;0.00;0.00;;;Matches
46;Steven Bergwijn\Steven-Bergwijn;nl NED;FWMF;PSV Eindhoven;21;1997;14.8;5;1;1;36;17;;47.2;2.43;1.15;0.11;0.24;Matches
47;Matúš Bero\Matus-Bero;sk SVK;MFFW;Vitesse;23;1995;20.7;3;1;1;18;5;;27.8;0.87;0.24;0.11;0.40;Matches
