Squad;# Pl;Gls;PK;PKatt;Sh;SoT;FK;SoT%;Sh/90;SoT/90;G/Sh;G/SoT;xG;npxG;npxG/Sh;G-xG;np:G-xG
ADO Den Haag;34;22;3;5;242;88;;36.4;9.31;3.38;0.08;0.22;;;;;;
Ajax;29;67;3;3;547;206;;37.7;21.88;8.24;0.12;0.31;;;;;;
AZ Alkmaar;24;54;9;10;382;154;;40.3;15.28;6.16;0.12;0.29;;;;;;
Emmen;29;31;3;3;324;103;;31.8;12.46;3.96;0.09;0.27;;;;;;
Feyenoord;30;49;9;9;370;154;;41.6;14.80;6.16;0.11;0.26;;;;;;
Fortuna Sittard;27;27;3;4;294;108;;36.7;11.31;4.15;0.08;0.22;;;;;;
Groningen;25;27;4;6;326;98;;30.1;12.54;3.77;0.07;0.23;;;;;;
Heerenveen;24;40;3;6;434;156;;35.9;16.69;6.00;0.09;0.24;;;;;;
Heracles Almelo;23;39;1;2;344;129;;37.5;13.23;4.96;0.11;0.29;;;;;;
PSV Eindhoven;29;52;6;6;421;165;;39.2;16.19;6.35;0.11;0.28;;;;;;
RKC Waalwijk;28;27;2;2;317;99;;31.2;12.19;3.81;0.08;0.25;;;;;;
Sparta R'dam;23;40;2;4;354;118;;33.3;13.62;4.54;0.11;0.32;;;;;;
Twente;25;34;5;6;258;95;;36.8;9.92;3.65;0.11;0.31;;;;;;
Utrecht;30;48;7;7;362;121;;33.4;14.48;4.84;0.11;0.34;;;;;;
Vitesse;25;45;4;5;415;141;;34.0;15.96;5.42;0.10;0.29;;;;;;
VVV-Venlo;25;24;4;5;259;83;;32.0;9.96;3.19;0.08;0.24;;;;;;
Willem II;24;36;3;5;296;108;;36.5;11.38;4.15;0.11;0.31;;;;;;
Zwolle;30;36;3;3;328;124;;37.8;12.62;4.77;0.10;0.27;;;;;;
