"id";"name";"nation";"position";"Squad";"age";"born";"MP";"Starts";"Min";"Gls";"Ast";"PK";"PKatt";"CrdY";"CrdR";"Gls_per_match";"Ast_per_match";"G_A_per_match";"G_PK_per_match";"G_A_PK_per_match";"xG";"npxG";"xA";"xG_per_match";"xA_per_match";"xG_xA";"npxG_per_match";"npxG_xA";"Matches"
1;Issah Abbas\Issah-Abbas;gh GHA;FW;Utrecht;20;1998;15;10;838;2;0;0;0;4;0;0.21;0.00;0.21;0.21;0.21;Matches
2;Dirk Abels\Dirk-Abels;nl NED;DF;Sparta R'dam;22;1997;24;19;1799;0;2;0;0;1;0;0.00;0.10;0.10;0.00;0.10;Matches
3;Abdallah Aberkane\Abdallah-Aberkane;nl NED;DF;Sparta R'dam;19;2000;1;0;3;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
4;Nassim El Ablak\Nassim-El-Ablak;nl NED;MF;Fortuna Sittard;19;2000;3;0;57;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
5;Zakaria Aboukhlal\Zakaria-Aboukhlal;nl NED;FW;AZ Alkmaar;19;2000;12;0;188;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
6;Zakaria Aboukhlal\Zakaria-Aboukhlal;nl NED;FW;PSV Eindhoven;19;2000;1;0;;0;0;0;0;0;0;;;;;;Matches
7;Amir Absalem\Amir-Absalem;nl NED;DF;Groningen;22;1997;5;4;352;0;0;0;0;3;0;0.00;0.00;0.00;0.00;0.00;Matches
8;Giorgi Aburjania\Giorgi-Aburjania;ge GEO;MF;Twente;24;1995;16;4;553;2;0;0;0;2;0;0.33;0.00;0.33;0.33;0.33;Matches
9;Ragnar Ache\Ragnar-Ache;de GER;FW;Sparta R'dam;21;1998;19;18;1481;5;3;0;0;0;0;0.30;0.18;0.49;0.30;0.49;Matches
10;Luka Adžić\Luka-Adzic;rs SRB;FW;Emmen;20;1998;2;1;90;1;0;0;0;0;0;1.00;0.00;1.00;1.00;1.00;Matches
11;Ibrahim Afellay\Ibrahim-Afellay;nl NED;MF;PSV Eindhoven;33;1986;3;1;105;0;0;0;0;2;1;0.00;0.00;0.00;0.00;0.00;Matches
12;Hamdi Akujobi\Hamdi-Akujobi;nl NED;MF;Heerenveen;19;2000;3;0;36;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
13;Edson Álvarez\Edson-Alvarez;mx MEX;MFDF;Ajax;21;1997;11;6;549;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;Matches
14;Gregoire Amiot\Gregoire-Amiot;fr FRA;DF;Fortuna Sittard;24;1995;9;7;582;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
15;Martin Angha\Martin-Angha;ch SUI;DF;Fortuna Sittard;25;1994;16;15;1240;1;3;0;0;2;0;0.07;0.22;0.29;0.07;0.29;Matches
16;Miguel Araujo\Miguel-Araujo;pe PER;DF;Emmen;24;1994;11;11;990;1;0;0;0;0;0;0.09;0.00;0.09;0.09;0.09;Matches
17;Jafar Arias\Jafar-Arias;cw CUW;MFFW;Emmen;24;1995;17;6;804;0;1;0;0;1;0;0.00;0.11;0.11;0.00;0.11;Matches
18;Jonas Arweiler\Jonas-Arweiler;de GER;FW;Utrecht;22;1997;2;0;27;1;0;0;0;0;0;3.33;0.00;3.33;3.33;3.33;Matches
19;Joel Asoro\Joel-Asoro;se SWE;FWMF;Groningen;20;1999;15;13;1183;3;2;0;0;1;0;0.23;0.15;0.38;0.23;0.38;Matches
20;Adil Auassar\Adil-Auassar;nl NED;MF;Sparta R'dam;32;1986;22;22;1725;2;0;0;0;11;1;0.10;0.00;0.10;0.10;0.10;Matches
21;Yassin Ayoub\Yassin-Ayoub;nl NED;MF;Feyenoord;25;1994;3;0;44;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
22;Marouan Azarkan\Marouan-Azarkan;nl NED;FW;Feyenoord;17;2001;1;0;18;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
23;Ryan Babel\Ryan-Babel;nl NED;FW;Ajax;32;1986;5;5;386;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;Matches
24;Nikolai Baden Frederiksen\Nikolai-Baden-Frederiksen;dk DEN;FW;Fortuna Sittard;19;2000;2;1;47;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;Matches
25;Jean-Christophe Bahebeck\Jean-Christophe-Bahebeck;fr FRA;FW;Utrecht;26;1993;15;6;583;3;1;1;1;0;0;0.46;0.15;0.62;0.31;0.46;Matches
26;Destan Bajselmani\Destan-Bajselmani;nl NED;DF;Zwolle;20;1999;3;1;205;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
27;Saïd Bakari\Said-Bakari;km COM;DFFW;RKC Waalwijk;24;1994;17;13;1255;1;2;0;0;2;0;0.07;0.14;0.22;0.07;0.22;Matches
28;Navajo Bakboord\Navajo-Bakboord;nl NED;DF;Heracles Almelo;20;1999;10;9;810;0;1;0;0;2;0;0.00;0.11;0.11;0.00;0.11;Matches
29;Danny Bakker\Danny-Bakker;nl NED;MF;ADO Den Haag;24;1995;21;17;1398;0;1;0;0;7;2;0.00;0.06;0.06;0.00;0.06;Matches
30;Nick Bakker\Nick-Bakker;nl NED;DF;Emmen;27;1992;8;8;630;1;0;0;0;4;0;0.14;0.00;0.14;0.14;0.14;Matches
31;Tudor Băluță\Tudor-Baluta;ro ROU;MF;ADO Den Haag;20;1999;3;3;266;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;Matches
32;Naoufal Bannis\Naoufal-Bannis;nl NED;MF;Feyenoord;17;2002;4;0;59;0;1;0;0;0;0;0.00;1.53;1.53;0.00;1.53;Matches
33;Aaron Bastiaans\Aaron-Bastiaans;nl NED;MF;VVV-Venlo;17;2002;1;0;16;1;0;0;0;0;0;5.63;0.00;5.63;5.63;5.63;Matches
34;Timo Baumgartl\Timo-Baumgartl;de GER;DF;PSV Eindhoven;23;1996;13;12;1092;1;0;0;0;1;0;0.08;0.00;0.08;0.08;0.08;Matches
35;Riechedly Bazoer\Riechedly-Bazoer;nl NED;MF;Vitesse;22;1996;21;18;1685;3;1;0;0;6;1;0.16;0.05;0.21;0.16;0.21;Matches
