Squad;# Pl;MP;Starts;Min;GA;GA90;SoTA;Saves;Save%;W;D;L;CS;CS%;PKatt;PKA;PKsv;PKm
ADO Den Haag;3;25;25;2250;50;2.00;146;100;.685;4;7;14;7;28.0;4;4;0;0
Ajax;2;24;24;2160;22;0.92;70;50;.714;17;2;5;8;33.3;2;2;0;0
AZ Alkmaar;2;24;24;2156;17;0.71;77;62;.805;17;2;5;16;66.7;3;2;0;1
Emmen;1;25;25;2250;45;1.80;129;87;.674;8;5;12;6;24.0;3;3;0;0
Feyenoord;3;24;24;2160;35;1.46;102;72;.686;13;8;3;5;20.8;5;3;2;0
Fortuna Sittard;1;26;26;2340;52;2.00;140;97;.693;6;8;12;6;23.1;9;9;0;0
Groningen;1;25;25;2250;25;1.00;80;59;.725;10;5;10;9;36.0;6;3;2;1
Heerenveen;2;25;25;2250;38;1.52;112;80;.714;8;9;8;4;16.0;7;6;1;0
Heracles Almelo;1;25;25;2250;32;1.28;110;82;.727;9;6;10;7;28.0;4;2;2;0
PSV Eindhoven;3;25;25;2250;28;1.12;89;63;.719;13;7;5;6;24.0;3;3;0;0
RKC Waalwijk;2;25;25;2250;56;2.24;134;82;.612;4;3;18;4;16.0;4;4;0;0
Sparta R'dam;2;25;25;2249;40;1.60;105;71;.686;9;6;10;6;24.0;7;7;0;0
Twente;2;25;25;2246;45;1.80;153;108;.706;7;6;12;5;20.0;2;0;1;1
Utrecht;2;24;24;2160;33;1.37;95;67;.684;11;5;8;5;20.8;5;3;2;0
Vitesse;1;25;25;2250;35;1.40;109;83;.752;11;5;9;7;28.0;9;8;1;0
VVV-Venlo;1;25;25;2250;48;1.92;136;93;.676;8;4;13;4;16.0;5;4;1;0
Willem II;2;25;25;2250;32;1.28;121;92;.760;13;5;7;7;28.0;3;3;0;0
Zwolle;2;26;26;2340;55;2.12;164;115;.695;7;5;14;3;11.5;6;5;1;0
