"id";"name";"nation";"position";"team";"age";"born";"MP";"Min";"Mn/MP";"Min%";"90s";"Starts";"Mn/Start";"Subs";"Mn/Sub";"unSub";"PPM";"onG";"onGA";"+/-";"+/-90";"On-Off";"onxG";"onxGA";"xG+/-";"xG+/-90";"On-Off-ex";"Matches"
1;Mees Bakker\Mees-Bakker;nl NED;GK;AZ Alkmaar;18;2001;0;;;;;0;;0;;1;;;;;;;Matches
2;Issah Abbas\Issah-Abbas;gh GHA;FW;Utrecht;20;1998;15;838;56;38.8;9.3;10;73;5;22;7;1.47;20;12;+8;+0.86;+0.59;Matches
3;Dirk Abels\Dirk-Abels;nl NED;DF;Sparta R'dam;22;1997;24;1799;75;80.0;20.0;19;89;5;22;1;1.38;31;33;-2;-0.10;-0.50;Matches
4;Abdallah Aberkane\Abdallah-Aberkane;nl NED;DF;Sparta R'dam;19;2000;1;3;3;0.1;0.0;0;;1;3;7;3.00;0;0;0;0.00;0.00;Matches
5;Nassim El Ablak\Nassim-El-Ablak;nl NED;MF;Fortuna Sittard;19;2000;3;57;19;2.4;0.6;0;;3;19;22;1.67;0;0;0;0.00;+0.91;Matches
6;Zakaria Aboukhlal\Zakaria-Aboukhlal;nl NED;FW;AZ Alkmaar;19;2000;12;188;16;8.7;2.1;0;;12;16;9;1.75;2;4;-2;-0.96;-2.55;Matches
7;Zakaria Aboukhlal\Zakaria-Aboukhlal;nl NED;FW;PSV Eindhoven;19;2000;1;;0;0.0;0.0;0;;1;0;2;3.00;0;0;0;;;Matches
8;Amir Absalem\Amir-Absalem;nl NED;DF;Groningen;22;1997;5;352;70;15.6;3.9;4;86;1;7;13;0.80;3;5;-2;-0.51;-0.70;Matches
9;Giorgi Aburjania\Giorgi-Aburjania;ge GEO;MF;Twente;24;1995;16;553;35;24.6;6.1;4;86;12;18;9;1.44;11;11;0;0.00;+0.58;Matches
10;Ragnar Ache\Ragnar-Ache;de GER;FW;Sparta R'dam;21;1998;19;1481;78;65.8;16.5;18;80;1;45;1;1.37;26;21;+5;+0.30;+0.89;Matches
11;Luka Adžić\Luka-Adzic;rs SRB;FW;Emmen;20;1998;2;90;45;4.0;1.0;1;45;1;45;1;1.50;3;5;-2;-2.00;-1.42;Matches
12;Ibrahim Afellay\Ibrahim-Afellay;nl NED;MF;PSV Eindhoven;33;1986;3;105;35;4.7;1.2;1;74;2;16;14;2.33;3;0;+3;+2.57;+1.65;Matches
13;Özgür Aktas\Ozgur-Aktas;nl NED;DF;Vitesse;22;1997;0;;;;;0;;0;;11;;;;;;;Matches
14;Hamdi Akujobi\Hamdi-Akujobi;nl NED;MF;Heerenveen;19;2000;3;36;12;1.6;0.4;0;;3;12;20;3.00;1;0;+1;+2.50;+2.46;Matches
15;Mukhtar Ali\Mukhtar-Ali;sa KSA;MF;Vitesse;21;1997;0;;;;;0;;0;;4;;;;;;;Matches
16;Edson Álvarez\Edson-Alvarez;mx MEX;MFDF;Ajax;21;1997;11;549;50;25.4;6.1;6;81;5;13;12;2.55;13;7;+6;+0.98;-1.08;Matches
17;Gregoire Amiot\Gregoire-Amiot;fr FRA;DF;Fortuna Sittard;24;1995;9;582;65;24.9;6.5;7;83;2;2;11;0.56;6;20;-14;-2.16;-1.70;Matches
18;Mohamed Amissi\Mohamed-Amissi;bi BDI;FW;Heracles Almelo;18;2000;0;;;;;0;;0;;1;;;;;;;Matches
19;Martin Angha\Martin-Angha;ch SUI;DF;Fortuna Sittard;25;1994;16;1240;78;53.0;13.8;15;82;1;4;1;1.19;18;30;-12;-0.87;+0.03;Matches
20;Marko Antunic\Marko-Antunic;;GK;VVV-Venlo;;;0;;;;;0;;0;;2;;;;;;;Matches
21;Miguel Araujo\Miguel-Araujo;pe PER;DF;Emmen;24;1994;11;990;90;44.0;11.0;11;90;0;;2;1.36;12;16;-4;-0.36;+0.49;Matches
22;Jafar Arias\Jafar-Arias;cw CUW;MFFW;Emmen;24;1995;17;804;47;35.7;8.9;6;79;11;30;8;0.88;9;17;-8;-0.90;-0.40;Matches
23;Jonas Arweiler\Jonas-Arweiler;de GER;FW;Utrecht;22;1997;2;27;14;1.3;0.3;0;;2;14;2;1.50;2;0;+2;+6.67;+6.24;Matches
24;Hennos Asmelash\Hennos-Asmelash;nl NED;DF;ADO Den Haag;20;1999;0;;;;;0;;0;;1;;;;;;;Matches
25;Joel Asoro\Joel-Asoro;se SWE;FWMF;Groningen;20;1999;15;1183;79;52.6;13.1;13;87;2;24;7;1.47;14;10;+4;+0.30;+0.47;Matches
26;Adil Auassar\Adil-Auassar;nl NED;MF;Sparta R'dam;32;1986;22;1725;78;76.7;19.2;22;78;0;;0;1.23;32;27;+5;+0.26;+1.12;Matches
27;Sebbe Augustijns\Sebbe-Augustijns;be BEL;MF;RKC Waalwijk;19;1999;0;;;;;0;;0;;1;;;;;;;Matches
28;Yassin Ayoub\Yassin-Ayoub;nl NED;MF;Feyenoord;25;1994;3;44;15;2.0;0.5;0;;3;15;7;2.33;0;1;-1;-2.05;-2.64;Matches
29;Marouan Azarkan\Marouan-Azarkan;nl NED;FW;Feyenoord;17;2001;1;18;18;0.8;0.2;0;;1;18;6;3.00;0;2;-2;-10.00;-10.63;Matches
30;Ryan Babel\Ryan-Babel;nl NED;FW;Ajax;32;1986;5;386;77;17.9;4.3;5;77;0;;0;1.80;7;2;+5;+1.17;-0.76;Matches
31;Nikolai Baden Frederiksen\Nikolai-Baden-Frederiksen;dk DEN;FW;Fortuna Sittard;19;2000;2;47;24;2.0;0.5;1;45;1;2;2;1.00;0;0;0;0.00;+0.90;Matches
32;Nikki Baggerman\Nikki-Baggerman;nl NED;MF;RKC Waalwijk;21;1997;0;;;;;0;;0;;1;;;;;;;Matches
33;Jean-Christophe Bahebeck\Jean-Christophe-Bahebeck;fr FRA;FW;Utrecht;26;1993;15;583;39;27.0;6.5;6;68;9;19;2;1.60;11;8;+3;+0.46;-0.05;Matches
34;Destan Bajselmani\Destan-Bajselmani;nl NED;DF;Zwolle;20;1999;3;205;68;8.8;2.3;1;71;2;67;10;1.00;3;3;0;0.00;+0.76;Matches
35;Saïd Bakari\Said-Bakari;km COM;DFFW;RKC Waalwijk;24;1994;17;1255;74;55.8;13.9;13;87;4;30;8;0.65;17;25;-8;-0.57;+1.51;Matches
36;Navajo Bakboord\Navajo-Bakboord;nl NED;DF;Heracles Almelo;20;1999;10;810;81;36.0;9.0;9;90;1;0;3;1.50;15;12;+3;+0.33;+0.27;Matches
37;Danny Bakker\Danny-Bakker;nl NED;MF;ADO Den Haag;24;1995;21;1398;67;62.1;15.5;17;78;4;16;2;0.57;13;32;-19;-1.22;-0.59;Matches
38;Nick Bakker\Nick-Bakker;nl NED;DF;Emmen;27;1992;8;630;79;28.0;7.0;8;79;0;;0;0.88;9;16;-7;-1.00;-0.50;Matches
39;Tudor Băluță\Tudor-Baluta;ro ROU;MF;ADO Den Haag;20;1999;3;266;89;11.8;3.0;3;89;0;;3;0.33;2;7;-5;-1.69;-0.78;Matches
40;Naoufal Bannis\Naoufal-Bannis;nl NED;MF;Feyenoord;17;2002;4;59;15;2.7;0.7;0;;4;15;4;1.25;3;1;+2;+3.05;+2.58;Matches
41;Rida El Barjiji\Rida-El-Barjiji;nl NED;MF;Utrecht;17;2001;0;;;;;0;;0;;1;;;;;;;Matches
42;Aaron Bastiaans\Aaron-Bastiaans;nl NED;MF;VVV-Venlo;17;2002;1;16;16;0.7;0.2;0;;1;16;1;0.00;1;0;+1;+5.63;+6.63;Matches
43;Timo Baumgartl\Timo-Baumgartl;de GER;DF;PSV Eindhoven;23;1996;13;1092;84;48.5;12.1;12;90;1;12;11;1.85;28;15;+13;+1.07;+0.14;Matches
44;Bilal Bayazit\Bilal-Bayazit;nl NED;GK;Vitesse;20;1999;0;;;;;0;;0;;15;;;;;;;Matches
45;Riechedly Bazoer\Riechedly-Bazoer;nl NED;MF;Vitesse;22;1996;21;1685;80;74.9;18.7;18;88;3;35;0;1.52;32;27;+5;+0.27;-0.37;Matches
46;Filip Bednarek\Filip-Bednarek;pl POL;GK;Heerenveen;26;1992;5;450;90;20.0;5.0;5;90;0;;20;1.00;9;11;-2;-0.40;-0.60;Matches
47;Donny van de Beek\Donny-van-de-Beek;nl NED;MF;Ajax;22;1997;22;1826;83;84.5;20.3;21;86;1;21;0;2.14;51;19;+32;+1.58;-1.39;Matches
