Squad;# Pl;MP;Min;Mn/MP;Min%;Starts;Mn/Start;Subs;Mn/Sub;unSub;PPM;onG;onGA;+/-;+/-90;onxG;onxGA;xG+/-;xG+/-90
ADO Den Haag;34;26;2340;90;100;286;84;75;22;185;0.73;25;54;-29;-1.12
Ajax;29;25;2250;90;100;275;84;69;22;180;2.24;68;23;+45;+1.80
AZ Alkmaar;24;25;2250;90;100;275;85;69;19;177;2.24;54;17;+37;+1.48
Emmen;29;26;2340;90;100;286;85;67;19;193;1.23;32;45;-13;-0.50
Feyenoord;30;25;2250;90;100;275;85;62;21;188;2.00;50;35;+15;+0.60
Fortuna Sittard;27;26;2340;90;100;286;84;74;20;167;1.00;29;52;-23;-0.88
Groningen;25;26;2340;90;100;286;85;77;17;206;1.35;27;26;+1;+0.04
Heerenveen;24;26;2340;90;100;286;86;71;16;189;1.27;41;41;0;0.00
Heracles Almelo;23;26;2340;90;100;286;86;72;16;173;1.38;40;34;+6;+0.23
PSV Eindhoven;29;26;2340;90;100;286;85;70;19;197;1.88;54;28;+26;+1.00
RKC Waalwijk;28;26;2340;90;100;286;85;73;18;185;0.58;27;60;-33;-1.27
Sparta R'dam;23;26;2340;90;100;286;85;76;20;129;1.27;41;45;-4;-0.15
Twente;25;26;2340;90;100;286;85;72;19;179;1.04;34;46;-12;-0.46
Utrecht;30;25;2250;90;100;275;85;72;19;167;1.64;50;34;+16;+0.64
Vitesse;25;26;2340;90;100;286;85;69;20;150;1.58;45;35;+10;+0.38
VVV-Venlo;25;26;2340;90;100;286;85;70;18;183;1.08;24;51;-27;-1.04
Willem II;24;26;2340;90;100;286;86;67;16;177;1.69;37;34;+3;+0.12
Zwolle;30;26;2340;90;100;286;84;72;21;185;1.00;37;55;-18;-0.69
