;;;;;;;Playing Time;Playing Time;Playing Time;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Penalty Kicks;Penalty Kicks;Penalty Kicks;Penalty Kicks;
Rk;Player;Nation;Pos;Squad;Age;Born;MP;Starts;Min;GA;GA90;SoTA;Saves;Save%;W;D;L;CS;CS%;PKatt;PKA;PKsv;PKm;Matches
1;Igor Akinfeev\Igor-Akinfeev;ru RUS;GK;CSKA Moscow;33;1986;20;20;1800;19;0.95;74;58;.770;10;5;5;7;35.0;3;2;1;0;Matches
2;Yegor Baburin\Yegor-Baburin;ru RUS;GK;Rostov;25;1993;12;12;1080;18;1.50;50;38;.760;6;2;4;3;25.0;7;6;0;1;Matches
3;Oleg Baklov\Oleg-Baklov;ru RUS;GK;Ural;24;1994;3;3;270;7;2.33;12;6;.417;1;0;2;0;0.0;1;0;1;0;Matches
4;Aleksandr Belenov\Aleksandr-Belenov;ru RUS;GK;Ufa;32;1986;18;18;1620;13;0.72;71;58;.845;6;7;5;9;50.0;2;2;0;0;Matches
5;Aleksei Chernov\Aleksei-Chernov;ru RUS;GK;Ufa;21;1998;2;2;180;6;3.00;14;8;.571;0;0;2;0;0.0;0;0;0;0;Matches
6;Aleksandr Dovbnya\Aleksandr-Dovbnya;ru RUS;GK;Orenburg;32;1987;6;5;450;9;1.80;19;11;.579;0;1;4;0;0.0;1;1;0;0;Matches
7;Yuri Dyupin\Yuri-Dyupin;ru RUS;GK;Rubin Kazan;31;1988;20;20;1800;21;1.05;104;84;.808;4;8;8;8;40.0;2;1;0;1;Matches
8;Soslan Dzhanayev\Soslan-Dzhanayev;ru RUS;GK;Sochi;32;1987;14;14;1260;19;1.36;74;58;.770;3;4;7;4;28.6;3;2;1;0;Matches
9;Evgenii Frolov\Evgenii-Frolov;ru RUS;GK;Samara;31;1988;1;1;90;1;1.00;4;4;.750;0;1;0;0;0.0;1;0;1;0;Matches
10;Evgenii Frolov\Evgenii-Frolov;ru RUS;GK;Sochi;31;1988;1;1;90;1;1.00;3;2;.667;0;1;0;0;0.0;0;0;0;0;Matches
11;Yevgeni Gorodov\Yevgeni-Gorodov;ru RUS;GK;Akhmat Grozny;33;1985;16;16;1440;19;1.19;66;48;.712;4;6;6;3;18.8;1;0;1;0;Matches
